
Ubeyde,abu1ydh,عبیده
Ubeydullah,abu1ydellh,عبیدالله
Ubeyt,abu1yd,عبید
Uca,ewxu1h,اوجه
Ucaer,ewxu1eeo5r,اوجاأر
Ucatekin,ewxu1h bo2kybo1,اوجه تکین
Uflaz,ewfo1lero1,اوفلاز
Ufuk,ewfo1fo2,اوفق
Ufukay,ewfo1wfo2ey,اوفوقای
Ufukdeniz,ewfo1fo2dko3ro1,اوفقدڭز
Ufuktan,ewfo1fo2bo2ebo1,اوفقتان
Ugan,ewao1ebo1,اوغان
Uguz,ewao1wro1,اوغوز
Uhuvvet,exo1wbo2,اخوت
Ukuş,ewfo2wso3,اوقوش
Ulak,ewlefo2,اولاق
Ulakbey,ewlefo2 bu1ko7,اولاق بگ
Ulam,ewlem,اولام
Ular,ewler,اولار
Ulaç,ewlexu3,اولاچ
Ulaçhan,ewlexu3xo1ebo1,اولاچخان
Ulaçkan,ewlexu3fo2ebo1,اولاچقان
Ulaş,ewleso3,اولاش
Ulcan,ewlxu1ebo1,اولجان
Ulcay,ewlxu1ey,اولجای
Uldız,ewldyro1,اولدیز
Ulema,alme,علما
Ulu,ewlw,اولو
Ulualp,ewlw eo6lbu3,اولو آلپ
Uluant,ewlweo6bo1bo2,اولوآنت
Ulubahşi,ewlwbu1xo1so3y,اولوبخشی
Ulubay,ewlwbu1ey,اولوبای
Ulubaş,ewlwbu1eso3,اولوباش
Ulubek,ewlwbu1k,اولوبک
Uluberk,ewlwbu1rk,اولوبرک
Ulubey,ewlwbu1ko7,اولوبگ
Uluborlu,ewlwbu1wrlw,اولوبورلو
Uluca,ewlwxu1h,اولوجه
Ulucak,ewlwxu1efo2,اولوجاق
Ulucan,ewlwxu1ebo1,اولوجان
Uludağ,ewlwdeao1,اولوداغ
Uludağ,ewlwteao1,اولوطاغ
Uludoğan,ewlwtwao1ebo1,اولوطوغان
Uluer,ewlweo5r,اولوأر
Uluerkan,ewlwerkebo1,اولوارکان
Ulufer,ewlwfo1r,اولوفر
Uluhan,ewlwxo1ebo1,اولوخان
Ulukaan,ewlwfo2eeo6bo1,اولوقاآن
Ulukan,ewlwfo2ebo1,اولوقان
Ulukaya,ewlwfo2eye,اولوقایا
Ulukut,ewlwfo2wbo2,اولوقوت
Ulukışla,ewlwfo2bu2so3lh,اولوقيشله
Ulum,ewlwm,اولوم
Uluman,ewlwmebo1,اولومان
Ulumeriç,ewlwmryxu3,اولومریچ
Ulun,alwbo1,علون
Ulun,ewlwbo1,اولون
Ulunay,ewlwbo1ey,اولونای
Ulupınar,ewlwbu3yko3er,اولوپیڭار
Ulus,ewlws,اولوس
Ulusal,ewlwsel,اولوسال
Ulusan,ewlwse,اولوسا
Ulusan,ewlwsebo1,اولوسان
Ulusay,ewlwzey,اولوصای
Ulusoy,ewlezwy,اولاصوی
Ulusoy,ewlwzwy,اولوصوی
Ulusu,ewlwzw,اولوصو
Ulutan,ewlwbo2ebo1,اولوتان
Ulutay,ewlwbo2ey,اولوتای
Ulutaş,ewlwtso3,اولوطش
Ulutekin,ewlwbo2kybo1,اولوتکین
Ulutürk,ewlwbo2wrk,اولوتورک
Uluç,ewlwxu3,اولوچ
Uluçam,ewlwxu3em,اولوچام
Uluçay,ewlwxu3ey,اولوچای
Uluçağ,ewlwxu3eao1,اولوچاغ
Uluçkan,ewlwxu3fo2ebo1,اولوچقان
Uluöz,ewlwewro1,اولواوز
Uluğ,ewlwao1,اولوغ
Uluğbay,ewlwao1bu1ey,اولوغبای
Uluğbey,ewlwao1 bu1ko7,اولوغ بگ
Uluşahin,ewlwso3ehbo1,اولوشاهن
Uluşan,ewlwso3ebo1,اولوشان
Ulvi,alwy,علوی
Ulviye,alwyh,علویه
Ulya,alye,علیا
Uma,ewme,اوما
Uma,ewmh,اومه
Umak,ewmefo2,اوماق
Uman,amebo1,عمان
Umar,ewmer,اومار
Umay,ewmey,اومای
Umaç,ewmexu3,اوماچ
Umdu,ewmdw,اومدو
Umman,amebo1,عمان
Umnise,ewmbo1ysh,اومنیسه
Umran,amrebo1,عمران
Umu,ewmw,اومو
Umur,ewmwr,اومور
Umural,ewmwreo6l,اومورآل
Umuralp,ewmwreo6lbu3,اومورآلپ
Umurbay,ewmwrbu1ey,اوموربای
Umurbey,ewmwrbu1ko7,اوموربگ
Umut,ewmwbo2,اوموت
Umutlu,ewmwbo2ly,اوموتلی
Unakıtan,ewbo1 eo6fo2ybo2ebo1,اون آقیتان
Unan,ewbo1ebo1,اونان
Unat,abo1ebo2,عنات
Uncu,ewbo1xu1y,اونجی
Ungan,ewbo1ao1ebo1,اونغان
Ur,ar,عر
Ur,ewr,اور
Ural,ewrel,اورال
Uralp,ewreo6lbu3,اورآلپ
Uraltan,ewreo6lbo2ebo1,اورآلتان
Uraltay,ewreo6lbo2ey,اورآلتای
Uram,arem,عرام
Uran,arebo1,عران
Uran,ewrebo1,اوران
Uras,arez,عراص
Uras,ewres,اوراس
Uray,ewrey,اورای
Uraz,arezo1,عراض
Uraz,ewrero1,اوراز
Uraza,arezo1h,عراضه
Urazlı,arezo1ly,عراضلی
Urbeyi,ewrbu1ko7y,اوربگی
Urfa,ewrfo1e,اورفا
Urgun,ewrao1wbo1,اورغون
Urhan,ewrxo1ebo1,اورخان
Urkan,ewrfo2ebo1,اورقان
Urla,ewrlh,اورله
Urluk,ewrlwfo2,اورلوق
Ursavaş,ewrzweso3,اورصواش
Uruk,arwfo2,عروق
Uruk,ewrwfo2,اوروق
Urun,arwbo1,عرون
Urun,ewrwbo1,اورون
Urundu,ewrwbo1dw,اوروندو
Urungu,ewrwbo1ao1w,اورونغو
Uruz,arwzo1,عروض
Uruş,arwso3,عروش
Uruş,ewrwso3,اوروش
Urı,ewry,اوری
Us,abo3,عث
Us,ews,اوس
