
Vacibe,wexu1bu1h,واجبه
Vacide,wexu1dh,واجده
Vacip,wexu1bu1,واجب
Vacit,wexu1d,واجد
Vafi,wefo1y,وافی
Vafir,wefo1r,وافر
Vafit,wefo1d,وافد
Vaha,wexh,واحه
Vahap,wxbu1,وحب
Vahdet,wxdbo2,وحدت
Vahdettin,wxd eldybo1,وحد الدین
Vahibe,wexbu1h,واحبه
Vahid,wexd,واحد
Vahide,wexdh,واحده
Vahip,wehbu1,واهب
Vahit,wexd,واحد
Vahittin,wexdeldybo1,واحدالدین
Vaiz,weato1,واعظ
Vakfıkebir,wfo2fo1 kbu1bu2r,وقف کبير
Vakkas,wfo2ez,وقاص
Vakur,wfo2wr,وقور
Valide,weldh,والده
Vamık,wemyfo2,وامیق
Vamıka,wemyfo2h,وامیقه
Van,webo1,وان
Varal,werel,وارال
Varaş,wereso3,واراش
Vardar,werder,واردار
Vardarlı,werderly,واردارلی
Vargın,werao1ybo1,وارغین
Varlı,werly,وارلی
Varlık,werlyfo2,وارلیق
Varol,werwl,وارول
Varto,wertw,وارطو
Varınca,werbo1xu1h,وارنجه
Vasfi,wzfo1y,وصفی
Vasfiye,wzfo1yh,وصفیه
Vassaf,wzefo1,وصاف
Vasıf,wezfo1,واصف
Vasıf,wzyfo1,وصیف
Vasıl,wezl,واصل
Vasıla,wezlh,واصله
Vatan,wtbo1,وطن
Vataner,wtbo1 eo5r,وطن أر
Vecahet,wxu1ehbo2,وجاهت
Vecahettin,wxu1eh eldybo1,وجاه الدین
Vecdet,wxu1dbo2,وجدت
Vecdi,wxu1dy,وجدی
Vechi,wxu1hy,وجهی
Vechiye,wxu1hyh,وجهیه
Vecibe,wxu1ybu1h,وجیبه
Vecih,wxu1yh,وجیه
Veciha,wxu1yhh,وجیهه
Vecihe,wxu1yhh,وجیهه
Vecihi,wxu1yhy,وجیهی
Vecit,wxu1yd,وجید
Veda,wdea,وداع
Vedat,wded,وداد
Vedi,wdy,ودی
Vedia,wdyah,ودیعه
Vedide,wdydh,ودیده
Vedit,wdyd,ودید
Vefa,wfo1e,وفا
Vefai,wfo1ebo5y,وفائی
Vefakâr,wfo1eker,وفاکار
Vefi,wfo1y,وفی
Vefia,wfo1yah,وفیعه
Vefik,wfo1yfo2,وفیق
Vefika,wfo1yfo2h,وفیقه
Vefki,wfo1fo2y,وفقی
Vehbi,whbu1y,وهبی
Vehbiye,whbu1yh,وهبیه
Vehhâbî,whebu1y,وهابی
Vehip,whybu1,وهیب
Vekil,wkyl,وکیل
Velet,wld,ولد
Veli,wly,ولی
Velibeşe,wly bu1so3h,ولی بشه
Velican,wlyxu1ebo1,ولیجان
Velide,wlydh,ولیده
Velit,wlyd,ولید
Veliye,wlyh,ولیه
Veliyullah,wly ellh,ولی الله
Veliyüddin,wly eldybo1,ولی الدین
Venedik,wbo1dbu2k,ونديک
Venüs,wbo1ws,ونوس
Veral,wrel,ورال
Veral,wyreo6l,ویرآل
Verda,wrde,وردا
Verdinaz,wrdybo1ero1,وردیناز
Verdî,wrdy,وردی
Vergi,wrko7y,ورگی
Vergili,wrko7yly,ورگیلی
Vergin,wrko7ybo1,ورگین
Verim,wrym,وریم
Verkaya,wyrfo2eye,ویرقایا
Verşan,wrso3ebo1,ورشان
Vesamet,wbo3embo2,وثامت
Vesamet,wsembo2,وسامت
Vesik,wbo3yfo2,وثیق
Vesik,wsyk,وسیک
Vesim,wbo3ym,وثیم
Vesim,wsym,وسیم
Veyis,wyys,وییس
Veysel,wysl,ویسل
Veysi,wysy,ویسی
Vezirköprü,wdo1bu2rkwbu3ry,وذيرکوپری
Veziroğlu,wro1yr ewao1ly,وزیر اوغلی
Vicdan,wxu1debo1,وجدان
Vicdani,wxu1debo1y,وجدانی
Vildan,wldebo1,ولدان
Visali,wzely,وصالی
Visam,wsem,وسام
Vize etmek,wbu2ro1h||ebu2bo2mk,ويزه‌ايتمک
Volkan,wwlfo2ebo1,وولقان
Vural,wwrel,وورال
Vuralhan,wwel xo1ebo1,ووال خان
Vurgun,wwrao1wbo1,وورغون
Vursavuş,wwr zewwso3,وور صاووش
Vuslat,wzlbo2,وصلت
Vâkıf,wefo2fo1,واقف
Vâlâ,wele,والا
Vâlâşan,weleso3ebo1,والاشان
Vîranşehir,wbu2rebo1||so3hr,ويران‌شهر
