
Ya Rabbi,bu2erbu1y,ياربی
Yabalak,yebu1elefo2,یابالاق
Yaban,yebu1ebo1,یابان
Yabanâbâd,bu2ebu1ebo1||eo6bu1ed,يابان‌آباد
Yabar,yebu1er,یابار
Yabgu,yebu1ao1w,یابغو
Yabuz,yebu1wro1,یابوز
Yabız,yebu1yro1,یابیز
Yada,yede,یادا
Yadacı,yedexu1y,یاداجی
Yadigâr,yedko7er,یادگار
Yafes,yefo1s,یافس
Yahnici,yxo1bo1yxu1y,یخنیجی
Yahya,yxye,یحیا
Yahya,yxyy,یحیی
Yahûdî,bu2hwdy,يهودی
Yahşi,yxo1so3y,یخشی
Yahşibay,yxo1so3ybu1ey,یخشیبای
Yahşiboğa,yxo1so3ybu1wao1h,یخشیبوغه
Yahşihan,yxo1so3yxo1ebo1,یخشیخان
Yahşikan,yxo1so3yfo2ebo1,یخشیقان
Yahşitay,yxo1so3ybo2ey,یخشیتای
Yakup,yafo2wbu1,یعقوب
Yakut,yefo2wbo2,یاقوت
Yakın,yefo2ybo1,یاقین
Yakış,yefo2yso3,یاقیش
Yalabuk,yelebu1wfo2,یالابوق
Yalap,yelebu3,یالاپ
Yalav,yelew,یالاو
Yalavaç,yelewexu3,یالاواچ
Yalaz,yelero1,یالاز
Yalaza,yelero1e,یالازا
Yalazabay,yelero1ebu1ey,یالازابای
Yalazahan,yelero1exo1ebo1,یالازاخان
Yalazakan,yelero1efo2ebo1,یالازاقان
Yalazalp,yelero1 eo6lbu3,یالاز آلپ
Yalazan,yelero1ebo1,یالازان
Yalazay,yelero1ey,یالازای
Yaldırak,yeldyrefo2,یالدیراق
Yaldırım,yeldyrym,یالدیریم
Yaldız,yeldyro1,یالدیز
Yalgı,yelao1y,یالغی
Yalgın,yelao1ybo1,یالغین
Yalgınay,yelao1ybo1 eo6y,یالغین آی
Yalkı,yelfo2y,یالقی
Yalkın,yelfo2ybo1,یالقین
Yalman,yelmebo1,یالمان
Yalmaç,yelmexu3,یالماچ
Yalnızgil,yelko3ro1ko7yl,یالڭزگیل
Yalova,yelwh,یالوه
Yalt,yelbo2,یالت
Yaltır,yelbo2yr,یالتیر
Yaltırak,yelbo2yrefo2,یالتیراق
Yaltırak,yeltyrefo2,یالطیراق
Yaltıray,yelbo2yrey,یالتیرای
Yaltıray,yeldyrey,یالدیرای
Yaltırım,yeldyrym,یالدیریم
Yalvaç,bu2elwexu3,يالواچ
Yalvaç,yelwexu3,یالواچ
Yalçuk,yelxu3wfo2,یالچوق
Yalçın,yelxu3ybo1,یالچین
Yalçınalp,yelxu3ybo1 eo6lbu3,یالچین آلپ
Yalçınbayır,yelxu3ybo1 bu1eyyr,یالچین باییر
Yalçıner,yelxu3ybo1 eo5r,یالچین أر
Yalçıner,yelxu3ybo1r,یالچینر
Yalçınkaya,yelxu3ybo1fo2eye,یالچینقایا
Yalçıntaş,yelxu3ybo1teso3,یالچینطاش
Yalım,yelym,یالیم
Yalın,yelybo1,یالین
Yalınalp,yelybo1 eo6lbu3,یالین آلپ
Yalınay,yelybo1ey,یالینای
Yaman,yemebo1,یامان
Yamaner,yemebo1 eo5r,یامان أر
Yamansoy,yemebo1zwy,یامانصوی
Yamantürk,yemebo1 bo2wrk,یامان تورک
Yamanyiğit,yemebo1yyko7ybo2,یامانییگیت
Yamanöz,yemebo1wro1,یامانوز
Yamaç,yemexu3,یاماچ
Yamut,yemwt,یاموط
Yamçı,yemxu3y,یامچی
Yanal,yebo1el,یانال
Yanar,yebo1er,یانار
Yanaç,yebo1exu3,یاناچ
Yanbek,yebo1bu1k,یانبک
Yanbey,yebo1 bu1ko7,یان بگ
Yandil,yebo1dl,یاندل
Yangâr,yebo1ao1er,یانغار
Yangın,yebo1ao1ybo1,یانغین
Yankutan,yebo1fo2wbo2ebo1,یانقوتان
Yankı,yebo1fo2y,یانقی
Yanmaz,yebo1mero1,یانماز
Yanık,yebo1yfo2,یانیق
Yanıker,yebo1yfo2 eo5r,یانیق أر
Yanılmaz,yeko3ylmero1,یاڭیلماز
Yapalak,yebu3elefo2,یاپالاق
Yaprak,yebu3refo2,یاپراق
Yapıncak,yebu3ybo1xu1efo2,یاپینجاق
Yaralı,yerh ly,یاره لی
Yararer,yerereo5r,یارارأر
Yarayan,yereyebo1,یارایان
Yaraş,yereso3,یاراش
Yaraşık,yereso3yfo2,یاراشیق
Yarbay,yerbu1ey,یاربای
Yardak,yerdefo2,یارداق
Yardı,yerdy,یاردی
Yardımcı,yerdymxu1y,یاردیمجی
Yargan,yerao1ebo1,یارغان
Yargı,yerao1y,یارغی
Yarkan,yerfo2ebo1,یارقان
Yarkaya,yerfo2eye,یارقایا
Yarkın,yerfo2ybo1,یارقین
Yarluk,yerlwfo2,یارلوق
Yarlık,yerlfo2,یارلق
Yarpuz,yerbu3wro1,یارپوز
Yaruk,yerwfo2,یاروق
Yarılgaç,yerylao1exu3,یاریلغاچ
Yarımbıyık,yerym bu1yyfo2,یاریم بییق
Yasa,yese,یاسا
Yasan,yesebo1,یاسان
Yasan,yeseko3,یاساڭ
Yasavul,yesewwl,یاساوول
Yasemin,yesmybo1,یاسمین
Yaser,yesr,یاسر
Yasin,yesybo1,یاسین
Yasmin,yesmybo1,یاسمین
Yasun,yezwbo1,یاصون
Yatağan,ybo2eao1ebo1,یتاغان
Yatman,yebo2mebo1,یاتمان
Yatuk,yebo2wfo2,یاتوق
Yavaş,yeweso3,یاواش
Yaver,yewr,یاور
Yavilioğlu,yewyly ewao1ly,یاویلی اوغلی
Yavuz,yewwro1,یاووز
Yavuzalp,yewwro1 eo6lbu3,یاووز آلپ
Yavuzay,yewwro1eo6y,یاووزآی
Yavuzbay,yewwro1bu1ey,یاووزبای
Yavuzboğa,yewwro1bu1wao1h,یاووزبوغه
Yavuzcan,yewwro1xu1ebo1,یاووزجان
Yavuzer,yewwro1eo5r,یاووزأر
Yavuzhan,yewwro1xo1ebo1,یاووزخان
Yavuzkan,yewwro1fo2ebo1,یاووزقان
Yavuzsoy,yewwro1zwy,یاووزصوی
Yavuztürk,yewwro1bo2wrk,یاووزتورک
Yavuzyılmaz,yewwro1yylmero1,یاووزییلماز
Yay,yey,یای
Yayak,yeyefo2,یایاق
Yayalp,yeyeo6lbu3,یایآلپ
Yaybörü,yeybu1wrw,یایبورو
Yaybüke,yeybu1wkh,یایبوکه
Yaycıoğlu,yeyxu1y ewao1ly,یایجی اوغلی
Yaygır,yeyao1yr,یایغیر
Yayla,yeyle,یایلا
Yaylagül,yeyleko7l,یایلاگل
Yaylak,bu2ebu2lefo2,يايلاق
Yaylak,yeylefo2,یایلاق
Yaylalı,yeylely,یایلالی
Yazan,yero1ebo1,یازان
Yazar,yero1er,یازار
Yazgan,yero1ao1ebo1,یازغان
Yazganalp,yero1ao1ebo1 eo6lbu3,یازغان آلپ
Yazgül,yero1ko7l,یازگل
Yazgülü,yero1ko7lw,یازگلو
Yazgı,yero1ao1y,یازغی
Yazman,yero1mebo1,یازمان
Yazıcı,yero1yxu1y,یازیجی
Yazıcıoğlu,yero1yxu1y ewao1ly,یازیجی اوغلی
Yazık,yero1yfo2,یازیق
Yazıksız,yero1yfo2sro1,یازیقسز
Yazır,yero1yr,یازیر
Yağan,yeao1ebo1,یاغان
Yağcı,yeao1xu1y,یاغجی
