
Zabcı,zo1ebu1xu1y,ضابجی
Zabit,zo1ebu1t,ضابط
Zade,ro1edh,زاده
Zafer,tfo1r,طفر
Zafer,to1efo1r,ظافر
Zafer,to1fo1r,ظفر
Zafir,to1efo1r,ظافر
Zafir,to1fo1yr,ظفیر
Zafire,to1efo1rh,ظافره
Zafire,to1fo1yrh,ظفیره
Zago,ro1eao1w,زاغو
Zahide,ro1ehdh,زاهده
Zahir,to1eht,ظاهط
Zahire,to1ehrh,ظاهره
Zahit,ro1ehd,زاهد
Zaide,ro1ebo5dh,زائده
Zaik,ro1ebo5fo2,زائق
Zaika,do1ebo5fo2h,ذائقه
Zaim,ro1aym,زعیم
Zaim,ro1eam,زاعم
Zaimler,ro1eamlr,زاعملر
Zaimoğlu,ro1eam ewao1ly,زاعم اوغلی
Zait,ro1ebo5d,زائد
Zaki,do1eky,ذاکی
Zakir,do1ekr,ذاکر
Zakire,do1ekrh,ذاکره
Zaman,ro1mebo1,زمان
Zamangil,ro1mebo1ko7yl,زمانگیل
Zamantılı,ro1mebo1bo2yly,زمانتیلی
Zamantılı,zo1mebo1tyly,ضمانطیلی
Zambak,ro1bo1bu1fo2,زنبق
Zambak,ro1mbu1efo2,زمباق
Zamir,zo1myr,ضمیر
Zamire,zo1myrh,ضمیره
Zana,to1bo1h,ظنه
Zarakolu,ro1erh fo2wly,زاره قولی
Zararsız,zo1rrsro1,ضررسز
Zarbun,zo1rbu1ko3,ضربڭ
Zarbun,zo1rbu1wbo1,ضربون
Zarif,to1ryfo1,ظریف
Zarife,to1ryfo1h,ظریفه
Zarplı,ro1erbu3ly,زارپلی
Zarplı,zo1erbu1ly,ضاربلی
Zati,do1ebo2y,ذاتی
Zatinur,do1ebo2ybo1wr,ذاتینور
Zatiye,do1ebo2yh,ذاتیه
Zağnos,ro1eao1bo1ws,زاغنوس
Zağra,ro1ao1rh,زغره
Zebercet,ro1bu1rxu1bo2,زبرجت
Zebur,ro1bu1wr,زبور
Zehra,ro1hre,زهرا
Zekeriya,ro1krye,زکریا
Zekerya,ro1krye,زکریا
Zeki,do1ky,ذکی
Zeki,ro1ky,زکی
Zekire,do1kyrh,ذکیره
Zekiye,ro1kyh,زکیه
Zekâi,do1kebo5y,ذکائی
Zekâvet,ro1kewbo2,زکاوت
Zeliha,ro1lyxo1h,زلیخه
Zemin,ro1mybo1,زمین
Zemzem,ro1mro1m,زمزم
Zenderlioğlu,ro1bo1drly ewao1ly,زندرلی اوغلی
Zengin,ro1bo1ko7ybo1,زنگین
Zennişan,ro1bo1bo1yso3ebo1,زننیشان
Zennur,do1elbo1wr,ذالنور
Zennur,ro1bo1 elbo1wr,زن النور
Zennur,ro1bo1bo1wr,زننور
Zerafet,ro1refo1bo2,زرافت
Zerefşan,ro1refo1so3ebo1,زرافشان
Zeren,ro1rbo1,زرن
Zergûn,ro1rko7wbo1,زرگون
Zeria,do1ryah,ذریعه
Zerin,ro1rybo1,زرین
Zernişan,ro1rbo1yso3ebo1,زرنیشان
Zerrin,ro1rybo1,زرین
Zerrinkâr,ro1rybo1ker,زرینکار
Zerrintaç,ro1rybo1bo2exu3,زرینتاچ
Zerrişte,ro1ryso3bo2h,زریشته
Zeybek,ro1ko7bu1k,زگبک
Zeybek,ro1ybu1k,زیبک
Zeybekçi,ro1ko7bu1kxu1y,زگبکجی
Zeycan,ro1yxu1ebo1,زیجان
Zeydan,ro1ydebo1,زیدان
Zeyneddin,ro1ybo1 eldybo1,زین الدین
Zeynel,ro1ybo1l,زینل
Zeynelabidin,ro1ybo1l elaebu1dybo1,زینل العابدین
Zeyneloğlu,ro1ybo1l ewao1ly,زینل اوغلی
Zeynep,ro1ybo1bu1,زینب
Zeyni,ro1ybo1y,زینی
Zeyniye,ro1ybo1yh,زینیه
Zeyno,ro1ybo1w,زینو
Zeynullah,ro1ybo1 ellh,زین الله
Zeynur,ro1ybo1wr,زینور
Zeyrek,ro1yrk,زیرک
Zeytinoğlu,ro1ybo2wbo1 ewao1ly,زیتون اوغلی
Zeyyat,ro1yebo2,زیات
Ziba,ro1bu1e,زبا
Zican,do1yxu1ebo1,ذیجان
Zihni,ro1hbo1y,زهنی
Zihnioğlu,do1hbo1y ewao1ly,ذهنی اوغلی
Zihniye,ro1hbo1yh,زهنیه
Zikir,do1kr,ذکر
Zikri,do1kry,ذکری
Zikrullah,do1krellh,ذکرالله
Zilan,do1ylebo1,ذیلان
Zile,ro1bu2lh,زيله
Zincirkıran,ro1bo1xu1yrfo2yrebo1,زنجیرقیران
Zinet,ro1ybo1bo2,زینت
Zinnur,do1y elbo1wr,ذی النور
Zinnure,do1y elbo1wrh,ذی النوره
Ziver,ro1ywr,زیور
