
abadile,ao4bu1eo4du4lo4h,عَباَدِلَه
abbas,abu1o8es,عبّاس
abbasiye,abu1o8esyh,عبّاسیه
abdi,abu1dy,عبدی
abduh,abu1dh,عبده
abdullah,abu1dellh,عبدالله
abdurrahman,abu1d elrxmbo1,عبد الرحمن
abdurrahman,abu1d elrxmebo1,عبد الرحمان
abdurrahîm,abu1d elrxym,عبد الرحیم
abdâliye,eo5bu1delyh||,أبدالیه‌
abdâliyye,eo5bu1delyh||,أبدالیه‌
abdüh,abu1dh,عبده
abdül'ehad,abu1d eleo5xd,عبد الأحد
abdülaziz,abu1d elaro1yro1,عبد العزیز
abdülbâki,abu1d elbu1efo2y,عبد الباقی
abdülcelil,abu1d elxu1lyl,عبد الجلیل
abdülehad,abu1d eleo5xd,عبد الأحد
abdülhakîm,abu1d elxkym,عبد الحکیم
abdülhamid,abu1d elxmyd,عبد الحمید
abdülhâdi,abu1d elhedy,عبد الهادی
abdülkadir,abu1d elfo2edr,عبد القادر
abdülkadirzade,abu1d elfo2edrro1edh||,عبد القادرزاده‌
abdülkadirî,abu1d elfo2edry,عبد القادری
abdülkahir,abu1d elfo2ehr,عبد القاهر
abdülkerim,abu1d elkrym,عبد الکریم
abdüllatif,abu1d elltyfo1,عبد اللطیف
abdülmecid,abu1d elmxu1yd,عبد المجید
abdülmuhsin,abu1d elmxsbo1,عبد المحسن
abdülmuttalib,abu1d elmto8lbu1,عبد المطّلب
abdülvehhab,abu1d elwho8ebu1u4,عبد الوهّابِ
abdürrezzak,abu1d elrro1o8efo2,عبد الرزّاق
adana,eo6debo1h||,آدانه‌
adapazar,eo6th||bu3ero1er,آطه‌پازار
affan,afo1o8ebo1,عفّان
afganistan,efo1ao1ebo1sbo2ebo1,افغانستان
afrika,eo6fo1ryfo2e,آفریقا
afyon,eo6fo1ywbo1,آفیون
alak,alfo2,علق
aleyhimesselâm,alyhm elslem,علیهم السلام
aleyhimüsselâm,alyhm elslem,علیهم السلام
aleyhisselâm,alyh elslem,علیه السلام
allah,ello8o99h,اللٌّه
almanya,eo6lmebo1ye,آلمانیا
amerika,eo6mryfo2e,آمریقا
anadolu,eo6bo1etwly,آناطولی
anh,abo1h,عنه
ankara,eo6bo1fo2rh||,آنقره‌
antalya,eo6bo1telyh||,آنطالیه‌
arabistan,arbu1sbo2ebo1,عربستان
arafat,arfo1ebo2,عرفات
arz,eo5rzo1,أرض
arş,arso3,عرش
asya,eo6sye,آسیا
avrupa,eo6wrwbu3e,آوروپا
ay,eo6y,آی
ayasofya,eo6yezwfo1ye,آیاصوفیا
ayastafanos,eo6yesbo2fo1ebo1ws,آیاستفانوس
aydın,eo6ydybo1,آیدین
ayn,aybo1 ,عین 
azîmüşşan,ato1ym elso3ebo1,عظیم الشان
