
sadık,zedfo2,صادق
safranbolu,zfo1rebo1bu1wly,صفرانبولی
safvan,zfo1webo1,صفوان
samsun,zemswbo1,صامسون
sebilürreşad,sbu1yl elro8so3ed,سبیل الرّشاد
sebilürreşad,sbu1yl elrso3ed,سبیل الرشاد
selman,slmebo1,سلمان
selâm,slem,سلام
semavat,smewebo2,سماوات
seyfullah,syfo1 ello8h,سیف اللّه
sina,sybo1e,سینا
sinop,sybo1wbu1,سینوب
siracünnur,srexu1 elbo1wr,سراج النور
sudan,swdebo1,سودان
sultan,sltebo1,سلطان
sungur,zwbo1ao1wr,صونغور
sâbık,sebu1fo2,سابق
süfyan,sfo1yebo1,سفیان
süleyman,slymebo1,سلیمان
süreyya,bo3ryo8e,ثریّا
sıddık,zdo8yfo2,صدّیق
