Haberal,xo1bu1reo6l
habibullah,xbu1ybu1 ellh||
Hablemitoğlu,xo1webu1lmybo2 ewao1ly
Hacaloğlu,xexu1el ewao1ly
Hacergül,xxu1rko7l
Hacer,xxu1r
Hacıbaloğlu,xo1exu1ybu1el ewao1ly
Hacıgül,xexu1y ko7l
Hacıhanım,xexu1yxo1ebo1m
Hacıkadın,xexu1yfo2edybo1
Hacıoğlu,xexu1y ewao1ly
Hacıpaşaoğlu,xexu1ybu3eso3e ewao1ly
Hacırecepoğlu,xexu1y rxu1bu1 ewao1ly
Hacı,xexu1y
Hacı,xxu1y
Hacopulos,xexu1wbu3wlws
Hadi,hedy
Hadımlıoğlu,xo1edm ewao1ly
Hadi,xedy
Hadiye,hedyh
Hadra,xzo1re
Hafide,xo1fo1ydh
Hafik,xefo1bu2fo2
Hafıza,xefo1to1h
Hafize,xfo1yto1h
hâfız,xefo1to1
Hakan,xo1efo2ebo1
Hakikat,xfo2yfo2bo2
Hâkime,xekmh
Hâkim,xekm
Hakkâri,xkery
Hakkı,xfo2y
hakk,xfo2o8
Haktan,xfo2bo2ebo1
Hak Teâlâ,xfo2 bo2aely
Hakverdi,xfo2 wrdy
Halaçoğlu,xlexu1 ewao1ly
Halaman,xelemebo1
Halâskâr,xo1lezker
Halâs,xo1lez
Halâvet,xlewbo2
Haldun,xo1eldwbo1
Halefoğlu,xo1lfo1 ewao1ly
Halef,xo1lfo1
Hale,helh
Halenur,xo1elh bo1wr
Hâlet,xelbo2
Hale,xo1elh
Halıcı,xo1elyxu1y
Halide,xo1eldh
Halide,xo1lydh
Halife,xo1lyfo1h
hâlik,xo1elfo2
hâlık,xo1elfo2
Hâlık,xo1elfo2
Halile,xlylh
Halilullah,xo1lyl ellh
Halil,xo1lyl
Halime,xlymh
Halim,xelm
Halim,xlym
Hâlinur,xelybo1wr
Halise,xo1elzh
Halise,xo1lysh
Halis,xo1elz
Halittin,xo1lydeldybo1
Halit,xo1eld
Halit,xo1lyd
Haluk,xo1lwfo2
Halûk,xo1lwfo2
Hamal,xmel
Hamamcıoğlu,xmemxu1y ewao1ly
Hamarat,xo1mrebo2
Hamaset,xmesbo2
Hamdi,xmdy
Hamdiye,xmdyh
Hamdullah,xmd ellh
Hamide,xmydh
Hamide,xo1mydh
Hamidi,xemdy
Hamil,xeml
Hamise,xo1emsh
Hamis,xo1ems
Hamis,xo1mys
Hamit,xmyd
Hami,xemy
Hamiyet,xmybo2
Hamiye,xemyyh
Hamra,xmre
Hamşioğlu,xo1mso3y ewao1ly
Hamzaçebi,xmro1h xu3lbu1y
Hamzaoğlu,xmro1h ewao1ly
Hamzaoğulları,xmro1h ewao1wllry
Hamza,xmro1h
Hanağası,xo1ebo1 eo6ao1esy
Hanalp,xo1ebo1 eo6lbu3
Hanbeğendi,xo1ebo1 bu1ko7bo1dy
Hanbegüm,xo1ebo1bu1ko7wm
Hanbek,xo1ebo1bu1k
Hanbey,xo1ebo1 bu1ko7
Hanbiken,xo1ebo1bu1ykbo1
Hanbike,xo1ebo1bu1ykh
Hancıoğlu,xo1ebo1xu1y ewao1ly
Handan,xo1bo1debo1
Hande,xo1bo1dh
Hanedan,xo1ebo1debo1
Hanefi,xbo1fo1y
Hanhan,xo1ebo1xo1ebo1
Hanife,xbo1yfo1h
Hani,fo2bo1y
Hanif,xbo1yfo1
Hanımkız,xo1ebo1mfo2yro1
Hanım,xo1ebo1m
Hankan,xo1ebo1 fo2ebo1
Hankız,xo1ebo1fo2yro1
Hansoy,xo1ebo1zwy
Hansultan,xo1ebo1sltebo1
Hanüman,xo1ebo1mebo1
Han,xo1ebo1
Hanzade,xo1ebo1ro1edh
Hanzel,xebo1sl
Harbiye,xrbu1yh
Haremeyn,xrmbu2bo1
Hare,xo1erh
HĀRİCÎ,xo1o4eru4xu1bu2
Harika,xo1erfo2h
Harmancıoğlu,xo1rmebo1xu1y ewao1ly
Harputlu,xo1rbu3wbo2
Harun,herwbo1
Harunoğlu,hrwbo1 ewao1ly
harzemşah,xo1o99werro1mso3eh
Hasanalp,xsbo1 eo6lbu3
Hasane,xsbo1h
hasan,xsbo1
Hasan,xsbo1
Hasay,xzey
Hasbek,xsbu1k
Hasbi,xsbu1y
Hasefe,xo1ez efo1h
