i'caz,eu5axu1ero1
Idık,eydyk
Iğdır,ebu2ao1dbu2r
Ildır,eyldyr
Ildız,eyldyro1
Ilgar,eyao1er
Ilgarlı,eylao1erlr
Ilgazcan,eylao1ro1xu1ebo1
Ilgaz,ebu2lao1ero1
Ilgazer,eylao1ro1eo5r
Ilgaz,eylao1ero1
Ilgı,eylao1y
Ilgım,eylao1ym
Ilgın,ebu2lao1bu2bo1
Ilgın,eylao1ybo1
Ilıcak,eylyxu1efo2
Ilıcak,eylyxu1fo2
Ilıcalı,eylyxu1h ly
Ilıcan,eylyxu1ebo1
Ilıksoy,eylyfo2zwy
Ilıman,eylemebo1
inebolu,eybo1h||bu1wly
Ira,are
Irak,arefo2
Iraklı,arefo2ly
iran,eyrebo1
Iraz,arezo1
Iraz,eyrero1
Irısgül,eyrsko7l
Irız,arzo1
Irız,eyryro1
Irkıl,eyrfo2yl
Irmak,eyrmefo2
işarat,eu5so3erebo2
Işıkal,eyso3yfo2 eo6l
Işıkalp,eyso3yfo2 eo6lbu3
Işıkay,eyso3yfo2 eo6y
Işıker,eyso3yfo2 eo5r
Işık,eyso3yfo2
Işıkhan,eyso3yfo2 xo1ebo1
Işıkkan,eyso3yfo2fo2ebo1
Işıklar,eyso3yfo2lr
Işıklı,eyso3yfo2ly
Işıktaş,eyso3yfo2tso3
Işılak,eyso3ylefo2
Işılar,eyso3yler
Işılay,eyso3yley
Işıldar,eyso3ylder
Işıl,eyso3yl
Işıltan,eyso3ylbo2ebo1
Işıltı,eyso3ylbo2y
Işıman,eyso3ymebo1
Işım,eyso3ym
Işınay,eyso3ybo1ey
Işınbay,eyso3ybo1bu1ey
Işınbike,eyso3ybo1bu1ykh
Işıner,eyso3ybo1 eo5r
Işın,eyso3ybo1
Işınhan,eyso3ybo1xo1ebo1
Işınkan,eyso3ybo1fo2ebo1
Işınsal,eyso3ybo1sel
Işınsu,eyso3ybo1zw
Işıtan,eyso3ybo2ebo1
Işıt,eyso3ybo2
Işkın,eyso3fo2ybo1
Islâhiye,ezlexbu2h
islâmbol,eu5slembu1wl
islâm,eu5slem
Ismık,eysmyfo2
ispanya,eu5sbu3ebo1yh||
Isparta,esbu3erth
Ispartalıgil,esbu3erth ly ko7yl
istanbul,eu5sbo2ebo1bu1wl
Iştın,eyso3tybo1
Itır,atr
Itri,atry
Îsevilik,abu2swbu2lk
İbad,abu1ed
İbadet,abu1edbo2
İbadullah,abu1edellh
İba,ebu1e
İbat,abu1ed
İbik,eybu1yk
İbili,ebu1ly
İbiş,eybu1yso3
İbo,ebu1w
İbrahim,ebu1rehym
İbrahimhakkıoğlu,ebu1rehym xfo2y ewao1ly
İbranî,abu1rebo1y
İçaçan,eyxu3 eo6xu3ebo1
İçel,ebu2xu3||ebu2l
İçimbike,eyxu3ymbu1ykh
İçim,eyxu3ym
İclâl,exu1lel
İçli,eyxu3ly
İçöz,eyxu3 ewro1
İçöz,eyxu3wro1
İçten,eyxu3bo2bo1
İçten,eyxu3dbo1
İdi,eydy
İdikurt,eydyfo2wrbo2
İdikut,eydyfo2wbo2
İdil,eydyl
İdris,edrys
İfakat,efo1efo2bo2
İffet,afo1bo2
İğdemir,eyao1dmyr
İhlâs,exo1lez
İhsan,exsebo1
İhvan,exo1webo1
İhya,exye
İhya,exyy
İkbal,efo2bu1el
İkiz,eykyro1
İklil,eklyl
İklim,efo2lym
İkram,ekrem
İkrami,ekremy
İksel,eyksl
İlalan,eyleo6lebo1
İlaldı,eyleo6ldy
İlal,eyleo6l
İlalmış,eyleo6lmyso3
İlarslan,eylerslebo1
İlayda,eyleydh
İlaydın,eyleo6ydybo1
İlay,eyley
İlbars,eylbu1erz
İlbasan,eylbu1ezebo1
İlbaş,eylbu1eso3
