Yabalak,yebu1elefo2
Yabanâbâd,bu2ebu1ebo1||eo6bu1ed
Yaban,yebu1ebo1
Yabar,yebu1er
Yabgu,yebu1ao1w
Yabız,yebu1yro1
Yabuz,yebu1wro1
Yadacı,yedexu1y
Yada,yede
Yadigâr,yedko7er
Yafes,yefo1s
Yağan,yeao1ebo1
Yağcı,yeao1xu1y
Yağınalp,yeao1ybo1 eo6lbu3
Yağın,yeao1ybo1
Yağısıyan,yeao1yzyebo1
Yağış,yeao1yso3
Yağızalp,yeao1yro1 eo6lbu3
Yağızbay,yeao1yro1bu1ey
Yağızboğa,yeao1yro1bu1wao1h
Yağızer,yeao1yro1eo5r
Yağızhan,yeao1yro1xo1ebo1
Yağızkan,yeao1yro1fo2ebo1
Yağızkurt,yeao1yro1fo2wrbo2
Yağıztekin,yeao1yro1bo2kybo1
Yağız,yeao1yro1
Yağmanaz,yeao1mebo1ero1
Yağmurca,yeao1mwrxu1h
Yağmurdereli,yeao1mwr drh ly
Yağmur,yeao1mwr
Yahnici,yxo1bo1yxu1y
Yahşibay,yxo1so3ybu1ey
Yahşiboğa,yxo1so3ybu1wao1h
Yahşihan,yxo1so3yxo1ebo1
Yahşikan,yxo1so3yfo2ebo1
Yahşitay,yxo1so3ybo2ey
Yahşi,yxo1so3y
Yahûdî,bu2hwdy
Yahya,yxye
Yahya,yxyy
Yakın,yefo2ybo1
Yakış,yefo2yso3
Yakup,yafo2wbu1
Yakut,yefo2wbo2
Yalabuk,yelebu1wfo2
Yalap,yelebu3
Yalavaç,yelewexu3
Yalav,yelew
Yalazabay,yelero1ebu1ey
Yalazahan,yelero1exo1ebo1
Yalazakan,yelero1efo2ebo1
Yalazalp,yelero1 eo6lbu3
Yalazan,yelero1ebo1
Yalaza,yelero1e
Yalazay,yelero1ey
Yalaz,yelero1
Yalçınalp,yelxu3ybo1 eo6lbu3
Yalçınbayır,yelxu3ybo1 bu1eyyr
Yalçıner,yelxu3ybo1 eo5r
Yalçıner,yelxu3ybo1r
Yalçınkaya,yelxu3ybo1fo2eye
Yalçıntaş,yelxu3ybo1teso3
Yalçın,yelxu3ybo1
Yalçuk,yelxu3wfo2
Yaldırak,yeldyrefo2
Yaldırım,yeldyrym
Yaldız,yeldyro1
Yalgınay,yelao1ybo1 eo6y
Yalgın,yelao1ybo1
Yalgı,yelao1y
Yalım,yelym
Yalınalp,yelybo1 eo6lbu3
Yalınay,yelybo1ey
Yalın,yelybo1
Yalkın,yelfo2ybo1
Yalkı,yelfo2y
Yalmaç,yelmexu3
Yalman,yelmebo1
Yalnızgil,yelko3ro1ko7yl
Yalova,yelwh
Yaltırak,yelbo2yrefo2
Yaltırak,yeltyrefo2
Yaltıray,yelbo2yrey
Yaltıray,yeldyrey
Yaltırım,yeldyrym
Yaltır,yelbo2yr
Yalt,yelbo2
Yalvaç,bu2elwexu3
Yalvaç,yelwexu3
Yamaç,yemexu3
Yamaner,yemebo1 eo5r
Yamanöz,yemebo1wro1
Yamansoy,yemebo1zwy
Yamantürk,yemebo1 bo2wrk
Yaman,yemebo1
Yamanyiğit,yemebo1yyko7ybo2
Yamçı,yemxu3y
Yamut,yemwt
Yanaç,yebo1exu3
Yanal,yebo1el
Yanar,yebo1er
Yanbek,yebo1bu1k
Yanbey,yebo1 bu1ko7
Yandil,yebo1dl
Yangâr,yebo1ao1er
Yangın,yebo1ao1ybo1
Yanıker,yebo1yfo2 eo5r
Yanık,yebo1yfo2
Yanılmaz,yeko3ylmero1
Yankı,yebo1fo2y
Yankutan,yebo1fo2wbo2ebo1
Yanmaz,yebo1mero1
Yapalak,yebu3elefo2
Yapıncak,yebu3ybo1xu1efo2
Yaprak,yebu3refo2
Ya Rabbi,bu2erbu1y
Yaralı,yerh ly
Yararer,yerereo5r
Yaraşık,yereso3yfo2
Yaraş,yereso3
Yarayan,yereyebo1
Yarbay,yerbu1ey
Yârcan,yerxu1ebo1
Yardak,yerdefo2
Yardımcı,yerdymxu1y
Yardı,yerdy
Yâren,yerbo1
Yargan,yerao1ebo1
Yargı,yerao1y
Yârıdil,bu2erdl
Yarılgaç,yerylao1exu3
Yarımbıyık,yerym bu1yyfo2
Yarkan,yerfo2ebo1
Yarkaya,yerfo2eye
Yarkın,yerfo2ybo1
Yarlık,yerlfo2
Yarluk,yerlwfo2
Yarpuz,yerbu3wro1
Yaruk,yerwfo2
Yâr,yer
Yaşam,yeso3em
Yaşanur,yeso3ebo1wr
Yasan,yesebo1
Yasan,yeseko3
Yaşartürk,yeso3erbo2wrk
Yaşar,yeso3er
Yasavul,yesewwl
Yasa,yese
Yaşa,yeso3e
Yaşdaş,yeso3deso3
Yasemin,yesmybo1
Yaser,yesr
Yaşık,yeso3yfo2
Yaşıl,yeso3yl
Yaşın,bu2eso3ybo1
Yaşınkılıç,yeso3ybo1 fo2ylyxu3
Yaşin,yeso3ybo1
Yaşın,yeso3ybo1
Yasin,yesybo1
Yaşıyan,yeso3yebo1
Yaşlak,yeso3lefo2
Yasmin,yesmybo1
Yasun,yezwbo1
Yatağan,ybo2eao1ebo1
Yatman,yebo2mebo1
Yatuk,yebo2wfo2
Yavaş,yeweso3
Yaver,yewr
