
Çaba,xu3ebu1e,چابا
Çabar,xu3ebu1er,چابار
Çabuk,xu3ebu1wfo2,چابوق
Çadır,xu3edyr,چادیر
Çakan,xu3efo2ebo1,چاقان
Çakar,xu3efo2er,چاقار
Çakmak,xu3efo2mefo2,چاقماق
Çakmak,xu3efo2mfo2,چاقمق
Çakmakkaya,xu3efo2mfo2fo2eye,چاقمققایا
Çakmaklı,xu3efo2mfo2ly,چاقمقلی
Çakmakoğlu,xu3efo2mfo2 ewao1ly,چاقمق اوغلی
Çakman,xu3efo2mebo1,چاقمان
Çakmur,xu3efo2mwr,چاقمور
Çakıl,xu3efo2yl,چاقیل
Çakım,xu3efo2ym,چاقیم
Çakın,xu3efo2ybo1,چاقین
Çakır,xu3efo2yr,چاقیر
Çakırbey,xu3efo2r bu1ko7,چاقر بگ
Çakırca,xu3efo2rxu1h,چاقرجه
Çakırer,xu3efo2rer,چاقرار
Çakıroğlu,xu3efo2yr ewao1ly,چاقیر اوغلی
Çakıroğulları,xu3efo2yr ewao1wllry,چاقیر اوغوللری
Çal,xu3el,چال
Çalapkulu,xu3elebu3fo2wlw,چالاپقولو
Çalapverdi,xu3elebu3 wyrdy,چالاپ ویردی
Çalapöver,xu3elebu3 ewwr,چالاپ اوور
Çalgan,xu3elfo2ebo1,چالقان
Çalgüner,xu3elko7wbo1r,چالگونر
Çalkan,xu3elfo2ebo1,چالقان
Çalkara,xu3elfo2rh,چالقره
Çalkın,xu3elfo2ybo1,چالقین
Çallı,xu3elly,چاللی
Çaloğlu,xu3el ewao1ly,چال اوغلی
Çaltı,xu3elbo2y,چالتی
Çalık,xu3elyfo2,چالیق
Çalıkbey,xu3elyfo2 bu1ko7,چالیق بگ
Çalıkoğlu,xu3elyfo2 ewao1ly,چالیق اوغلی
Çalıkuşu,xu3elyfo2wso3y,چالیقوشی
Çalım,xu3elym,چالیم
Çalın,xu3elybo1,چالین
Çalış,xu3elyso3,چالیش
Çalışkan,xu3elyso3fo2ebo1,چالیشقان
Çalışlar,xu3elyso3lr,چالیشلر
Çam,xu3em,چام
Çamak,xu3emefo2,چاماق
Çamaş,xu3emeso3,چاماش
Çambel,xu3embu1l,چامبل
Çamer,xu3emr,چامر
Çamlıbel,xu3emly bu1l,چاملی بل
Çamok,xu3emwfo2,چاموق
Çamoğlu,xu3em ewao1ly,چام اوغلی
Çamuroğlu,xu3emwr ewao1ly,چامور اوغلی
Çanakkale,xu3bo1efo2||fo2lah,چناق‌قلعه
Çanakçı,xu3bo1efo2xu3y,چناقچی
Çandar,xu3ebo1der,چاندار
Çandarlı,xu3ebo1derly,چاندارلی
Çaneri,xu3ebo1ry,چانری
Çanga,xu3ebo1ao1h,چانغه
Çangal,xu3ebo1ao1el,چانغال
Çankara,xu3ebo1fo2rh,چانقره
Çankaya,xu3ebo1fo2eye,چانقایا
Çankaya,xu3ebo1fo2eyh,چانقایه
Çankırı,xu3ebo1fo2yry,چانقیری
Çantay,xu3ebo1bo2ey,چانتای
Çapan,xu3ebu3ebo1,چاپان
Çapaner,xu3ebu3ebo1r,چاپانر
Çapar,xu3ebu3er,چاپار
Çaparoğlu,xu3ebu3er ewao1ly,چاپار اوغلی
Çapkan,xu3ebu3fo2ebo1,چاپقان
Çapoğlu,xu3ebu3 ewao1ly,چاپ اوغلی
Çapın,xu3ebu3ybo1,چاپین
Çarlan,xu3erlebo1,چارلان
Çarman,xu3ermebo1,چارمان
Çarıklı,xu3eryfo2ly,چاریقلی
Çarıkçı,xu3eryfo2xu1y,چاریقجی
Çarşamba,xu3erso3ebo1bu1e,چارشانبا
Çatalca,xu3ebo2elxu1h,چاتالجه
Çataloğlu,xu3ebo2el ewao1ly,چاتال اوغلی
Çatlı,xu3ebo2ly,چاتلی
Çav,xu3ew,چاو
Çavaş,xu3eweso3,چاواش
Çavdar,xu3ewder,چاودار
Çavdarlı,xu3ewderly,چاودارلی
Çavdaroğlu,xu3ewder ewao1ly,چاودار اوغلی
Çavdur,xu3ewdwr,چاودور
Çavlan,xu3ewlebo1,چاولان
Çavlı,xu3ewly,چاولی
Çavuldur,xu3ewwldwr,چاوولدور
Çavuş,xu3ewwso3,چاووش
Çavuşoğlu,xu3ewso3 ewao1ly,چاوش اوغلی
Çay,xu3ey,چای
Çaycı,xu3eyxu1y,چایجی
Çaydam,xu3eydem,چایدام
Çaydamar,xu3eytemer,چایطامار
Çaydamar,xu3eytmer,چایطمار
Çayhan,xu3eyxo1ebo1,چایخان
Çaykara,xu3eyfo2rh,چایقره
Çaylak,xu3eylefo2,چایلاق
Çaylan,xu3eylebo1,چایلان
Çaynak,xu3eybo1efo2,چایناق
Çayırlıoğlu,xu3eyrly ewao1ly,چایرلی اوغلی
Çağ,xu3eao1,چاغ
Çağa,xu3eao1h,چاغه
Çağakan,xu3eao1efo2ebo1,چاغاقان
Çağan,xu3eao1ebo1,چاغان
Çağanak,xu3eao1ebo1efo2,چاغاناق
