
Übeyd,abu1yd,عبید
Übeyde,ebu1ydh,ابیده
Übeydullah,abu1ydellh,عبیدالله
Übeyt,abu1yd,عبید
Übük,ewbu1wk,اوبوک
Üftade,efo1bo2edh,افتاده
Üge,ewko7h,اوگه
Ügü,ewko7w,اوگو
Üke,eo5wkh,أوکه
Üke,ewkh,اوکه
Ükkaşe,ewkkeso3h,اوککاشه
Ülez,ewlro1,اولز
Üleş,ewlso3,اولش
Ülfer,ewlfo1r,اولفر
Ülfet,elfo1bo2,الفت
Ülgen,eo5wlko7bo1,أولگن
Ülgen,ewlko7bo1,اولگن
Ülgenalp,ewlko7bo1 eo6lbu3,اولگن آلپ
Ülgener,ewlko7bo1 eo5r,اولگن أر
Ülger,ewlko7r,اولگر
Ülgü,ewlko7w,اولگو
Ülgür,ewlko7wr,اولگور
Ülke,ewlkh,اولکه
Ülkem,ewlkm,اولکم
Ülken,ewlkbo1,اولکن
Ülkenur,ewlkh bo1wr,اولکه نور
Ülker,eo5wlkr,أولکر
Ülker,ewlkr,اولکر
Ülkmen,eo5wlkmbo1,أولکمن
Ülkü,eo5wlkw,أولکو
Ülkü,ewlkw,اولکو
Ülkücü,ewlkwxu1w,اولکوجو
Ülküdeş,ewlkwdso3,اولکودش
Ülkühan,ewlkw xo1ebo1,اولکو خان
Ülkülü,ewlkwlw,اولکولو
Ülküm,ewlkwm,اولکوم
Ülkümen,eo5wlkwmbo1,أولکومن
Ülkümen,ewlkwmbo1,اولکومن
Ülkün,eo5wlkwbo1,أولکون
Ülkün,eo5wlkwko3,أولکوڭ
Ülküsel,ewlkwsl,اولکوسل
Ülkütan,ewlkwbo2ebo1,اولکوتان
Ülküye,ewlkwyh,اولکویه
Ülman,eo5wlmebo1,أولمان
Ülmen,ewlmbo1,اولمن
Ümek,ewmk,اومک
Ümit,ewmyd,اومید
Ümmet,embo2,امت
Ümmiye,emyh,امیه
Ümmühan,em xo1ebo1,ام خان
Ümniye,ewmbo1yh,اومنیه
Ümran,amrebo1,عمران
Ün,eo5wbo1,أون
Ün,eo5wko3,أوڭ
Ün,ewbo1,اون
Ünal,eo5wbo1el,أونال
Ünal,ewbo1el,اونال
Ünalan,ewbo1elebo1,اونالان
Ünaldı,eo5wbo1eldy,أونالدی
Ünaldı,ewbo1eldy,اونالدی
Ünalmış,ewbo1elmso3,اونالمش
Ünalp,ewbo1eo6lbu3,اونآلپ
Ünay,ewbo1ey,اونای
Ünaydın,eo5wbo1 eo6ydybo1,أون آیدین
Ünaydın,eo5wko3 eo6ydybo1,أوڭ آیدین
Ünek,ewbo1k,اونک
Ünen,eo5wbo1bo1,أونن
Üner,eo5wbo1r,أونر
Üner,ewbo1r,اونر
Üngördü,ewbo1ko7wrdw,اونگوردو
Üngören,ewbo1ko7wrbo1,اونگورن
Üngörmüş,ewbo1ko7wrmso3,اونگورمش
Üngün,ewbo1ko7wbo1,اونگون
Üngür,ewbo1ko7wr,اونگور
Ünkan,ewbo1fo2ebo1,اونقان
Ünkaya,ewbo1fo2eye,اونقایا
Ünlem,ewko3lm,اوڭلم
Ünlen,ewbo1lbo1,اونلن
Ünlü,eo5wbo1lw,أونلو
Ünlü,eo5wko3lw,أوڭلو
Ünlü,ewbo1lw,اونلو
Ünlüer,ewbo1lweo5r,اونلوأر
Ünlüol,ewbo1lwewl,اونلواول
Ünlüsoy,eo5wbo1lwzwy,أونلوصوی
Ünlüsoy,ewbo1lwzwy,اونلوصوی
Ünlütepe,eo5wbo1lw bo2bu3h,أونلو تپه
Ünsal,eo5wbo1sel,أونسال
Ünsal,eo5wbo1zel,أونصال
Ünsal,ewbo1sel,اونسال
Ünsalan,eo5wbo1zelebo1,أونصالان
Ünsan,ewbo1sebo1,اونسان
Ünsay,ewbo1zey,اونصای
Ünsaç,ewbo1sexu3,اونساچ
Ünsel,ewbo1sl,اونسل
Ünsev,ewbo1sw,اونسو
Ünseven,ewbo1swbo1,اونسون
Ünsever,ewbo1swr,اونسور
Ünsevin,ewbo1swybo1,اونسوین
Ünsi,ewbo1sy,اونسی
Ünsiye,ebo1syh,انسیه
Ünsoy,ewbo1zwy,اونصوی
Ünsür,eo5wbo1swr,أونسور
Üntürk,ewbo1bo2wrk,اونتورک
Ünver,eo5wbo1wr,أونور
Ünver,ewbo1wr,اونور
Ünverdi,ewbo1wyrdy,اونویردی
Ünveren,ewbo1wyrbo1,اونویرن
Ünvermiş,ewbo1wyrmso3,اونویرمش
Ünyay,ewbo1yey,اونیای
Ünye,ewbo1bu2h,اونيه
Ünzile,ebo1ro1lh,انزله
Ünübol,ewbo1wbu1wl,اونوبول
Ünüdeğer,ewbo1wdko7r,اونودگر
Ünügür,ewbo1wko7wr,اونوگور
Ünür,eo5wbo1wr,أونور
Ünüvar,eo5wbo1wwer,أونووار
Ünüvar,eo5wko3y wer,أوڭی وار
Ünüvar,ewbo1wwer,اونووار
Ünüçok,ewbo1wxu3wfo2,اونوچوق
Ürek,ewrk,اورک
Ürem,ewrm,اورم
Üren,ewrbo1,اورن
Üresin,eo5wrh sybo1,أوره سین
Üresin,ewrh sbo1,اوره سن
Üretmen,eo5wrbo2mbo1,أورتمن
Ürgün,ewrko7wbo1,اورگون
Ürgüp,ewrkwbu1,اورکوب
Ürgüplü,erko7wbu1ly,ارگوبلی
Ürkmez,ewrkmro1,اورکمز
Ürkün,eo5wrkwbo1,أورکون
Ürkün,ewrkwbo1,اورکون
Ürmegül,ewrmh ko7l,اورمه گل
Ürpek,ewrbu3k,اورپک
Ürper,ewrbu3r,اورپر
Ürün,eo5wrwbo1,أورون
Ürün,ewrwbo1,اورون
Ürünay,ewrwbo1 eo6y,اورون آی
Üründü,ewrwbo1dw,اوروندو
Üründübay,ewrwbo1dwbu1ey,اوروندوبای
Üs,ews,اوس
Üsgen,ewsko7bo1,اوسگن
Üsküdar,eskder,اسکدار
Üskül,eo5wskwl,أوسکول
Üst,eo5wsbo2,أوست
Üstat,ewsbo2ed,اوستاد
Üstay,ewsbo2ey,اوستای
Üstek,ewsbo2k,اوستک
Üstel,ewsbo2l,اوستل
Üster,ewsbo2r,اوستر
Üstol,ewsbo2wl,اوستول
Üstün,eo5wsbo2wbo1,أوستون
Üstün,ewsbo2wbo1,اوستون
Üstünbay,ewsbo2wbo1bu1ey,اوستونبای
Üstünbaş,eo5wsbo2wbo1bu1eso3,أوستونباش
Üstündağ,eo5wsbo2wbo1deao1,أوستونداغ
Üstüner,eo5wsbo2wbo1r,أوستونر
Üstüner,ewsbo2wbo1 eo5r,اوستون أر
Üstüngü,ewsbo2wbo1ko7w,اوستونگو
Üstünkol,eo5wsbo2wbo1fo2wl,أوستونقول
Ütügen,ewbo2wko7bo1,اوتوگن
Üveys,ewys,اویس
Üye,ewyh,اویه
Üz,ewro1,اوز
Üzek,ewro1k,اوزک
Üzer,ewro1r,اوزر
Üzeyir,aro1yr,عزیر
Üzülmez,ewro1wlmro1,اوزولمز
Üzümcü,ewro1wmxu1y,اوزومجی
Üçe,ewxu3h,اوچه
Üçel,ewxu3 el,اوچ ال
Üçer,eo5wxu3r,أوچر
Üçer,ewxu3r,اوچر
Üçgül,ewxu3ko7l,اوچگل
Üçkök,ewxu3kwk,اوچکوک
Üçok,eo5wxu3wfo2,أوچوق
Üçok,ewxu3wfo2,اوچوق
Üçpınarlar,eo5wxu3bu3yko3erlr,أوچپیڭارلر
Üçöz,eo5wxu3wro1,أوچوز
Üçük,ewxu3wk,اوچوک
Üçüncü,eo5wxu3bo1xu1y,أوچنجی
Üçışık,ewxu3 eyso3yfo2,اوچ ایشیق
Üğdül,eo5wko7dwl,أوگدول
Üşenmez,eo5wso3bo1mro1,أوشنمز
