
İba,ebu1e,ابا
İbad,abu1ed,عباد
İbadet,abu1edbo2,عبادت
İbadullah,abu1edellh,عبادالله
İbat,abu1ed,عباد
İbik,eybu1yk,ایبیک
İbili,ebu1ly,ابلی
İbiş,eybu1yso3,ایبیش
İbo,ebu1w,ابو
İbrahim,ebu1rehym,ابراهیم
İbrahimhakkıoğlu,ebu1rehym xfo2y ewao1ly,ابراهیم حقی اوغلی
İbranî,abu1rebo1y,عبرانی
İclâl,exu1lel,اجلال
İdi,eydy,ایدی
İdikurt,eydyfo2wrbo2,ایدیقورت
İdikut,eydyfo2wbo2,ایدیقوت
İdil,eydyl,ایدیل
İdris,edrys,ادریس
İfakat,efo1efo2bo2,افاقت
İffet,afo1bo2,عفت
İhlâs,exo1lez,اخلاص
İhsan,exsebo1,احسان
İhvan,exo1webo1,اخوان
İhya,exye,احیا
İhya,exyy,احیی
İkbal,efo2bu1el,اقبال
İkiz,eykyro1,ایکیز
İklil,eklyl,اکلیل
İklim,efo2lym,اقلیم
İkram,ekrem,اکرام
İkrami,ekremy,اکرامی
İksel,eyksl,ایکسل
İl,eyl,ایل
İlal,eyleo6l,ایلآل
İlalan,eyleo6lebo1,ایلآلان
İlaldı,eyleo6ldy,ایلآلدی
İlalmış,eyleo6lmyso3,ایلآلمیش
İlarslan,eylerslebo1,ایلارسلان
İlay,eyley,ایلای
İlayda,eyleydh,ایلایده
İlaydın,eyleo6ydybo1,ایلآیدین
İlbars,eylbu1erz,ایلبارص
İlbasan,eylbu1ezebo1,ایلباصان
İlbasmış,eylbu1ezmyso3,ایلباصمیش
İlbastı,eylbu1ezdy,ایلباصدی
İlbay,eylbu1ey,ایلبای
İlbaş,eylbu1eso3,ایلباش
İlbeg,eylbu1ko7,ایلبگ
İlbek,eylbu1k,ایلبک
İlbey,eylbu1ko7,ایلبگ
İlbeyi,eylbu1ko7y,ایلبگی
İlbike,eylbu1kh,ایلبکه
İlbilge,eylbu1ylko7h,ایلبیلگه
İlbozan,eylbu1wro1ebo1,ایلبوزان
İlbozdu,eylbu1wro1dw,ایلبوزدو
İlboğa,eylbu1wao1h,ایلبوغه
İlbudun,eylbu1wdwbo1,ایلبودون
İlcan,eylxu1ebo1,ایلجان
İlci,eylxu1y,ایلجی
İldem,eyldm,ایلدم
İldemer,eyldmr,ایلدمر
İldemir,eyldmyr,ایلدمیر
İlden,eyldbo1,ایلدن
İldeniz,eyldko3yro1,ایلدڭیز
İldeş,eyldso3,ایلدش
İlergin,eyl eo5rko7ybo1,ایل أرگین
İleri,eylry,ایلری
İlerigün,eylry kwbo1,ایلری کون
İlgar,eylao1er,ایلغار
İlgazi,eylao1ero1y,ایلغازی
İlgi,eylko7y,ایلگی
İlgin,eylko7yko3,ایلگیڭ
İlginay,eylko7ybo1ey,ایلگینای
İlginç,eylko7ybo1xu3,ایلگینچ
İlgü,eylko7w,ایلگو
İlgül,eylko7l,ایلگل
İlgün,eylko7wbo1,ایلگون
İlham,eylhem,ایلهام
İlhami,elhemy,الهامی
İlhan,eylxo1ebo1,ایلخان
İlig,eylyko7,ایلیگ
İlim,alm,علم
İlim,alym,علیم
İlimdar,alymder,علیمدار
İlimen,eylymbo1,ایلیمن
İlkan,eylfo2ebo1,ایلقان
İlkay,eylkey,ایلکای
İlkbahar,eylkbu1her,ایلکبهار
İlkbal,eylkbu1el,ایلکبال
İlkcan,eylkxu1ebo1,ایلکجان
İlke,eylkh,ایلکه
İlkehan,eylkh xo1ebo1,ایلکه خان
İlker,eylkr,ایلکر
İlkgül,eylkko7l,ایلکگل
İlki,eylky,ایلکی
İlkim,eylkym,ایلکیم
İlkin,eylkybo1,ایلکین
İlkiz,eylkyro1,ایلکیز
İlknaz,eylkbo1ero1,ایلکناز
İlknur,eylkbo1wr,ایلکنور
İlksel,eylksl,ایلکسل
İlksen,eylksbo1,ایلکسن
İlksev,eylksw,ایلکسو
İlksoy,eylkzwy,ایلکصوی
İlkut,eylfo2wbo2,ایلقوت
İlkutay,eylfo2wbo2ey,ایلقوتای
İlkutlu,eylfo2wbo2lw,ایلقوتلو
İlkyaz,eylkbu2ero1,ایلکياز
İlkün,eylkwbo1,ایلکون
İlkünsal,eylk abo1zel,ایلک عنصال
İlkışık,eylk eyso3yfo2,ایلک ایشیق
İlkşen,eylkso3bo1,ایلکشن
İlmen,eylmbo1,ایلمن
İlmiye,almyh,علمیه
İlpars,eylbu3ers,ایلپارس
İlsavaş,eylzeweso3,ایلصاواش
İlsavun,eylzewwbo1,ایلصاوون
İlsev,eylsw,ایلسو
İlseven,eylswbo1,ایلسون
İlsever,eylswr,ایلسور
İlsu,eylzw,ایلصو
İltan,eylbo2ebo1,ایلتان
İltay,eylbo2ey,ایلتای
İltaş,eyltso3,ایلطش
İltekin,eylbo2kybo1,ایلتکین
İltemir,eylbo2myr,ایلتمیر
İltemiz,eylbo2myro1,ایلتمیز
İltemür,eylbo2mwr,ایلتمور
İlter,eylbo2r,ایلتر
İlteriş,eylbo2ryso3,ایلتریش
İltutmuş,eyltwbo2mso3,ایلطوتمش
İltüze,eylbo2wro1h,ایلتوزه
İltüzün,eylbo2wro1wbo1,ایلتوزون
İlvan,eylwebo1,ایلوان
İlyas,elyes,الیاس
İlçi,eylxu3y,ایلچی
İlçin,eylxu3ybo1,ایلچین
İlşen,eylso3bo1,ایلشن
İmadettin,amed eldybo1,عماد الدین
İmam,emem,امام
İmamettin,emem eldybo1,امام الدین
İmamoğlu,emem ewao1ly,امام اوغلی
İman,eymebo1,ایمان
İmat,amed,عماد
İmbat,ebo1bu1ebo2,انبات
İmdat,emded,امداد
İme,eymh,ایمه
İmece,eymh xu1h,ایمه جه
İmer,eymr,ایمر
İmge,eymko7h,ایمگه
İmirzalıoğlu,eymyrro1ely ewao1ly,ایمیرزالی اوغلی
İmirzalıoğlu,eymyrzo1ely ewao1ly,ایمیرضالی اوغلی
İmre,eymrh,ایمره
İmren,eymrbo1,ایمرن
İnak,ebo1efo2,اناق
İnal,eybo1el,اینال
İnalbey,eybo1el bu1ko7,اینال بگ
İnalcık,eybo1elxu1fo2,اینالجق
İnalkut,eybo1elfo2wbo2,اینالقوت
İnaltekin,eybo1elbo2kybo1,اینالتکین
İnan,eybo1ebo1,اینان
İnankur,eybo1ebo1fo2wr,اینانقور
İnanoğlu,ebo1ebo1 ewao1ly,انان اوغلی
İnanç,eybo1ebo1xu3,اینانچ
İnançlı,eybo1ebo1xu3ly,اینانچلی
İnanöz,eybo1ebo1 ewro1,اینان اوز
İnanır,eybo1ebo1yr,اینانیر
İnayet,abo1eybo2,عنایت
İnce,eybo1xu1h,اینجه
İncealemdaroğlu,eybo1xu1h almder ewao1ly,اینجه علمدار اوغلی
İnceayan,eybo1xu1h eyebo1,اینجه ایان
İncebay,eybo1xu1h bu1ey,اینجه بای
İncebey,eybo1xu1h bu1ko7,اینجه بگ
İncedayı,eybo1xu1h deyy,اینجه دایی
İncekara,eybo1xu1h fo2rh,اینجه قره
İnceler,eybo1xu1h lr,اینجه لر
İncesu,ebu2bo1xu1h||sw,اينجه‌سو
İncesu,eybo1xu1h zw,اینجه صو
İncesulu,eybo1xu1h zwly,اینجه صولی
İncetahtacı,eybo1xu1h bo2xo1bo2h xu1y,اینجه تخته جی
İnceyan,eybo1xu1h yebo1,اینجه یان
İnceöz,eybo1xu1h ewro1,اینجه اوز
İnci,eybo1xu1y,اینجی
İnciden,eybo1xu1ydbo1,اینجیدن
İncifem,eybo1xu1yfo1m,اینجیفم
İncifer,eybo1xu1yfo1r,اینجیفر
İncigül,eybo1xu1yko7l,اینجیگل
İncilâ,eybo1xu1yle,اینجیلا
İncilây,eybo1xu1ykley,اینجیکلای
İncinur,eybo1xu1ybo1wr,اینجینور
İncioğlu,eybo1xu1y ewao1ly,اینجی اوغلی
İncisel,eybo1xu1ysl,اینجیسل
İnciser,eybo1xu1ysr,اینجیسر
İnebolu,ebu2bo1h||bu1wly,اينه‌بولی
İnegöl,ebu2bo1h||ko7wl,اينه‌گول
İngiliz,ebo1ko7lbu2ro1,انگليز
İngiltere,ebo1ko7lbo2rh,انگلتره
İnkaya,ebo1fo2eyh,انقایه
İnkılâp,ebo1fo2lebu1,انقلاب
İnsaf,ebo1sefo1,انساف
İnsel,eybo1sl,اینسل
İnönü,eybo1bo5wky,اینئوکی
İnönü,eybo1wbo1w,اینونو
İpar,eybu3er,ایپار
İpek,eybu3k,ایپک
İpekel,eybu3k eo5l,ایپک أل
İpekten,eybu3kbo2bo1,ایپکتن
İpekçi,eybu3kxu1y,ایپکجی
İpsala,ebu3zelh,اپصاله
İran,ebu2rebo1,ايران
İrbeç,eyrbu1xu3,ایربچ
İrdelp,eyrdlbu3,ایردلپ
İrem,eyrm,ایرم
İren,eyrbo1,ایرن
İrfan,arfo1ebo1,عرفان
İrfani,arfo1ebo1y,عرفانی
İrfaniye,arfo1ebo1yh,عرفانیه
İrfat,eyrfo1ebo2,ایرفات
İrgün,eyrko7wbo1,ایرگون
İris,eyrs,ایرس
İrtek,eyrbo2k,ایرتک
İrtemçelik,eyrbo2m xu3lyk,ایرتم چلیک
İrşadi,eyrso3edy,ایرشادی
İrşat,eyrso3ed,ایرشاد
İsa,aysy,عیسی
İsabet,ezebu1bo2,اصابت
İsen,eysbo1,ایسن
İsen,eysh ko3,ایسه ڭ
İsenbike,eysbo1 bu1ykh,ایسن بیکه
İsenkutluğ,eysbo1 fo2wbo2lwao1,ایسن قوتلوغ
İsfendiyar,eysfo1bo1dyer,ایسفندیار
İsfendiyaroğlu,esfo1bo1dyer ewao1ly,اسفندیار اوغلی
İshak,esxefo2,اسحاق
İskender,eskbo1dr,اسکندر
İskenderoğlu,eskbo1drewao1ly,اسکندراوغلی
İskilip,esklbu2bu3,اسکليپ
İskit,eyskybo2,ایسکیت
İslam,eslem,اسلام
İslamoğlu,eslem ewao1ly,اسلام اوغلی
İsler,eyslr,ایسلر
İslim,eslym,اسلیم
İslimyeli,eslym yly,اسلیم یلی
İslimî,eslymy,اسلیمی
İslâm,eslem,اسلام
İsmail,esmeayl,اسماعیل
İsmet,azmbo2,عصمت
İsmican,esmyxu1ebo1,اسمیجان
İsmigül,esmyko7l,اسمیگل
İsmihan,esmyxo1ebo1,اسمیخان
İsminaz,esmybo1ero1,اسمیناز
İsminur,esmybo1wr,اسمینور
İspanya,esbu3ebo1bu2e,اسپانيا
İspir,esbu3bu2r,اسپير
İspirli,esbu3yrly,اسپیرلی
İsrafil,esrefo1yl,اسرافیل
İsrâfil,esrefo1bu2l,اسرافيل
İsrâil,esrebo5bu2l,اسرائيل
İstanbul,esbo2ebo1bu1wl,استانبول
İstar,ester,اسطار
İstemi,eysbo2my,ایستمی
İstemihan,eysbo2mxo1ebo1,ایستمخان
İstikbAl,esbo2fo2bu1el,استقبال
İstiklâl,esbo2fo2lel,استقلال
İsvan,eyswebo1,ایسوان
İtalya,ebu2bo2elbu2e,ايتاليا
İtalyan,ebu2bo2elbu2ebo1,ايتاليان
İtibar,eabo2bu1er,اعتبار
İvecen,eywh xu1bo1,ایوه جن
İvegen,eywh ko7bo1,ایوه گن
İyem,eyym,اییم
İyicil,eyyxu1yl,اییجیل
İyidoğan,eyy twao1bo1,ایی طوغن
İyigün,eyyko7wbo1,اییگون
İyimaya,eyy meyh,ایی مایه
İyimser,eyymsr,اییمسر
İyiol,eyy ewl,ایی اول
İyisan,eyy zebo1,ایی صان
İyisoy,eyy zwy,ایی صوی
İyiyürek,eyy ywrk,ایی یورک
İyriboz,eyry bu1wro1,ایری بوز
İzboğa,eyro1bu1wao1h,ایزبوغه
İzbudak,eyro1bu1wdefo2,ایزبوداق
İzbudun,eyro1bu1wdwbo1,ایزبودون
İzbul,eyro1bu1wl,ایزبول
İzbörü,eyro1bu1wrw,ایزبورو
İzel,eyro1l,ایزل
İzem,eyro1m,ایزم
İzerdem,eyro1 erdm,ایز اردم
İzgi,eyro1ko7y,ایزگی
İzgü,eyro1ko7w,ایزگو
İzgül,eyro1ko7l,ایزگل
İzgün,eyro1ko7wbo1,ایزگون
İzmen,eyro1mbo1,ایزمن
İzmir,ero1mbu2r,ازمير
İzol,eyro1wl,ایزول
İzzet,aro1bo2,عزت
İzzettin,aro1bo2 eldybo1,عزت الدین
İçaçan,eyxu3 eo6xu3ebo1,ایچ آچان
İçel,ebu2xu3||ebu2l,ايچ‌ايل
İçim,eyxu3ym,ایچیم
İçimbike,eyxu3ymbu1ykh,ایچیمبیکه
İçli,eyxu3ly,ایچلی
İçten,eyxu3bo2bo1,ایچتن
İçten,eyxu3dbo1,ایچدن
İçöz,eyxu3 ewro1,ایچ اوز
İçöz,eyxu3wro1,ایچوز
İğdemir,eyao1dmyr,ایغدمیر
İşbakan,eyso3bu1efo2ebo1,ایشباقان
İşbay,eyso3bu1ey,ایشبای
İşbaşaran,eyso3bu1eso3erebo1,ایشباشاران
İşbilen,eyso3bu1ylbo1,ایشبیلن
İşcan,eyso3xu1ebo1,ایشجان
İşcen,eyso3xu1bo1,ایشجن
İşeri,eyso3ry,ایشری
İşgüden,eyso3ko7wdbo1,ایشگودن
İşgüder,eyso3ko7wdr,ایشگودر
İşgüzar,eyso3ko7wdo1er,ایشگوذار
İşkur,eyso3fo2wr,ایشقور
İşler,eyso3lr,ایشلر
İşleten,eyso3lbo2bo1,ایشلتن
İşman,eyso3mebo1,ایشمان
İşmen,eyso3mbo1,ایشمن
İşseven,eyso3swbo1,ایشسون
İşsever,eyso3swr,ایشسور
İşvekâr,aso3wh ker,عشوه کار
