
Şaban,so3abu1ebo1,شعبان
Şad,so3ed,شاد
Şadan,so3edebo1,شادان
Şader,so3edr,شادر
Şadi,so3edy,شادی
Şadiye,so3edyh,شادیه
Şaduman,so3edmebo1,شادمان
Şadıman,so3edmebo1,شادمان
Şafak,so3efo1efo2,شافاق
Şafak,so3fo1fo2,شفق
Şafaknur,so3efo1efo2bo1wr,شافاقنور
Şafi,so3efo1y,شافی
Şafiye,so3fo1yh,شفیه
Şah,so3eh,شاه
Şahabettin,so3hebu1 eldybo1,شهاب الدین
Şahadet,so3hedbo2,شهادت
Şahadettin,so3hed eldybo1,شهاد الدین
Şahamet,so3xembo2,شحامت
Şahan,so3ehebo1,شاهان
Şahan,so3exo1ebo1,شاخان
Şahane,so3ehebo1h,شاهانه
Şahap,so3ehebu3,شاهاپ
Şahat,so3ehebo2,شاهات
Şahbanu,so3ehbu1ebo1w,شاهبانو
Şahbaz,so3ehbu1ero1,شاهباز
Şahbey,so3ehbu1ko7,شاهبگ
Şahdane,so3ehdebo1h,شاهدانه
Şahdar,so3ehder,شاهدار
Şahende,so3ehbo1dh,شاهنده
Şaheser,so3eh ebo3r,شاه اثر
Şahhanım,so3eh xo1ebo1m,شاه خانم
Şahika,so3ehfo2h,شاهقه
Şahin,so3ehybo1,شاهین
Şahinalp,so3ehybo1 eo6lbu3,شاهین آلپ
Şahinbay,so3ehybo1 bu1ey,شاهین بای
Şahinbaş,so3ehybo1bu1eso3,شاهینباش
Şahinbey,so3ehybo1 bu1ko7,شاهین بگ
Şahiner,so3ehybo1r,شاهینر
Şahinhan,so3ehybo1xo1ebo1,شاهینخان
Şahinkan,so3ehybo1fo2ebo1,شاهینقان
Şahinoğlu,so3ehybo1 ewao1ly,شاهین اوغلی
Şahinter,so3ehbo1bo2r,شاهنتر
Şahistan,so3ehsbo2ebo1,شاهستان
Şahittin,so3eh eldybo1,شاه الدین
Şahkulubey,so3eh fo2wlw bu1ko7,شاه قولو بگ
Şahlan,so3ehlebo1,شاهلان
Şahmelek,so3ehmlk,شاهملک
Şahnaz,so3ehbo1ero1,شاهناز
Şahnisa,so3ehbo1se,شاهنسا
Şahnur,so3ehbo1wr,شاهنور
Şahnâme,so3ehbo1emh,شاهنامه
Şahruh,so3ehrwx,شاهروح
Şahsüvar,so3ehswer,شاهسوار
Şahsınur,so3xo1z bo1wr,شخص نور
Şahvar,so3ehwer,شاهوار
Şahvelet,so3ehwld,شاهولد
Şahver,so3ehwr,شاهور
Şahzade,so3hro1edh,شهزاده
Şahzat,so3ehro1ebo2,شاهزات
Şahıgül,so3ehyko7l,شاهیگل
Şaik,so3ebo5fo2,شائق
Şaika,so3ebo5fo2h,شائقه
Şair,so3ear,شاعر
Şaire,so3earh,شاعره
Şakar,so3efo2er,شاقار
Şakayık,so3fo2eyfo2,شقایق
Şakir,so3ekr,شاکر
Şakire,so3ekrh,شاکره
Şakranlı,so3efo2rebo1ly,شاقرانلی
Şam,so3em,شام
Şaman,so3emebo1,شامان
Şamdereli,so3emdrh ly,شامدره لی
Şamih,so3emxo1,شامخ
Şamiha,so3emxh,شامحه
Şamil,so3eml,شامل
Şamile,so3emlh,شامله
Şamiloğlu,so3eml ewao1ly,شامل اوغلی
Şan,so3ebo1,شان
Şanal,so3ebo1el,شانال
Şanalp,so3ebo1 eo6lbu3,شان آلپ
Şandır,so3ebo1dyr,شاندیر
Şaner,so3ebo1r,شانر
Şanlı,so3ebo1ly,شانلی
Şanlıbay,so3ebo1lybu1ey,شانلیبای
Şansal,so3ebo1sel,شانسال
Şansel,so3ebo1sl,شانسل
Şanser,so3ebo1sr,شانسر
Şanver,so3ebo1 wyr,شان ویر
Şanver,so3ebo1wr,شانور
Şanverdi,so3ebo1 wrdy,شان وردی
Şapdenizi,so3ebu3 dko3ro1y,شاپ دڭزی
Şar,so3er,شار
Şarbay,so3erbu1ey,شاربای
Şarika,so3erfo2h,شارقه
Şarkî Karaağaç,so3rfo2y fo2rh||eo6ao1exu1,شرقی قره‌آغاج
Şarköy,so3erkwy,شارکوی
Şarkışla,so3erfo2bu2so3lh,شارقيشله
Şarlan,so3erlebo1,شارلان
Şarık,so3erfo2,شارق
Şatana,so3ebo2ebo1h,شاتانه
Şatır,so3etr,شاطر
Şatır,so3tyr,شطیر
Şavlı,so3ewly,شاولی
Şavsal,so3ewsel,شاوسال
Şavşat,so3ewso3ebo2,شاوشات
Şayan,so3eyebo1,شایان
Şayegân,so3eyko7ebo1,شایگان
Şayeste,so3eysbo2h,شایسته
Şaylan,so3eylebo1,شایلان
Şazi,so3ero1y,شازی
Şaziment,so3ero1mbo1bo2,شازمنت
Şaziye,so3ero1yh,شازیه
Şaşmaz,so3eso3mero1,شاشماز
Şebap,so3bu1ebu1,شباب
Şebin Karahisar,so3bu1bu2fo2 fo2rh||xzer,شبيق قره‌حصار
Şebnem,so3bu1bo1m,شبنم
Şebnur,so3bu1bo1wr,شبنور
Şecaat,so3xu1eabo2,شجاعت
Şedele,so3dlh,شدله
Şefaat,so3fo1eabo2,شفاعت
Şefaattin,so3fo1ea eldybo1,شفاع الدین
Şefik,so3fo1yfo2,شفیق
Şefika,so3fo1yfo2h,شفیقه
Şefkat,so3fo1fo2bo2,شفقت
Şeh,so3h,شه
Şehadet,so3hedbo2,شهادت
Şehadettin,so3hed eldybo1,شهاد الدین
Şehamet,so3hembo2,شهامت
Şehbal,so3hbu1el,شهبال
Şehim,so3hym,شهیم
Şehime,so3hymh,شهیمه
Şehinşah,so3hybo1so3eh,شهینشاه
Şehlevent,so3hlwbo1d,شهلوند
Şehmuz,so3hmwro1,شهموز
Şehnaz,so3hbo1ero1,شهناز
Şehper,so3hbu3r,شهپر
Şehrazat,so3hrro1ed,شهرزاد
Şehremini,so3hrembu2bo1y,شهرامينی
Şehriban,so3hrbu1ebo1,شهربان
Şehrinaz,so3hrbo1ero1,شهرناز
Şehriye,so3hryh,شهریه
Şehriyâr,so3hryer,شهریار
Şehsüvar,so3hswer,شهسوار
Şehvar,so3hwer,شهوار
Şehzade,so3hro1edh,شهزاده
Şehzat,so3hro1ed,شهزاد
Şehâlem,so3helm,شهالم
Şeker,so3kr,شکر
Şekercioğlu,so3krxu1y ewao1ly,شکرجی اوغلی
Şekernaz,so3krbo1ero1,شکرناز
Şekerpare,so3krbu3erh,شکرپاره
Şekibe,so3kybu1h,شکیبه
Şekime,so3kymh,شکیمه
Şekip,so3kybu3,شکیپ
Şekûr,so3kwr,شکور
Şekûre,so3kwrh,شکوره
Şellefyan,so3llfo1yebo1,شللفیان
Şelâle,so3lelh,شلاله
Şemail,so3mebo5l,شمائل
Şemdin,so3mdybo1,شمدین
Şemdinan,so3bu2mdbu2bo1ebo1,شيمدينان
Şemi,so3my,شمی
Şemim,so3mym,شمیم
Şemime,so3mymh,شمیمه
Şeminur,so3mybo1wr,شمینور
Şems,so3ms,شمس
Şemsek,so3msk,شمسک
Şemsettin,so3ms eldybo1,شمس الدین
Şemsi,so3msy,شمسی
Şemsifer,so3msyfo1r,شمسیفر
Şemsinisa,so3msybo1se,شمسینسا
Şemsiye,so3msyh,شمسیه
Şen,so3bo1,شن
Şenal,so3bo1eo6l,شنآل
Şenalp,so3bo1eo6lbu3,شنآلپ
Şenaltan,so3bo1 eo6lbo2ebo1,شن آلتان
Şenay,so3bo1ey,شنای
Şenbay,so3bo1bu1ey,شنبای
Şenbaş,so3bo1bu1eso3,شنباش
Şencan,so3bo1xu1ebo1,شنجان
Şendağ,so3bo1deao1,شنداغ
Şendağ,so3bo1teao1,شنطاغ
Şendeniz,so3bo1dko3ro1,شندڭز
Şendil,so3bo1dl,شندل
Şendiller,so3bo1dllr,شندللر
Şendoğan,so3bo1 twao1ebo1,شن طوغان
Şendur,so3bo1dwr,شندور
Şenel,so3bo1l,شنل
Şener,so3bo1r,شنر
Şengeldi,so3bo1ko7ldy,شنگلدی
Şengil,so3bo1ko7yl,شنگیل
Şengönül,so3bo1ko7wko3l,شنگوڭل
Şengül,so3bo1ko7l,شنگل
Şengül,so3bo1ko7wl,شنگول
Şengüler,so3bo1ko7lr,شنگلر
Şengün,so3bo1ko7wbo1,شنگون
Şeniz,so3bo1yro1,شنیز
Şenkal,so3bo1fo2el,شنقال
Şenlen,so3bo1lbo1,شنلن
Şenlik,so3bo1lyk,شنلیک
Şennur,so3bo1bo1wr,شننور
Şenocak,so3bo1 ewxu1efo2,شن اوجاق
Şenol,so3bo1wl,شنول
Şenozan,so3bo1 ewro1ebo1,شن اوزان
Şensal,so3bo1sel,شنسال
Şensen,so3bo1sbo1,شنسن
Şensoy,so3bo1zwy,شنصوی
Şensu,so3bo1zw,شنصو
Şentop,so3bo1twbu3,شنطوپ
Şentürk,so3bo1 bo2rk,شن ترک
Şentürk,so3bo1bo2wrk,شنتورک
Şenyaşar,so3bo1 yeso3er,شن یاشار
Şenyer,so3bo1 yr,شن یر
Şenyurt,so3bo1ywrd,شنیورد
Şenyüz,so3bo1ywro1,شنیوز
Şenyıl,so3bo1yyl,شنییل
Şenöz,so3bo1wro1,شنوز
Şenözen,so3bo1wro1bo1,شنوزن
Şerafet,so3refo1bo2,شرافت
Şerafettin,so3refo1 eldybo1,شراف الدین
Şerbet,so3rbu1bo2,شربت
Şerbetçioğlu,so3rbu1bo2xu1y ewao1ly,شربتجی اوغلی
