
aba,eo6bu1e,آبا
abandır,eo6bu1ebo1dyr,آباندیر
abanla,eo6bu1ebo1le,آبانلا
acıklan,eo6xu1yfo2lebo1,آجیقلان
acıktır,eo6xu1yfo2dyr,آجیقدیر
acın,eo6xu1ybo1,آجین
acındır,eo6xu1ybo1dyr,آجیندیر
acıt,eo6xu1ybo2,آجیت
adat,eo6debo2,آدات
addet,adeybo2,عدایت
adla,eo6dle,آدلا
adlan,eo6dlebo1,آدلان
adımla,eo6dymle,آدیملا
afalla,eo6fo1elle,آفاللا
afallat,eo6fo1ellebo2,آفاللات
afallaş,eo6fo1ellso3,آفاللش
aforozla,eo6fo1wrwro1le,آفوروزلا
ahdet,ahdebo2,عهدات
ahidleş,ahdlso3,عهدلش
ahırla,eo6xo1wrle,آخورلا
akdet,afo2deybo2,عقدایت
aksat,eo6fo2sebo2,آقسات
aksır,eo6fo2syr,آقسیر
aksırt,eo6fo2syrbo2,آقسیرت
aktar,eo6fo2bo2er,آقتار
akıt,eo6fo2ybo2,آقیت
akşamla,eo6fo2so3emle,آقشاملا
akşamlat,eo6fo2so3emlebo2,آقشاملات
aldan,eo6ldebo1,آلدان
aldat,eo6ldebo2,آلدات
aldır,eo6ldyr,آلدیر
alevlen,alw||lbo1,علو‌لن
alevlen,eo6lw||lbo1,آلو‌لن
alevlendir,alwlbo1dyr,علولندیر
alevlendir,eo6lwlbo1dyr,آلولندیر
alkışla,eo6lfo2yso3le,آلقیشلا
alkışlan,eo6lfo2yso3lebo1,آلقیشلان
altmışla,eo6lbo2mso3le,آلتمشلا
altınla,eo6lbo2wbo1le,آلتونلا
alçal,eo6lxu3el,آلچال
alçıla,eo6lxu3yle,آلچیلا
alıko,eo6lyfo2w,آلیقو
alıver,eo6lywyr,آلیویر
alıştır,eo6lyso3bo2r,آلیشتر
alışıl,eo6lyso3l,آلیشل
an,eo6lo5o3,آك
anaçla,eo6bo1exu1le,آناجلا
andlaş,eo6bo1dleso3,آندلاش
andır,eo6bo1dyr,آندیر
anla,eo6lo5o3le,آكلا
anlan,eo6lo5o3lebo1,آكلان
anlat,eo6lo5o3lebo2,آكلات
anlatdır,eo6lo5o3lebo2dyr,آكلاتدیر
anlatıl,eo6lo5o3ledyl,آكلادیل
anlaş,eo6lo5o3leso3,آكلاش
anlaşıl,eo6lo5o3leso3l,آكلاشل
anıl,eo6lo5o3l,آكل
anır,eo6lo5o3yr,آكیر
anırt,eo6lo5o3yrbo2,آكیرت
apar,eo6bu3er,آپار
arala,eo6rele,آرالا
aralan,eo6relebo1,آرالان
aralat,eo6relebo2,آرالات
aralaş,eo6releso3,آرالاش
