
badanala,bu1edebo1ele,بادانالا
baktır,bu1efo2dyr,باقدیر
bakıl,bu1efo2yl,باقیل
baltala,bu1eltele,بالطالا
balıkla,bu1elyfo2le,بالیقلا
ban,bu1ebo1,بان
barın,bu1erybo1,بارین
barındır,bu1erybo1dyr,باریندیر
barıştır,bu1eryso3dyr,باریشدیر
bastır,bu1ezdyr,باصدیر
bastırıl,bu1ezdyryl,باصدیریل
basıl,bu1ezyl,باصیل
bat,bu1ebo2,بات
batır,bu1ebo2yr,باتیر
batırıl,bu1ebo2yryl,باتیریل
bayatla,bu1eyebo2le,بایاتلا
bayatlat,bu1eyebo2lebo2,بایاتلات
bayatlaş,bu1eyebo2leso3,بایاتلاش
bayramlaş,bu1eyremleso3,بایراملاش
bayıl,bu1eyyl,باییل
bayılt,bu1eyylbo2,باییلت
bağışla,bu1eao1yso3le,باغیشلا
başaklan,bu1eso3efo2lebo1,باشاقلان
başar,bu1eso3er,باشار
başarıl,bu1eso3eryl,باشاریل
başkalaş,bu1eso3fo2h||leso3,باشقه‌لاش
başla,bu1eso3le,باشلا
başlan,bu1eso3lebo1,باشلان
başlanıl,bu1eso3lebo1yl,باشلانیل
başlat,bu1eso3lebo2,باشلات
becer,bu1xu1r,بجر
becert,bu1xu1rbo2,بجرت
bekle,bu1klh||,بکله‌
beklen,bu1klh||bo1,بکله‌ن
beklet,bu1klh||bo2,بکله‌ت
bekleş,bu1klh||so3,بکله‌ش
belir,bu1lyr,بلیر
belle,bu1lh||,بله‌
bellen,bu1lh||bo1,بله‌ن
bellet,bu1lh||bo2,بله‌ت
benimse,bu1bo1msh||,بنمسه‌
benze,bu1lo5o3ro1h||,بكزه‌
benzet,bu1lo5o3ro1h||bo2,بكزه‌ت
besle,bu1slh||,بسله‌
beslen,bu1slh||bo1,بسله‌ن
beslet,bu1slh||bo2,بسله‌ت
bestele,bu1sbo2h||lh||,بسته‌له‌
beyazlan,bu1yezo1lebo1,بیاضلان
beyazlat,bu1yezo1lebo2,بیاضلات
beyazlaş,bu1yezo1leso3,بیاضلاش
beze,bu1ro1h||,بزه‌
beğen,bu1ko7bo1,بگن
beğendir,bu1ko7bo1dyr,بگندیر
beğenil,bu1ko7bo1yl,بگنیل
bildir,bu1yldyr,بیلدیر
bildiril,bu1yldyryl,بیلدیریل
bile,bu1ylh||,بیله‌
bilen,bu1ylh||bo1,بیله‌ن
bilet,bu1ylh||bo2,بیله‌ت
bilin,bu1ylybo1,بیلین
bin,bu1ybo1,بین
bindir,bu1ybo1dyr,بیندیر
binil,bu1ybo1yl,بینیل
birik,bu1ryk,بریک
birikdir,bu1rykdyr,بریکدیر
birleş,bu1rlso3,برلش
birleştir,bu1rlso3dyr,برلشدیر
bitir,bu1ybo2yr||,بیتیر‌
bitiş,bu1ybo2yso3,بیتیش
bitişdir,bu1ybo2yso3dyr,بیتیشدیر
bitlen,bu1ybo2lh||bo1,بیتله‌ن
biç,bu1yxu3,بیچ
biçdir,bu1yxu3dyr,بیچدیر
biçil,bu1yxu3yl,بیچیل
bocala,bu1wxu1ele,بوجالا
bohçala,bu1wao1xu3h||le,بوغچه‌لا
bolal,bu1wlel,بولال
bollan,bu1wllebo1,بوللان
