
camla,xu1emle,جاملا
camlat,xu1emlebo2,جاملات
canlan,xu1ebo1lebo1,جانلان
canlandır,xu1ebo1lebo1dyr,جانلاندیر
casusla,xu1eswsle,جاسوسلا
cavla,xu1ewle,جاولا
caydır,xu1eydyr,جایدیر
cayırda,xu1eyyr||de,جاییر‌دا
cayırdat,xu1eyyr||debo2,جاییر‌دات
cem'et,xu1ma eybo2,جمع ایت
cemile,xu1malh||,جمعله‌
cemilen,xu1malh||bo1,جمعله‌ن
cenkleş,xu1bo1keso3,جنکاش
cerahatlen,xu1rexbo2lh||bo1,جراحتله‌ن
cesaretlen,xu1serbo2lh||bo1,جسارتله‌ن
cezalan,xu1ro1elebo1,جزالان
cezalandır,xu1ro1elebo1dyr,جزالاندیر
cilala,xu1lele,جلالا
cildle,xu1ldlh||,جلدله‌
cildlet,xu1ldlbo2,جلدلت
coş,xu1wso3,جوش
coşdur,xu1wso3dwr,جوشدور
cumbulda,xu1wmbu1wlde,جومبولدا
cırla,xu1yrle,جیرلا
cırlat,xu1yrlebo2,جیرلات
cırtla,xu1yrbo2le,جیرتلا
cırılda,xu1yrylde,جیریلدا
cıvılda,xu1ywylde,جیویلدا
cıyırda,xu1yyrde,جییردا
cızla,xu1yro1le,جیزلا
cızılda,xu1yro1ylde,جیزیلدا
cızırda,xu1yro1yrde,جیزیردا
cızırdat,xu1yro1yrdebo2,جیزیردات
