
dadan,dedebo1,دادان
dadan,tedebo1,طادان
dadandır,dedebo1dyr,داداندیر
dala,dele,دالا
dala,tele,طالا
dalaş,teleso3,طالاش
daldır,deldyr,دالدیر
dalgalan,delao1elebo1,دالغالان
dalgalandır,delao1elebo1dyr,دالغالاندیر
dallan,dellebo1,داللان
dallandır,dellebo1dyr,داللاندیر
damgalan,demao1elebo1,دامغالان
damlat,demlebo2,داملات
danele,debo1h||l,دانه‌ل
danelendir,debo1h||lbo1dyr,دانه‌لندیر
danelet,debo1h||lbo2,دانه‌لت
danış,debo1yso3,دانیش
danış,tebo1yso3,طانیش
daral,derel,دارال
daral,terel,طارال
daralt,derelbo2,دارالت
daralt,terelbo2,طارالت
darlat,derlebo2,دارلات
darlaş,derleso3,دارلاش
darlaşdır,derleso3dyr,دارلاشدیر
darıl,deryl,داریل
darıl,teryl,طاریل
darılt,derylbo2,داریلت
davran,dewrebo1,داوران
davrandır,dewrebo1dyr,داوراندیر
daya,deye,دایا
dayakla,deyefo2le,دایاقلا
dayan,deyebo1,دایان
dayan,teyebo1,طایان
dayat,deyebo2,دایات
dağla,deao1le,داغلا
dağlat,deao1lebo2,داغلات
dağıl,deao1yl,داغیل
dağıt,deao1ybo2,داغیت
dağıt,teao1ybo2,طاغیت
dağıtıl,deao1ybo2yl,داغیتیل
de,d,د
de,dy,دی
debelen,dbu1h||lbo1,دبه‌لن
defet,dfo1a eybo2,دفع ایت
defnet,dfo1bo1 eybo2,دفن ایت
del,dl,دل
deldir,dldyr,دلدیر
delin,dlybo1,دلین
delir,dlyr,دلیر
delirt,dlyrbo2,دلیرت
demetle,dmbo2lh||,دمتله‌
den,dybo1,دین
dene,dbo1h||,دنه‌
denen,dbo1h||bo1,دنه‌ن
denenil,dbo1bo1yl,دننیل
denet,dbo1h||bo2,دنه‌ت
denil,dybo1l,دینل
denkleş,dbo1klso3,دنکلش
denkleşdir,dbo1klso3dyr,دنکلشدیر
depret,bo2bu3rbo2,تپرت
depret,dbu3rh||bo2,دپره‌ت
depreşdir,dbu3rso3dyr,دپرشدیر
dercet,drxu1 eybo2,درج ایت
derdlen,drdlh||bo1,دردله‌ن
derdleş,drdlh||so3,دردله‌ش
derilen,drylbo1,دریلن
derinlet,drybo1lh||bo2,درینله‌ت
derinleş,drybo1lh||so3,درینله‌ش
destekle,dsbo2klh||,دستکله‌
desteklen,dsbo2klh||bo1,دستکله‌ن
devir,dwyr,دویر
devirt,dwyrbo2,دویرت
devril,dwryl,دوریل
devşir,dwso3yr,دوشیر
devşirt,dwso3yrbo2,دوشیرت
değ,dko7,دگ
değiştir,dko7yso3dyr,دگیشدیر
deşil,dh||so3yl,ده‌شیل
deşil,dso3ly,دشلی
didikle,dydyklh||,دیدیکله‌
didin,dydybo1,دیدین
didiş,dydyso3,دیدیش
dikdir,dykdyr,دیکدیر
dikil,dykyl,دیکیل
dile,dylh||,دیله‌
dilen,dylbo1,دیلن
dillen,dyllbo1,دیللن
dilleş,dyllyso3,دیللیش
din,dylo5o3,دیك
dindirt,dykdyr,دیکدیر
dinle,dyklh||,دیکله‌
dinlen,dyklbo1,دیکلن
dinlendir,dyklbo1dyr,دیکلندیر
diren,dyrh||bo1,دیره‌ن
diril,dyryl,دیریل
dirilt,dyrylbo2,دیریلت
dizdir,dyro1dyr,دیزدیر
dizil,dyro1yl,دیزیل
dişle,dyso3l,دیشل
doku,dwfo2w,دوقو
doku,twfo2w,طوقو
dokun,dwfo2wbo1,دوقون
dokun,twfo2wbo1,طوقون
dokundur,dwfo2wbo1dyr,دوقوندیر
dokunul,dwfo2wbo1l,دوقونل
dokut,dwfo2wbo2,دوقوت
dokut,twfo2wbo2,طوقوت
dol,dwl,دول
dol,twl,طول
dola,dwle,دولا
dolandır,dwlebo1dyr,دولاندیر
dolaş,twleso3,طولاش
dolaşdır,dwleso3dyr,دولاشدیر
dolaştırıl,dwleso3dyryl,دولاشدیریل
doldurt,dwldwrbo2,دولدورت
doldurul,dwldwrl,دولدورل
don,twlo5o3,طوك
donan,dwbo1ebo1,دونان
donat,dwbo1ebo2,دونات
donat,twbo1ebo2,طونات
donatdır,dwbo1ebo2dyr,دوناتدیر
donatıl,dwbo1ebo2yl,دوناتیل
dondur,dwbo1dwr,دوندور
dondur,dwlo5o3dyr,دوكدیر
donuklan,dwbo1wfo2lebo1,دونوقلان
doy,dwy,دوی
doy,twy,طوی
doyrul,dwyrwl,دویرول
doyrul,twyryl,طویریل
doyul,dwywl,دویول
doyur,dwywr,دویور
doyur,twywr,طویور
doğ,dwao1,دوغ
doğ,twao1,طوغ
doğra,dwao1re,دوغرا
doğra,twao1re,طوغرا
doğrat,dwao1rebo2,دوغرات
doğrat,twao1rebo2,طوغرات
doğrul,dwao1rwl,دوغرول
doğrula,dwao1rwle,دوغرولا
doğrult,dwao1rwlbo2,دوغرولت
doğur,dwao1wr,دوغور
doğur,twao1wr,طوغور
doğurt,dwao1wrbo2,دوغورت
dumanla,dwmebo1le,دومانلا
dumanlan,dwmebo1lebo1,دومانلان
durakla,dwrefo2le,دوراقلا
durakla,twrefo2le,طوراقلا
durdur,dwrdwr,دوردور
durdur,twrdyr,طوردیر
durul,dwrwl,دورول
durul,twrl,طورل
durul,twrwlebo1,طورولان
durula,dwrwle,دورولا
durulan,dwrwlebo1,دورولان
durult,dwrwlbo2,دورولت
duvaklan,dwwefo2lebo1m,دوواقلانم
duy,dwy,دوی
duy,twy,طوی
duyul,dwywl,دویول
duyur,dwywr,دویور
dök,dwk,دوک
dökdür,dwkdyr,دوکدیر
dökül,dwkwl,دوکول
dön,dwbo1,دون
döndür,dwbo1dyr,دوندیر
dönül,dwbo1wl,دونول
dönüşdür,dwbo1wso3dyr,دونوشدیر
döğ,dwko7,دوگ
döğdür,dwko7dyr,دوگدیر
döğül,dwko7wl,دوگول
döğün,dwko7wbo1,دوگون
döğüş,dwko7wso3,دوگوش
döşe,dwso3h||,دوشه‌
döşen,dwso3bo1,دوشن
döşet,dwso3bo2,دوشت
