
ebrüla,ebu1rwle,ابرولا
edeblen,edbu1lbo1,ادبلن
edil,eydl,ایدل
edin,eydbo1,ایدن
ekil,ekyl,اکیل
ekle,eklh||,اکله‌
eksikle,eksyklh||,اکسیکله‌
eksil,eksyl,اکسیل
eksilt,eksylbo2,اکسیلت
ekşit,ekso3ybo2,اکشیت
ele,elh||,اله‌
elet,elbo2,الت
elle,eo5llh||,ألله‌
ellen,eo5llh||bo1,ألله‌ن
elleş,eo5llso3,أللش
elver,eo5lwyr,ألویر
emdir,emdyr,امدیر
emekle,emkl,امکل
emil,eo5ml,أمل
emzir,emro1yr,امزیر
ensele,elo5o3sh||l,اكسه‌ل
er,er,ار
eri,ery,اری
erit,erybo2,اریت
eritil,erydl,اریدل
eriş,eyryso3,ایریش
ertele,eyrbo2h||lh||,ایرته‌له‌
es,es,اس
esaslan,eseslebo1,اساسلان
esaslandır,eseslebo2dyr,اساسلاتدیر
esdir,esdyr,اسدیر
esirge,eo5syrkh||,أسیرکه‌
eski,eo5sky,أسکی
eskit,eo5skybo2,أسکیت
esne,esbo1h||,اسنه‌
esnet,eo5sbo1bo2,أسنت
et,eybo2,ایت
etdir,eybo2dyr,ایتدیر
etekle,ebo2klh||,اتکله‌
ever,eo5wr,أور
evir,eo5wyr,أویر
evlen,eo5wlh||bo1,أوله‌ن
eyle,eylh||,ایله‌
ez,ero1,از
ezberle,ero1bu1rlh||,ازبرله‌
ezberlen,ero1bu1rlbo1,ازبرلن
ezberlet,ero1bu1rlbo2,ازبرلت
ezdir,ero1dyr,ازدیر
ezil,ero1l,ازل
eğele,eko7h||l,اگه‌ل
eğelet,eko7h||lbo2,اگه‌لت
eğir,eko7r,اگر
eğirt,eko7yrbo2,اگیرت
eğle,eko7lh||,اگله‌
eğlen,eko7lbo1,اگلن
eğlendir,eko7lbo1dyr,اگلندیر
eğril,eko7rl,اگرل
eşdir,eo5so3dyr,أشدیر
eşele,eo5so3h||lh||,أشه‌له‌
eşil,eo5so3yl,أشیل
eşin,eo5so3ybo1,أشین
eşleş,eo5so3lso3,أشلش
