
faidelen,fo1ebo5dh||lbo1,فائده‌لن
fehmet,fo1hm eybo2,فهم ایت
fenalaş,fo1bo1eleso3,فنالاش
fenalaşdır,fo1bo1eleso3dyr,فنالاشدیر
ferahlan,fo1rexlebo1,فراحلان
ferahlan,fo1rexo1lebo1,فراخلان
ferahlandır,fo1rexo1lebo1dyr,فراخلاندیر
ferahlandır,fo1rxlebo1dyr,فرحلاندیر
feshet,fo1sxo1 eybo2,فسخ ایت
fevtet,fo1wbo2 eybo2,فوت ایت
fidele,fo1ydh||l,فیده‌ل
filizle,fo1ylyro1lh||,فیلیزله‌
filizlen,fo1ylyro1lbo1,فیلیزلن
fiskele,fo1yskh||l,فیسکه‌ل
fitille,fo1bo2yllh||,فتیلله‌
fitle,fo1ybo2llh||,فیتلله‌
fokurda,fo1wfo2wrde,فوقوردا
fokurdat,fo1wfo2wrdebo2,فوقوردات
fosurdat,fo1wzwrdebo2,فوصوردات
fıkırda,fo1yfo2yrde,فیقیردا
fırla,fo1rle,فرلا
fırla,fo1yrle,فیرلا
fırlat,fo1yrlebo1,فیرلان
fırçala,fo1yrxu3h||le,فیرچه‌لا
fırçalan,fo1yrxu3h||lebo1,فیرچه‌لان
fırçalat,fo1yrxu3h||lebo2,فیرچه‌لات
fırıldat,fo1yryldebo2,فیریلدات
fısla,fo1yzle,فیصلا
fısılda,fo1yzylde,فیصیلدا
fısıldaş,fo1yzyldeso3,فیصیلداش
fışkır,fo1yso3fo2yr,فیشقیر
fışkırt,fo1yso3fo2yrbo2,فیشقیرت
fışırda,fo1yso3yrde,فیشیردا
fışırdat,fo1yso3yrdebo2,فیشیردات
