
gadret,ao1dreybo2,غدرایت
gagala,ao1eao1ele,غاغالا
gagalaş,ao1eao1eleso3,غاغالاش
gamlan,ao1mlebo1,غملان
gamızla,ao1mro1le,غمزلا
garibse,ao1rybu1sh||,غریبسه‌
gayretlen,ao1yrbo2lbo1,غیرتلن
gazablandır,ao1zo1bu1lebo1dyr,غضبلاندیر
gazaplan,ao1zo1bu3lebo1,غضپلان
gaşyol,ao1so3y ewl,غشی اول
geber,ko7bu1r,گبر
gebert,ko7bu1rbo2,گبرت
gecele,ko7yxu1h||l,گیجه‌ل
gecik,ko7xu1yk,گجیک
gel,ko7l,گل
gencel,ko7bo1xu1l,گنجل
genişle,ko7bo1yso3lh||,گنیشله‌
genişlen,ko7bo1yso3lh||bo1,گنیشله‌ن
genişlet,ko7bo1yso3lh||bo2,گنیشله‌ت
gençleş,ko7bo1xu1lso3,گنجلش
gerdir,ko7rdyr,گردیر
gerial,ko7ry eo6l,گری آل
geridön,ko7ry dwbo1,گری دون
gerigit,ko7ry kybo2,گری کیت
gerikal,ko7ry fo2el,گری قال
geriko,ko7ry fo2w,گری قو
geril,ko7rl,گرل
gerin,ko7rbo1,گرن
geriver,ko7ry wyr,گری ویر
gerçekleş,ko7rxu1klso3,گرجکلش
gerçekleşdir,ko7rxu1klso3dyr,گرجکلشدیر
getir,ko7bo2yr,گتیر
getiril,ko7bo2yryl,گتیریل
getirt,ko7bo2yrbo2,گتیرت
getirtil,ko7bo2yrbo2yl,گتیرتیل
gev,ko7w,گو
gev,ko7yw,گیو
gevre,ko7wrh||,گوره‌
gevret,ko7wrbo2,گورت
gevret,ko7wrh||bo2,گوره‌ت
gevşe,ko7wso3h||,گوشه‌
gevşel,ko7wso3ly,گوشلی
gevşelt,ko7wso3lbo2,گوشلت
gevşet,ko7wso3bo2,گوشت
gevşetil,ko7wso3bo2yl,گوشتیل
gez,ko7ro1,گز
gezdir,ko7ro1dyr,گزدیر
gezin,ko7ro1ybo1,گزین
geç,ko7xu3,گچ
geçin,ko7xu3ybo1,گچین
geçindir,ko7xu3ybo1dyr,گچیندیر
geçir,ko7xu3yr,گچیر
geçiril,ko7xu3yryl,گچیریل
geçirt,ko7xu3yrbo2,گچیرت
geçişdir,ko7xu3yso3dyr,گچیشدیر
geğir,kko7yr,کگیر
gider,ko7ydr,گیدر
gidil,ko7ydyl,گیدیل
gidiş,ko7yxu1yso3,گیجیش
gir,ko7yr,گیر
giril,ko7yryl,گیریل
git,ko7ybo2,گیت
giy,ko7yy,گیی
giydir,ko7ydyr,گیدیر
giyil,ko7yl,گیل
giyin,ko7yybo1,گیین
gizle,ko7yro1lh||,گیزله‌
gizlen,ko7yro1lbo1,گیزلن
gurkla,ao1wrfo2le,غورقلا
gurulda,ao1wrwlde,غورولدا
gururlan,ao1rwrlebo1,غرورلان
göbeklen,ko7wbu1klh||bo1,گوبکله‌ن
gölgelen,ko7wlko7h||lbo1,گولگه‌لن
gölgelendir,ko7wlko7h||lbo1dyr,گولگه‌لندیر
göm,ko7wm,گوم
gömül,ko7wml,گومل
gömül,ko7wmwl,گومول
gönder,ko7wbo1dr,گوندر
gönderil,ko7wbo1dryl,گوندریل
göndert,ko7wbo1drbo2,گوندرت
gör,ko7wr,گور
gördür,ko7wrdyr,گوردیر
görül,ko7wrwl,گورول
görün,ko7wrwbo1,گورون
görüşdür,ko7wrwso3dyr,گوروشدیر
görüşül,ko7wrwso3l,گوروشل
göster,ko7wsbo2r,گوستر
gösteril,ko7wsbo2ryl,گوستریل
göstert,ko7wsbo2rbo2,گوسترت
götür,ko7wbo2wr,گوتور
götürt,ko7wbo2wrbo2,گوتورت
götürül,ko7wbo2wrwl,گوتورول
göze,ko7wro1h||,گوزه‌
gözen,ko7wro1h||bo1,گوزه‌ن
gözet,ko7wro1bo2,گوزت
gözetdir,ko7wro1bo2dyr,گوزتدیر
gözetil,ko7wro1bo2yl,گوزتیل
gözetle,ko7wro1bo2lh||,گوزتله‌
gözle,ko7wro1lh||,گوزله‌
gözük,ko7wro1wk,گوزوک
gözük,ko7wro1yk,گوزیک
göçür,ko7wxu3wr,گوچور
göğüsger,ko7wko7s kr,گوگس کر
göğüsle,ko7wko7slh||,گوگسله‌
gübrele,ko7wbu1rh||lh||,گوبره‌له‌
gübrelen,ko7wbu1rh||lh||bo1,گوبره‌له‌ن
gücen,ko7wxu1bo1,گوجن
gücendir,ko7wxu1bo1dyr,گوجندیر
gücenil,ko7wxu1bo1bo1yl,گوجننیل
gül,ko7wl,گول
güldür,ko7ldyr,گلدیر
gülümse,ko7wlwmsh||,گولومسه‌
gümbürde,ko7wmbu1wrdh||,گومبورده‌
gümüşle,ko7wmwso3lh||,گوموشله‌
gümüşlet,ko7wmwso3lh||bo2,گوموشله‌ت
güneşlen,ko7wbo1so3lh||bo1,گونشله‌ن
güneşlet,ko7wbo1so3lh||bo2,گونشله‌ت
günüle,ko7wbo1ylh||,گونیله‌
güreş,ko7wrh||so3,گوره‌ش
güreşdir,ko7wrh||so3dyr,گوره‌شدیر
gürle,ko7wrlh||,گورله‌
gürülde,ko7wrwldh||,گورولده‌
güt,ko7wbo2,گوت
güven,ko7wko7bo1,گوگن
güvenil,ko7wko7bo1l,گوگنل
güzelle,ko7wro1llh||,گوزلله‌
güzellen,ko7wro1llbo1,گوزللن
güzelleş,ko7wro1llso3,گوزللش
güzelleşdir,ko7wro1llso3dyr,گوزللشدیر
güçlen,ko7wxu1lbo1,گوجلن
güçlendir,ko7wxu1lbo1dyr,گوجلندیر
güçleş,ko7wxu1lso3,گوجلش
güçleşdir,ko7wxu1lso3dyr,گوجلشدیر
güçsü,ko7wxu1sy,گوجسی
güçsün,ko7wxu1sybo1,گوجسین
gıcırda,ao1yxu1yrde,غیجیردا
gıcırdat,ao1yxu1yrdebo2,غیجیردات
gıdalan,ao1delebo1,غدالان
gıdalandır,ao1delebo1dyr,غدالاندیر
gıdıkla,ao1ydyfo2le,غیدیقلا
gıdıklan,ao1ydyfo2lebo1,غیدیقلان
