
haberleş,xo1bu1rlh||so3,خبرله‌ش
habset,xbu1s eybo2,حبس ایت
habtet,xbu1t eybo2,حبط ایت
haccet,xxu1 eybo2,حج ایت
hainleş,xo1ebo5so3lh||so3,خائشله‌ش
haket,xk eybo2,حک ایت
hakket,xfo2 eybo2,حق ایت
hakla,xfo2le,حقلا
haklaş,xfo2leso3,حقلاش
halet,xo1la eybo2,خلع ایت
hallet,xl eybo2,حل ایت
haltet,xo1lt eybo2,خلط ایت
hamdet,xmdeybo2,حمدایت
hamla,xo1emle,خاملا
hamlaş,xo1emleso3,خاملاش
hamlet,xml eybo2,حمل ایت
hamurla,xo1mwrle,خمورلا
hantallaş,xebo1telleso3,حانطاللاش
hararetlen,xrerbo2lh||bo1,حرارتله‌ن
harbet,xrbu1 eybo2,حرب ایت
harca,xo1rxu1e,خرجا
harcan,xo1rxu1ebo1,خرجان
harekele,xrkh||lh||,حرکه‌له‌
harekelen,xrkh||lbo1,حرکه‌لن
harekelendir,xrkh||lbo1dyr,حرکه‌لندیر
harelen,xo1erh||lbo1,خاره‌لن
harla,xo1erle,خارلا
harmanla,xo1rmebo1le,خرمانلا
hasret,xzreybo2,حصرایت
hastalan,xo1sbo2h||lebo1,خسته‌لان
hasırla,xzyrle,حصیرلا
hatmet,xo1bo2m eybo2,ختم ایت
hatırla,xo1etrle,خاطرلا
hatırlat,xo1etrlebo1,خاطرلان
havalan,hwelebo1,هوالان
havalandır,hwelebo1dyr,هوالاندیر
havla,hewle,هاولا
havuzla,xwzo1le,حوضلا
havuzlan,xwzo1lebo1,حوضلان
haydala,heydele,هایدالا
haykır,heyfo2yr,هایقیر
haykırt,heyfo2yrbo1,هایقیرن
hayıflan,xyfo1lebo1,حیفلان
hayırlaş,xo1yrleso3,خیرلاش
hazfet,xdo1fo1 eybo2,حذف ایت
hazmet,hzo1m eybo2,هضم ایت
hazzet,xto1 eybo2,حظ ایت
hazırla,xezo1rle,حاضرلا
hazırlan,xezo1rlebo1,حاضرلان
hazırlat,xezo1rlebo2,حاضرلات
haşla,xo1eso3le,خاشلا
haşlan,xo1eso3lebo1,خاشلان
haşlat,xo1eso3lebo2,خاشلات
hecele,hxu1el,هجال
hedmet,hdm eybo2,هدم ایت
helallaş,xlelleso3,حلاللاش
hesabla,xsebu1le,حسابلا
hesaplaş,xsebu1leso3,حسابلاش
horla,xo1wrle,خورلا
horozlan,xo1wrwro1lebo1,خوروزلان
hortla,xo1wrbo2le,خورتلا
horulda,xo1wrlde,خورلدا
hoşlan,xo1wso3lebo1,خوشلان
hoşlandır,xo1wso3lebo1dyr,خوشلاندیر
hoşlaş,xo1wso3leso3,خوشلاش
huylan,xo1wylebo1,خویلان
hüzünlen,xro1bo1lh||bo1,حزنله‌ن
hıfzet,xfo1to1 eybo2,حفظ ایت
hımhımla,xo1ymxo1yle,خیمخیلا
hırla,xo1yrle,خیرلا
hırslan,xrzlebo1,حرصلان
hırslandır,xrzlebo1dyr,حرصلاندیر
hırılda,xo1yrylde,خیریلدا
hırıldaş,xo1yryldeso3,خیریلداش
hızlan,xo1yro1lebo1,خیزلان
hıçkır,hyxu3fo2yr,هیچقیر
hışılda,xo1yso3ylde,خیشیلدا
hışırda,xo1yso3yrde,خیشیردا
hışırdat,xo1so3yrdebo2,خشیردات
