
ihtiyarla,exo1bo2yerle,اختیارلا
ihtiyarlat,exo1bo2yerlebo2,اختیارلات
ikile,eykylh||,ایکیله‌
ilerle,eylrylh||,ایلریله‌
ilerlet,eylrylh||bo2,ایلریله‌ت
ilet,eylbo2,ایلت
ilikle,eylyklh||,ایلیکله‌
iliş,eylyso3,ایلیش
ilişdir,eylyso3dyr,ایلیشدیر
ilmekle,eylmklh||,ایلمکله‌
imren,eymrh||bo1,ایمره‌ن
imrendir,eymrh||bo1dyr,ایمره‌ندیر
imrenil,eymrh||bo1l,ایمره‌نل
imzala,emzo1ele,امضالا
imzalan,emzo1elebo1,امضالان
imzalat,emzo1elebo2,امضالات
inandır,eybo1ebo1dyr,ایناندیر
inanıl,eybo1ebo1l,اینانل
incelt,ebo1yxu1lbo2,انیجلت
incelt,eybo1xu1l,اینجل
incin,ebo1xu1ybo1,انجین
incit,ebo1xu1ybo2,انجیت
indir,eybo1dyr,ایندیر
indiril,eybo1dyryl,ایندیریل
indirt,eybo1dyrbo2,ایندیرت
inil,eybo1l,اینل
inilde,eylo5o3yldh||,ایكیلده‌
inle,ebo1lo5o3lh||,انكله‌
inlet,ebo1lo5o3h||bo2,انكه‌ت
iple,eybu3lh||,ایپله‌
irileş,eyrylso3,ایریلش
irk,eyrk,ایرک
irkil,eyrkyl,ایرکیل
isle,eyslh||,ایسله‌
islen,eyslh||bo1,ایسله‌ن
iste,eysbo2h||,ایسته‌
istifle,esbo2yfo1lh||,استیفله‌
itiş,eybo2yso3,ایتیش
iyilen,eyylh||bo1,اییله‌ن
iyileş,eyylso3,اییلش
izle,eyro1l,ایزل
içerile,eyxu3h||rylh||,ایچه‌ریله‌
iğ,eko7,اگ
iğil,eko7yl,اگیل
iğnele,eyko7bo1h||lh||,ایگنه‌له‌
iğren,eyko7rh||bo1,ایگره‌ن
iğrendir,eyko7rh||bo1dyr,ایگره‌ندیر
iğril,eko7rl,اگرل
işe,eyso3h||,ایشه‌
işen,eyso3h||bo1,ایشه‌ن
işet,eyso3h||bo2,ایشه‌ت
işit,eyso3ybo2,ایشیت
işitdir,eso3ybo2dyr,اشیتدیر
işitil,eyso3ydyl,ایشیدیل
işkillen,eyso3kybo1lh||bo1,ایشکینله‌ن
işle,eyso3lh||,ایشله‌
işlen,eyso3lh||bo1,ایشله‌ن
işlet,eyso3lh||bo2,ایشله‌ت
