
kabalaş,fo2ebu1eleso3,قابالاش
kabalaşdır,fo2ebu1eleso3dyr,قابالاشدیر
kabar,fo2bu1er,قبار
kabar,fo2ebu1er,قابار
kabart,fo2ebu1erbo2,قابارت
kabuklan,fo2ebu1wfo2lebo1,قابوقلان
kabullen,fo2bu1wllh||bo1,قبولله‌ن
kahret,fo2hreybo2,قهرایت
kahırlan,fo2hrlebo1,قهرلان
kak,fo2efo2,قاق
kakıl,fo2efo2yl,قاقیل
kalayla,fo2eleyle,قالایلا
kalaylan,fo2eleylebo1,قالایلان
kalaylat,fo2eleylebo2,قالایلات
kalbet,fo2lbu1 eybo2,قلب ایت
kalburlan,fo2elbu1wrlebo1,قالبورلان
kalburlat,fo2elbu1wrlebo2,قالبورلات
kaldır,fo2eldyr,قالدیر
kaldırt,fo2eldyrbo2,قالدیرت
kalk,fo2elfo2,قالق
kalkı,fo2elfo2y,قالقی
kalkın,fo2elfo2ybo1,قالقین
kalkış,fo2elfo2yso3,قالقیش
kalınlat,fo2elybo1lebo2,قالینلات
kalınlaş,fo2elybo1leso3,قالینلاش
kalınlaşdır,fo2elybo1leso3dyr,قالینلاشدیر
kalıpla,fo2elbu1le,قالبلا
kalıplan,fo2elbu1lebo1,قالبلان
kalıplat,fo2elbu1lebo2,قالبلات
kamaş,fo2emeso3,قاماش
kamaşdır,fo2emeso3dyr,قاماشدیر
kamburlaş,fo2embu1wrleso3,قامبورلاش
kamburlaşdır,fo2embu1wrleso3dyr,قامبورلاشدیر
kamçıla,fo2emxu3yle,قامچیلا
kamşdır,fo2emeso3dyr,قاماشدیر
kana,fo2ebo1e,قانا
kanatlan,fo2ebo1ebo2lebo1,قاناتلان
kancala,fo2ebo1xu1h||le,قانجه‌لا
kandilleş,fo2bo1dyllso3,قندیللش
kandır,fo2ebo1dyr,قاندیر
kandırıl,fo2ebo1dyryl,قاندیریل
kanlan,fo2ebo1lebo1,قانلان
kanıksa,fo2ebo1yfo2se,قانیقسا
kanır,fo2elo5o3yr,قاكیر
kapa,fo2bu3e,قپا
kapa,fo2ebu3e,قاپا
kapat,fo2ebu3ebo2,قاپات
kapla,fo2ebu3le,قاپلا
kaplat,fo2ebu3lebo2,قاپلات
kaptır,fo2ebu3dyr,قاپدیر
kapılan,fo2ebu3ylebo1,قاپیلان
kapılandır,fo2ebu3ylebo1dyr,قاپیلاندیر
kapışdır,fo2ebu3yso3dyr,قاپیشدیر
karala,fo2erele,قارالا
karar,fo2erer,قارار
kararla,fo2rerle,قرارلا
kararlaş,fo2rerleso3,قرارلاش
kararlaşdır,fo2rerleso3dyr,قرارلاشدیر
kararlaştırıl,fo2rerleso3dyryl,قرارلاشدیریل
karart,fo2ererbo2,قارارت
kartlan,fo2erbo2lebo1,قارتلان
kartlaş,fo2erbo2leso3,قارتلاش
karıncalan,fo2erybo1xu1elebo1,قارینجالان
karışdırıl,fo2eryso3dyryl,قاریشدیریل
karşıla,fo2erso3yle,قارشیلا
karşılan,fo2erso3ylebo1,قارشیلان
karşılaş,fo2erso3yleso3,قارشیلاش
karşılaşdır,fo2erso3yleso3dyr,قارشیلاشدیر
karşılaşdırıl,fo2erso3yleso3dyryl,قارشیلاشدیریل
kas,fo2ez,قاص
kasavetlen,fo2sewbo2lbo1,قساوتلن
kasdet,fo2zdeybo2,قصدایت
kasıl,fo2ezyl,قاصیل
katla,fo2ebo2le,قاتلا
katlan,fo2ebo2lebo1,قاتلان
katlat,fo2ebo2lebo2,قاتلات
katmerleş,fo2ebo2mrlso3,قاتمرلش
katranla,fo2trebo1le,قطرانلا
katranlat,fo2trebo1lebo2,قطرانلات
katıl,fo2ebo2yl,قاتیل
katılaş,fo2ebo2yleso3,قاتیلاش
katılaşdır,fo2ebo2yleso3dyr,قاتیلاشدیر
katışdır,fo2ebo2yso3dyr,قاتیشدیر
kat’et,fo2ta eybo2,قطع ایت
kavla,fo2ewle,قاولا
kavra,fo2ewre,قاورا
kavrul,fo2ewrwl,قاورول
kavur,fo2ewr,قاور
kavur,fo2ewwr,قاوور
kavurt,fo2ewwrbo2,قاوورت
kavuş,fo2ewwso3,قاووش
kavuştur,fo2ewwso3dyr,قاووشدیر
kay,fo2ey,قای
kaybol,fo2ebo5bu1 ewl,قائب اول
kaydet,fo2yd eybo2,قید ایت
kaydır,fo2eydyr,قایدیر
kaydırıl,fo2eydyryl,قایدیریل
kaymaklan,fo2eymefo2lebo1,قایماقلان
kayna,fo2eybo1e,قاینا
kaynat,fo2eybo1ebo2,قاینات
kaynatdır,fo2eybo1ebo2dyr,قایناتدیر
kaynaş,fo2eybo1eso3,قایناش
kaynaştır,fo2eybo1eso3dyr,قایناشدیر
kayrıl,fo2eyryl,قایریل
kazandır,fo2erebo1dyr,قاراندیر
kazanıl,fo2ero1ebo1yl,قازانیل
kazdır,fo2ero1dyr,قازدیر
kazı,fo2ero1y,قازی
kazıkla,fo2ero1yfo2le,قازیقلا
kazıl,fo2ero1yl,قازیل
kazın,fo2ero1ybo1,قازین
kazıt,fo2ero1ybo2,قازیت
kaçır,fo2exu3yr,قاچیر
kaçırt,fo2exu3yrbo2,قاچیرت
kaçırıl,fo2exu3ryl,قاچریل
kağşa,fo2eao1so3e,قاغشا
kaşağıla,fo2eso3eao1yle,قاشاغیلا
kederlen,kdrlbo1,کدرلن
kefele,kfo1h||l,کفه‌ل
kefenle,kfo1bo1l,کفنل
kehlelen,khlh||lbo1,کهله‌لن
kekele,kkh||l,ککه‌ل
kemir,kmyr,کمیر
kenetle,kybo1bo2lh||,کینتله‌
kenetlen,kybo1bo2lh||bo1,کینتله‌ن
kenetlet,kybo1bo2lh||bo2,کینتله‌ت
kepazele,kbu3ero1h||l,کپازه‌ل
kepazelen,kbu3ero1h||lbo1,کپازه‌لن
kepazelet,kbu3ero1h||lbo2,کپازه‌لت
kert,krbo2,کرت
kesbet,ksbu1 eybo2,کسب ایت
kesele,kysh||lh||,کیسه‌له‌
keselen,kysh||lbo1,کیسه‌لن
kesil,ksyl,کسیل
keskinlen,kskybo1lh||bo1,کسکینله‌ن
keskinleş,kskybo1lso3,کسکینلش
kestir,ksdyr,کسدیر
kestiril,ksdyryl,کسدیریل
ketmet,kbo2m eybo2,کتم ایت
keyiflen,kyfo1lbo1,کیفلن
keyifsizlen,kyfo1sro1lbo1,کیفسزلن
keçeleş,kxu3h||lso3,کچه‌لش
kibarlaş,kbu1erleso3,کبارلاش
kilitle,klydlh||,کلیدله‌
kilitlen,klydlbo1,کلیدلن
kilitlet,klydlbo2,کلیدلت
kirala,krele,کرالا
kirişle,kryso3l,کریشل
kirlen,kyrlbo1,کیرلن
kirlet,kyrlbo2,کیرلت
kirletdir,kyrlbo2dyr,کیرلتدیر
kitle,kybo2lh||,کیتله‌
kitlen,kybo2lh||bo1,کیتله‌ن
kitlet,kybo2lh||bo2,کیتله‌ت
kişne,kyso3bo1h||,کیشنه‌
koca,fo2wxu1e,قوجا
kocal,fo2wxu1el,قوجال
kocalaş,fo2wxu1h||leso3,قوجه‌لاش
kocalt,fo2wxu1elbo2,قوجالت
kocat,fo2wxu1ebo2,قوجات
kocun,fo2wxu1bo1,قوجن
kokla,fo2wfo2le,قوقلا
koklat,fo2wfo2lebo2,قوقلات
koklaş,fo2wfo2leso3,قوقلاش
kokut,fo2wfo2wbo2,قوقوت
kolala,fo2wlele,قولالا
kolalan,fo2wlelebo1,قولالان
kolalat,fo2wlelebo2,قولالات
kolayla,fo2wleyle,قولایلا
kolaylan,fo2wleylebo1,قولایلان
kolaylat,fo2wleylebo2,قولایلات
kolaylaş,fo2wleyleso3,قولایلاش
kolaylaşdır,fo2wleyleso3dyr,قولایلاشدیر
kolla,fo2wlle,قوللا
kolonla,fo2wlwbo1le,قولونلا
koltukla,fo2wlbo2wfo2le,قولتوقلا
kon,fo2wbo1,قون
kondur,fo2wbo1dwr,قوندور
konukla,fo2wbo1wfo2le,قونوقلا
konul,fo2wbo1wl,قونول
konuş,fo2wbo1wso3,قونوش
konuşdur,fo2wbo1wso3dyr,قونوشدیر
konuşul,fo2wbo1wso3wl,قونوشول
kop,fo2wbu3,قوپ
kopar,fo2wbu3er,قوپار
kopart,fo2wbu3erbo2,قوپارت
koparıl,fo2wbu3eryl,قوپاریل
kopçalat,fo2wbu3xu3elebo2,قوپچالات
kork,fo2wrfo2,قورق
korkul,fo2wrfo2l,قورقل
korkut,fo2wrfo2bo2,قورقت
kov,fo2wao1,قوغ
kovala,fo2wao1ele,قوغالا
kovala,fo2wwele,قووالا
kovdur,fo2wao1dyr,قوغدیر
kovul,fo2wao1l,قوغل
koyul,fo2wywl,قویول
koyulaş,fo2wywleso3,قویولاش
koyulaşdır,fo2wywleso3dyr,قویولاشدیر
koyuver,fo2wywwyr,قویوویر
koçlan,fo2wxu3lebo1,قوچلان
koğ,fo2wao1,قوغ
koğdur,fo2wao1dyr,قوغدیر
koğul,fo2wao1l,قوغل
koş,fo2wso3,قوش
koşdur,fo2wso3dyr,قوشدیر
koşul,fo2wso3wl,قوشول
kucakla,fo2wxu1ebo1le,قوجانلا
kudur,fo2wdwr,قودور
kudurt,fo2wdwrbo2,قودورت
kulaçla,fo2wlexu1le,قولاجلا
kullan,fo2wllebo1,قوللان
kullandır,fo2wllebo1dyr,قوللاندیر
kullanıl,fo2wllebo1yl,قوللانیل
kundakla,fo2wbo1defo2le,قونداقلا
kurcala,fo2wrxu1ele,قورجالا
kurdur,fo2wrdyr,قوردیر
kurtar,fo2wrbo2er,قورتار
kurtarıl,fo2wrbo2eryl,قورتاریل
kurtlan,fo2wrbo2lebo1,قورتلان
kurtlandır,fo2wrbo2lebo1dyr,قورتلاندیر
kurtul,fo2wrbo2wl,قورتول
kurul,fo2wrwl,قورول
kurula,fo2wrwle,قورولا
kurulan,fo2wrwlebo1,قورولان
kurutul,fo2wrwbo2yl,قوروتیل
kurşunla,fo2wrso3wbo1le,قورشونلا
kurşunlan,fo2wrso3wbo1lebo1,قورشونلان
kus,fo2wz,قوص
kusdur,fo2wzdyr,قوصدیر
kutlan,fo2wbo2lebo1,قوتلان
kuvvetlen,fo2wbo2lbo1,قوتلن
kuvvetlendir,fo2wbo2lbo1dyr,قوتلندیر
kuzula,fo2wro1wle,قوزولا
kuşakla,fo2wso3efo2le,قوشاقلا
kuşan,fo2wso3ebo1,قوشان
kuşkulan,fo2wso3fo2wlebo1,قوشقولان
kökle,kwklh||,کوکله‌
köklen,kwklbo1,کوکلن
kökleş,kwklso3,کوکلش
köpekle,kwbu3klh||,کوپکله‌
köpür,kwbu3wr,کوپور
köpürt,kwbu3wrbo2,کوپورت
körle,kwrlh||,کورله‌
körlen,kwrlbo1,کورلن
körlet,kwrlbo2,کورلت
köstekle,kwsbo2klh||,کوستکله‌
kösteklen,kwsbo2klh||bo1,کوستکله‌ن
