
mahmuzla,mehmwro1le,ماهموزلا
mahvedil,mxw eydl,محو ایدل
mahvol,mxwewl,محواول
malala,melele,مالالا
mandalla,mebo1delle,مانداللا
markala,merfo2ele,مارقالا
matet,mebo2 eybo2,مات ایت
mayalan,meyh||lebo1,مایه‌لان
mayalandır,meyh||lebo1dyr,مایه‌لاندیر
mayalat,meyh||lebo2,مایه‌لات
mağrurlan,mao1rwrlebo1,مغرورلان
medhet,mdx eybo2,مدح ایت
mektuplaş,mkbo2wbu1leso3,مکتوبلاش
mele,mlh||,مله‌
menet,mbo1a eybo2,منع ایت
meraklan,mrefo2lebo1,مراقلان
merhabalaş,mrxbu1eleso3,مرحبالاش
messet,ms eybo2,مس ایت
mes’et,ms eybo2,مس ایت
mezcet,mro1xu1 eybo2,مزج ایت
mimle,mymlh||,میمله‌
mimlen,mymlh||bo1,میمله‌ن
minele,mybo1h||l,مینه‌ل
morar,mwrer,مورار
morart,mwrerbo2,مورارت
mühürle,mhrl,مهرل
mühürlen,mhrlbo1,مهرلن
mühürlet,mhrlbo2,مهرلت
mıhla,myxo1le,میخلا
mıhlan,myxo1lebo1,میخلان
mırılda,myrylde,میریلدا
mırıldan,myryldebo1,میریلدان
