
naklet,bo1fo2l eybo2,نقل ایت
nakzet,bo1fo2zo1 eybo2,نقض ایت
nalla,bo1alle,نعللا
nallan,bo1allebo1,نعللان
nallat,bo1allebo2,نعللات
nasbet,bo1zbu1 eybo2,نصب ایت
nasırlan,bo1ezyrlebo1,ناصیرلان
nazlan,bo1ero1lebo1,نازلان
nefeslen,bo1fo1slbo1,نفسلن
nefhet,bo1fo1xo1 eybo2,نفخ ایت
nefyet,bo1fo1y eybo2,نفی ایت
nemlen,bo1mlbo1,نملن
nemlet,bo1mlbo2,نملت
neshet,bo1sxo1 eybo2,نسخ ایت
neticelen,bo1bo2yxu1h||lbo1,نتیجه‌لن
neşret,bo1so3reybo2,نشرایت
neş’elen,bo1so3bo5h||lbo1,نشئه‌لن
neş’elendir,bo1so3bo5h||lbo1dyr,نشئه‌لندیر
noktala,bo1fo2th||le,نقطه‌لا
nükset,bo1ks eybo2,نکس ایت
