
ofla,ewfo1le,اوفلا
oku,ewfo2w,اوقو
okun,ewfo2wbo1,اوقون
okut,ewfo2wbo2,اوقوت
okşa,ewfo2so3e,اوقشا
olun,ewlwbo1,اولون
omuzla,ewmwro1le,اوموزلا
onar,ewlo5o3er,اوكار
onul,ewlo5o3l,اوكل
oranla,ewrebo1le,اورانلا
ortala,ewrbo2h||le,اورته‌لا
otlan,ewbo2lebo1,اوتلان
otlat,ewbo2lebo2,اوتلات
otur,ewbo2wr,اوتور
ov,ewao1,اوغ
ov,eww,اوو
ovala,ewao1ele,اوغالا
ovala,ewwele,اووالا
ovuştur,ewao1wso3dwr,اوغوشدور
oy,ewy,اوی
oyala,ewyele,اویالا
oyalan,ewyelebo1,اویالان
oyalandır,ewyelebo1dyr,اویالاندیر
oyna,ewybo1e,اوینا
oynat,ewybo1ebo2,اوینات
oğ,ewao1,اوغ
oğala,ewao1ele,اوغالا
oğuştur,ewao1wso3dwr,اوغوشدور
