
pahalan,bu3helebo1,پهالان
pahalılaş,bu3helyleso3,پهالیلاش
palazla,bu3elero1le,پالازلا
parala,bu3erele,پارالا
paralan,bu3erelebo1,پارالان
parla,bu3erle,پارلا
parlat,bu3erlebo2,پارلات
parçala,bu3erxu3ele,پارچالا
parçalan,bu3erxu3elebo1,پارچالان
parçalat,bu3erxu3elebo2,پارچالات
paslan,bu3eslebo1,پاسلان
pastala,bu3esbo2ele,پاستالا
patakla,bu3ebo2efo2le,پاتاقلا
patla,bu3ebo2le,پاتلا
patlat,bu3ebo2lebo2,پاتلات
payla,bu3eyle,پایلا
paylaş,bu3eyleso3,پایلاش
paylaşdır,bu3eyleso3dyr,پایلاشدیر
pazarlaş,bu3ero1erleso3,پازارلاش
pehpehle,bu3h||h||bu3h||hlh||,په‌ه‌په‌هله‌
pekiş,bu3kyso3,پکیش
pekiştir,bu3kyso3dyr,پکیشدیر
pelteklen,bu3lbo2sklh||bo1,پلتسکله‌ن
peltekleş,bu3lbo2sklh||so3,پلتسکله‌ش
pençele,bu3bo1xu3h||lh||,پنچه‌له‌
pençeleş,bu3bo1xu3h||lh||so3,پنچه‌له‌ش
pepele,bu3h||bu3h||lh||,په‌په‌له‌
perdahla,bu3rdexle,پرداحلا
perdele,bu3rdh||lh||,پرده‌له‌
perdelen,bu3rdh||lh||bo1,پرده‌له‌ن
pergelle,bu3rko7lh||,پرگله‌
perçinle,bu3rxu3ybo1lh||,پرچینله‌
peyle,bu3ylh||,پیله‌
peylen,bu3ylh||bo1,پیله‌ن
peyleş,bu3ylh||so3,پیله‌ش
peynirlen,bu3ybo1yrlh||bo1,پینیرله‌ن
pinekle,bu3ybo1klh||,پینکله‌
pintilen,bu3ybo1bo2ylh||bo1,پینتیله‌ن
pintileş,bu3ybo1bo2ylh||so3,پینتیله‌ش
pirelen,bu3yrh||lh||bo1,پیره‌له‌ن
pisle,bu3yslh||,پیسله‌
pislen,bu3yslh||bo1,پیسله‌ن
pislet,bu3yslh||bo2,پیسله‌ت
pisleş,bu3yslh||so3,پیسله‌ش
pişir,bu3yso3yr,پیشیر
pişirt,bu3yso3yrbo2,پیشیرت
pohpohla,bu3wh||bu3whle,پوه‌پوهلا
porsu,bu3wzw,پوصو
posalan,bu3wzelebo1,پوصالان
poyrazla,bu3wyrero1le,پویرازلا
puslan,bu3wzlebo1,پوصلان
pörsü,bu3wrsw,پورسو
pörsüt,bu3wrswbo2,پورسوت
pürüzlen,bu3wrwro1lh||bo1,پوروزله‌ن
püskür,bu3wskwr,پوسکور
püskürt,bu3wskwrbo2,پوسکورت
pıhtılan,bu3xo1bo2ylebo1,پختیلان
pıhtılat,bu3xo1bo2ylebo2,پختیلات
pıhtılaş,bu3xo1bo2yleso3,پختیلاش
pıhtılaştır,bu3xo1bo2yleso3dyr,پختیلاشدیر
