
rahatlan,rexbo2lebo1,راحتلان
rahatsızlan,rexbo2sro1lebo1,راحتسزلان
rakset,rfo2z eybo2,رقص ایت
ramet,rem eybo2,رام ایت
raptet,rbu1t eybo2,ربط ایت
rasgel,resbo2 kl,راست کل
rasla,resbo2le,راستلا
rastla,resbo2le,راستلا
recmet,rxu1m eybo2,رجم ایت
reddet,rdeybo2,ردایت
ref’et,rfo1a eybo2,رفع ایت
rendele,rbo1dh||lh||,رنده‌له‌
rendelen,rbo1dh||lbo1,رنده‌لن
renkle,rbo1klh||,رنکله‌
renklen,rbo1klbo1,رنکلن
revaclandır,rwexu1lebo1dyr,رواجلاندیر
ruganla,rwao1bo1le,روغنلا
ruhla,rwxlebo1,روحلان
ruhlandır,rwxlebo1dyr,روحلاندیر
