
sabahla,zbu1exle,صباحلا
sabahlat,zbu1exlebo2,صباحلات
sabunla,zebu1wbo1le,صابونلا
sabunlat,zebu1wbo1lebo2,صابونلات
sabırsızlan,zbu1rsro1lebo1,صبرسزلان
sakallan,zefo2ellebo1,صاقاللان
sakatla,sfo2tle,سقطلا
sakatlan,sfo2tlebo1,سقطلان
sakla,zefo2le,صاقلا
saklan,zefo2lebo1,صاقلان
saklanıl,zefo2lebo1yl,صاقلانیل
saklat,zefo2lebo2,صاقلات
salbet,zlbu1 eybo2,صلب ایت
saldır,zeldyr,صالدیر
salla,zelle,صاللا
sallan,zellebo1,صاللان
sallandır,zellebo1dyr,صاللاندیر
salın,zelybo1,صالین
salıver,zelywyr,صالیویر
sancılan,zebo1xu1ylebo1,صانجیلان
sapdır,zebu3dyr,صاپدیر
sapla,zebu3le,صاپلا
saplan,zebu3lebo1,صاپلان
saplat,zebu3lebo2,صاپلات
sapıt,zebu3ybo2,صاپیت
sar,zer,صار
sarar,serer,سارار
sarart,sererbo2,سارارت
sark,zerfo2,صارق
sarkıl,zerfo2yl,صارقیل
sarkıt,zerfo2ybo2,صارقیت
sarplaş,zerbu3leso3,صارپلاش
sars,zerz,صارص
sarsıl,zerzyl,صارصیل
sarıl,zeryl,صاریل
sarın,zerybo1,صارین
sat,zebo2,صات
sataş,zebo2eso3,صاتاش
satdır,zebo2dyr,صاتدیر
satıl,zebo2yl,صاتیل
satınal,zebo2wbo1 eo6l,صاتون آل
savrul,zewrwl,صاورول
savsakla,zewsefo2le,صاوساقلا
savuş,zewwso3,صاووش
savuşdur,zewwso3dyr,صاووشدیر
say,zey,صای
sayıkla,zeyyfo2le,صاییقلا
sayıl,zeyyl,صاییل
saçmala,zexu3mh||le,صاچمه‌لا
saçıl,zexu3yl,صاچیل
saçışdır,zexu3yso3dyr,صاچیشدیر
sağdır,zeao1dyr,صاغدیر
sağla,zeao1le,صاغلا
sağlamla,zeao1lemle,صاغلاملا
sağlamlan,zeao1lemlebo1,صاغلاملان
sağlamlaş,zeao1lemleso3,صاغلاملاش
sağlamlaşdır,zeao1lemleso3dyr,صاغلاملاشدیر
sağıl,zeao1yl,صاغیل
