
tab’et,tbu1a eybo2,طبع ایت
takdır,tefo2dyr,طاقدیر
takuşdur,dwfo2wso3dyr,دوقوشدیر
takıl,tefo2yl,طاقیل
takın,tefo2ybo1,طاقین
takırda,tefo2yrde,طاقیردا
takırdat,tefo2yrdebo2,طاقیردات
takışdır,tefo2yso3dyr,طاقیشدیر
tallen,bo2llh||bo1,تلله‌ن
tanı,tebo1y,طانی
tanın,tebo1ybo1,طانین
tanış,tebo1yso3,طانیش
tap,tebu3,طاپ
tapdır,teydyr,طایدیر
tapın,tebu3ybo1,طاپین
tapışdır,tebu3yso3dyr,طاپیشدیر
tara,tere,طارا
tarakla,terefo2le,طاراقلا
taraklan,terefo2lebo1,طاراقلان
taraklat,terefo2lebo2,طاراقلات
taran,terebo1,طاران
tardet,trdeybo2,طردایت
tarhet,trx eybo2,طرح ایت
tart,terbo2,طارت
tartakla,terbo2efo2le,طارتاقلا
tartdır,terbo2dyr,طارتدیر
tartıl,terbo2yl,طارتیل
tartış,terbo2yso3,طارتیش
tasarla,bo2eserle,تاسارلا
tasarlan,bo2eserlebo1,تاسارلان
tasla,tesle,طاسلا
tatdır,tebo2dyr,طاتدیر
tatla,tebo2le,طاتلا
tatlan,tebo2lebo1,طاتلان
tatlılaş,tebo2lyleso3,طاتلیلاش
tatlılaşdır,tebo2lyleso3dyr,طاتلیلاشدیر
tatsızlan,tebo2sro1lebo1,طاتسزلان
tatsızlat,tebo2sro1lebo2,طاتسزلات
tavla,bo2ewle,تاولا
tavlan,bo2ewlebo1,تاولان
tavsa,bo2ewse,تاوسا
tavsat,bo2ewsebo2,تاوسات
tayyet,ty eybo2,طی ایت
tazele,bo2ero1h||lh||,تازه‌له‌
tazelen,bo2ero1h||lh||bo1,تازه‌له‌ن
tazeleş,bo2ero1h||lh||so3,تازه‌له‌ش
taşla,teso3le,طاشلا
taşlat,teso3lebo2,طاشلات
taşı,teso3y,طاشی
taşın,teso3ybo1,طاشین
taşır,teso3yr,طاشیر
taşıt,teso3ybo2,طاشیت
ta’net,tabo1 eybo2,طعن ایت
tekerle,bo2krlh||,تکرله‌
tekerlen,bo2krlh||bo1,تکرله‌ن
tekmele,bo2kmh||lh||,تکمه‌له‌
tekmille,bo2kmyllh||,تکمیلله‌
tekrarla,bo2krerle,تکرارلا
telgrafla,bo2lao1refo1le,تلغرافلا
telle,bo2llh||,تلله‌
telle,bo2llh||bo1,تلله‌ن
tellendir,bo2llh||bo1dyr,تلله‌ندیر
temamlan,bo2memlebo1,تماملان
temamlat,bo2memlebo2,تماملات
tembelleş,bo2bo1bu1llh||so3,تنبلله‌ش
temellen,bo2mllh||bo1,تملله‌ن
temelleş,bo2mllh||so3,تملله‌ش
temelleşdir,bo2mllh||so3dyr,تملله‌شدیر
temizle,bo2myro1lh||,تمیزله‌
temizlen,bo2myro1lh||bo1,تمیزله‌ن
temizlet,bo2myro1lh||bo2,تمیزله‌ت
tenhalaş,bo2bo1heleso3,تنهالاش
tep,bo2bu3,تپ
tepele,bo2bu3h||lh||,تپه‌له‌
tepin,bo2bu3ybo1,تپین
tepindir,bo2ybu3bo1dyr,تیپندیر
tepiş,bo2bu3yso3,تپیش
terle,bo2rlh||,ترله‌
terlet,bo2rlh||bo2,ترله‌ت
tersle,bo2rslh||,ترسله‌
terslen,bo2rslh||bo1,ترسله‌ن
teyelle,bo2ko7llh||,تگلله‌
tiftiklen,bo2yfo1bo2yklh||bo1,تیفتیکله‌ن
tiksin,bo2yksybo1,تیکسین
tiksin,dyksybo1,دیکسین
tilkileş,bo2ylkylh||so3,تیلکیله‌ش
tipile,bo2ybu3ylh||,تیپیله‌
tiridleş,bo2yrydlh||so3,تیریدله‌ش
tirilde,bo2yryldh||,تیریلده‌
titizlen,bo2ybo2yro1lh||bo1,تیتیزله‌ن
titre,bo2ybo2rh||,تیتره‌
titret,bo2ybo2rh||bo2,تیتره‌ت
tokatla,twfo2ebo2le,طوقاتلا
tokuşdur,dwfo2wso3dyr,دوقوشدیر
tokuşdur,twfo2wso3dwr,طوقوشدور
tomruklan,twmrwfo2lebo1,طومروقلان
tomurcuklan,twmrwxu1efo2lebo1,طومروجاقلان
topalla,twbu3elle,طوپاللا
topallan,twbu3ellebo1,طوپاللان
toparla,twbu3erle,طوپارلا
toplan,twbu3lebo1,طوپلان
toplanıl,twbu3lebo1yl,طوپلانیل
toplat,twbu3lebo2,طوپلات
toplaş,twbu3leso3,طوپلاش
toprakla,twbu3refo2le,طوپراقلا
torbalan,twrbu1elebo1,طوربالان
torpille,twrbu3yllh||,طورپیلله‌
tozlan,bo2wro1lebo1,توزلان
tut,twbo2,طوت
tutdur,twbo1dyr,طوندیر
tutkalla,twbo2fo2elle,طوتقاللا
tutun,twbo2wbo1,طوتون
tutuş,twbo2wso3,طوتوش
tutuşdur,twbo2wso3dr,طوتوشدر
törpüle,bo2wrbu3wlh||,تورپوله‌
tüken,bo2wkh||bo1,توکه‌ن
tüket,bo2wkh||bo2,توکه‌ت
tükür,bo2wkwr,توکور
tümsel,bo2wmsh||l,تومسه‌ل
tüne,bo2wbo1h||,تونه‌
tünekle,bo2wbo1klh||,تونکله‌
türe,bo2wrh||,توره‌
türkleş,bo2wrklso3,تورکلش
tüt,bo2wbo2,توت
tütdür,bo2wbo2dwr,توتدور
tütsüle,bo2wbo2swlh||,توتسوله‌
tütsülen,bo2wbo2swlh||bo1,توتسوله‌ن
tüylen,bo2wylh||bo1,تویله‌ن
tık,tyfo2,طیق
tıka,tyfo2e,طیقا
tıkan,tyfo2ebo1,طیقان
tıksır,tyfo2yr,طیقیر
tıkırda,tyfo2yrde,طیقیردا
tıkırdat,tyfo2yrdebo2,طیقیردات
tın,tybo1,طین
tıngırda,tybo1ao1yrde,طینغیردا
tıngırdat,tybo1ao1yrdebo2,طینغیردات
tınla,tybo1le,طینلا
tıpırda,tybu3yrde,طیپیردا
tırmala,trmele,طرمالا
tırmala,tyrmele,طیرمالا
tırman,tyrmebo1,طیرمان
tırmıkla,tyrmyfo2le,طیرمیقلا
tısla,tysle,طیسلا
tığla,bo2yao1le,تیغلا
