
ufal,ewfo1el,اوفال
ufala,ewfo1ele,اوفالا
ufala,ewfo1le,اوفلا
ufalan,ewfo1elebo1,اوفالان
ufalt,ewfo1elbo2,اوفالت
ufunetlen,afo1wbo1bo2lbo1,عفونتلن
ufunetlendir,afo1wbo1bo2lbo1dyr,عفونتلندیر
ula,ewle,اولا
ulat,ewlebo2,اولات
uluş,ewlwso3,اولوش
um,ewm,اوم
umursan,emwrsebo1,امورسان
unal,ewlo5o3el,اوكال
unar,ewlo5o3er,اوكار
unul,ewlo5o3l,اوكل
unut,ewbo1h||bo2,اونه‌ت
unutdur,ewbo1wbo2dyr,اونوتدیر
uslan,ewzlebo1,اوصلان
utandır,ewbo2ebo1dyr,اوتاندیر
uy,ewy,اوی
uyan,ewyebo1,اویان
uyandır,ewyebo1dyr,اویاندیر
uydur,ewydwr,اویدور
uyu,ewyw,اویو
uyukla,ewywfo2le,اویوقلا
uyut,ewywbo2,اویوت
uyuş,ewywso3,اویوش
uza,ewro1e,اوزا
uzat,ewro1ebo2,اوزات
uzlaş,ewro1leso3,اوزلاش
uç,ewxu3,اوچ
uçukla,ewxu3wfo2le,اوچوقلا
uçur,ewxu3wr,اوچور
uçurt,ewxu3wrbo2,اوچورت
uçuş,ewxu3wso3,اوچوش
uğra,ewao1re,اوغرا
uğrat,ewao1rebo2,اوغرات
uğraştır,ewao1reso3dyr,اوغراشدیر
uğulda,ewao1wlde,اوغولدا
uğurla,ewao1wrle,اوغورلا
