
yabala,yebu1h||le,یابه‌لا
yadet,yedeybo2,یادایت
yadırga,yedyrao1e,یادیرغا
yak,yefo2,یاق
yakala,yefo2h||le,یاقه‌لا
yakalan,yefo2h||lebo1,یاقه‌لان
yakar,yefo2er,یاقار
yakdır,yefo2dyr,یاقدیر
yaklaş,bo2efo2leso3,تاقلاش
yaklaşdır,yefo2leso3dyr,یاقلاشدیر
yakıl,yefo2l,یاقل
yakıl,yefo2yl,یاقیل
yakınlaş,yefo2ybo1leso3,یاقینلاش
yakınlaşdır,yefo2ybo1leso3dyr,یاقینلاشدیر
yakış,yefo2yso3,یاقیش
yakışdır,yefo2yso3dyr,یاقیشدیر
yala,yele,یالا
yalat,yelebo2,یالات
yaldızla,yeldyro1le,یالدیزلا
yaldızlat,yeldyro1lebo2,یالدیزلات
yaltaklan,yelbo2efo2lebo1,یالتاقلان
yalvar,yelwer,یالوار
yama,yeme,یاما
yamala,yemh||le,یامه‌لا
yamalan,yemh||lebo2,یامه‌لات
yamat,yemebo2,یامات
yanaş,yebo1eso3,یاناش
yanaşdır,yebo1eso3dyr,یاناشدیر
yanbak,yebo1 yefo2,یان یاق
yankıla,yebo1fo2yle,یانقیلا
yanıl,yebo1yl,یانیل
yanıl,yelo5o3yl,یاكیل
yanılt,yelo5o3ylbo2,یاكیلت
yap,yebu3,یاپ
yapdır,yebu3dyr,یاپدیر
yapraklan,yebu3refo2lebo1,یاپراقلان
yapıl,yebu3yl,یاپیل
yapışdır,yebu3yso3dyr,یاپیشدیر
yapışdırıl,yebu3yso3dyryl,یاپیشدیریل
yarala,yerh||le,یاره‌لا
yaralan,yerh||lebo1,یاره‌لان
yarat,yerebo2,یارات
yaratıl,yerebo2yl,یاراتیل
yardır,yerdyr,یاردیر
yargıla,yerao1yle,یارغیلا
yarıla,yeryle,یاریلا
yarımla,yerymle,یاریملا
yarış,yeryso3,یاریش
yassılan,yezo8ylebo1,یاصّیلان
yassılt,yezo8ylbo2,یاصّیلت
yatır,yebo2yr,یاتیر
yatış,yebo2yso3,یاتیش
yatıştır,yebo2yso3dyr,یاتیشدیر
yavrula,yewrwle,یاورولا
yavrulat,yewrwlebo2,یاورولات
yaydır,yeydyr,یایدیر
yayıl,yeyyl,یاییل
yazdır,yero1dyr,یازدیر
yazla,yero1le,یازلا
yazlat,yero1lebo2,یازلات
yazıl,yero1yl,یازیل
yağdır,yeao1dyr,یاغدیر
yağla,yeao1le,یاغلا
yağlan,yeao1lebo1,یاغلان
yağlat,yeao1lebo2,یاغلات
yağmurla,yeao1mwrle,یاغمورلا
yaşar,yeso3er,یاشار
yaşat,yeso3ebo2,یاشات
yaşmakla,yeso3mefo2le,یاشماقلا
yaşmaklan,yeso3mefo2lebo1,یاشماقلان
yaşız,yero1yso3,یازیش
ye,y,ی
yedir,ydyr,یدیر
yelekle,ylke,یلکا
