
zamkla,zo1mao1le,ضمغلا
zamklan,zo1mao1lebo1,ضمغلان
zamklat,zo1mao1lebo2,ضمغلات
zammet,zo1m eybo2,ضم ایت
zangırda,ro1ebo1ao1yrde,زانغیردا
zannet,to1bo1 eybo2,ظن ایت
zaptet,zo1bu1t eybo2,ضبط ایت
zayıfla,zo1ayfo1le,ضعیفلا
zayıflat,zo1ayfo1lebo2,ضعیفلات
zedele,ro1dh||l,زده‌ل
zedelen,ro1dh||lbo1,زده‌لن
zemmet,do1m eybo2,ذم ایت
zenginle,ro1bo1ko7ybo1lh||,زنگینله‌
zevklen,do1wfo2lbo1,ذوقلن
zevklendir,do1wfo2lbo1dyr,ذوقلندیر
zevzeklen,ro1wro1klbo1,زوزکلن
ziftle,ro1yfo1bo2lh||,زیفتله‌
ziftlen,ro1yfo1bo2lbo1,زیفتلن
zincirle,ro1bo1xu1yrl,زنجیرل
zincirlen,ro1bo1xu1yrlbo1,زنجیرلن
ziyadeleş,ro1yedh||lso3,زیاده‌لش
ziyadeleşdir,ro1yedh||lso3dyr,زیاده‌لشدیر
ziynetle,ro1ybo1bo2lh||,زینتله‌
ziynetlen,ro1ybo1bo2lbo1,زینتلن
zonkla,ro1wbo1fo2le,زونقلا
zorla,ro1wlh||,زوله‌
zıbar,ro1ybu1er,زیبار
zıkkımlan,ro1fo2wmlebo1,زقوملان
zımbala,ro1ymbu1ele,زیمبالا
zımbalat,ro1ymbu1elebo2,زیمبالات
zıngırda,ro1ybo1ao1yrde,زینغیردا
zıngırdat,ro1ybo1ao1yrdebo2,زینغیردات
zırılda,ro1yrylde,زیریلدا
