
çabala,xu3ebu1ele,چابالا
çakdır,xu3efo2dyr,چاقدیر
çakışdır,xu3efo2so3dyr,چاقشدیر
çaldır,xu3eldyr,چالدیر
çalka,xu3elfo2e,چالقا
çalkan,xu3elfo2ebo1,چالقان
çalkat,xu3elfo2ebo2,چالقات
çalın,xu3elybo1,چالین
çalış,xu3elyso3,چالیش
çalıştır,xu3elyso3dyr,چالیشدیر
çalışıl,xu3elyso3yl,چالیشیل
çamurla,xu3emwrle,چامورلا
çamurlan,xu3emwrlebo1,چامورلان
çamurlat,xu3emwrlebo2,چامورلات
çangırda,xu3ebo1ao1yrde,چانغیردا
çapaklan,xu3ebu3efo2lebo1,چاپاقلان
çapala,xu3ebu3ele,چاپالا
çapalan,xu3ebu3elebo1,چاپالان
çarp,xu3erbu3,چارپ
çarpdır,xu3erbu3dyr,چارپدیر
çarpıl,xu3erbu3yl,چارپیل
çarpış,xu3erbu3yso3,چارپیش
çarpıştır,xu3erbu3yso3dyr,چارپیشدیر
çatdır,xu3ebo2dyr,چاتدیر
çatla,xu3ebo2le,چاتلا
çatlat,xu3ebo2lebo2,چاتلات
çatış,xu3ebo2yso3,چاتیش
çatıştır,xu3ebo2yso3dyr,چاتیشدیر
çayırla,xu3eyyr||le,چاییر‌لا
çayırlat,xu3eyyrlebo2,چاییرلات
çağrıl,xu3eao1ryl,چاغریل
çağrış,xu3eao1ryso3,چاغریش
çağılda,xu3eao1lde,چاغلدا
çağır,xu3eao1r,چاغر
çağırt,xu3eao1rbo2,چاغرت
çekdir,xu3kdyr,چکدیر
çekeme,xu3kh||mh||,چکه‌مه‌
çekil,xu3kyl,چکیل
çekirdeklen,xu3kyrd||klh||bo1,چکیرد‌کله‌ن
çekiş,xu3kyso3,چکیش
çekişdir,xu3kyso3dyr,چکیشدیر
çektil,xu3bo1bo2yl,چنتیل
çel,xu3l,چل
çemberle,xu3bo1bu1r||lh||,چنبر‌له‌
çengelle,xu3bo1ko7llh||,چنگلله‌
çent,xu3bo1bo2,چنت
çentikle,xu3bo1bo2yklh||,چنتیکله‌
çerezlen,xu3rro1lh||bo1,چرزله‌ن
çerçevele,xu3rxu3ywh||lh||,چرچیوه‌له‌
çerçevelet,xu3rxu3ywh||lh||bo2,چرچیوه‌له‌ت
çetinleş,xu3bo2ybo1lh||so3,چتینله‌ش
çevir,xu3wyr,چویر
çevirt,xu3wyrbo2,چویرت
çevril,xu3wyryl,چویریل
çeyrekle,xu3yrh||klh||,چیره‌کله‌
çeşitle,xu3so3ybo2lh||,چشیتله‌
çeşnilen,xu3so3bo1ylh||bo1,چشنیله‌ن
çiftele,xu3yfo1bo2h||lh||,چیفته‌له‌
çiftleş,xu3yfo1bo2lh||so3,چیفتله‌ش
çiftleştir,xu3yfo1bo2lso3dyr,چیفتلشدیر
çillen,xu3yllh||bo1,چیلله‌ن
çimdikle,xu3ymdyklh||,چیمدیکله‌
çimenlendir,xu3ymbo1lbo1dyr,چیمنلندیر
çimlen,xu3ymlh||bo1,چیمله‌ن
çingeneleş,xu3bo1ko7ebo1h||lso3,چنگانه‌لش
çintil,xu3bo1bo2yl,چنتیل
çirişle,xu3yryso3lh||,چیریشله‌
çirişlen,xu3yryso3lh||bo1,چیریشله‌ن
çirkinle,xu3yrkybo1lh||,چیرکینله‌
çirkinlen,xu3yrkybo1lbo1,چیرکینلن
çirkinlet,xu3yrkybo1lbo2,چیرکینلت
çirkinleş,xu3yrkybo1lso3,چیرکینلش
çirkinleşdir,xu3yrkybo1lso3dyr,چیرکینلشدیر
çirkinse,xu3yrkybo1sh||,چیرکینسه‌
çisele,xu3ysh||lh||,چیسه‌له‌
çivile,xu3ywylh||,چیویله‌
çivilen,xu3ywylh||bo1,چیویله‌ن
çivitle,xu3ywybo2lh||,چیویتله‌
çizdir,xu3yro1dyr,چیزدیر
çizil,xu3yro1yl,چیزیل
çiğne,xu3yko7bo1h||,چیگنه‌
çiğnen,xu3yko7bo1h||bo1,چیگنه‌ن
çocuklaş,xu3wxu1wfo2leso3,چوجوقلاش
çomakla,xu3wmefo2le,چوماقلا
çoğal,xu3wao1el,چوغال
çoğalt,xu3wao1elbo2,چوغالت
çoğumsa,xu3wao1mse,چوغمسا
çubukla,xu3wbu1wfo2le,چوبوقلا
çukurlan,xu3wfo2wrlebo1,چوقورلان
çukurlaş,xu3wfo2wrleso3,چوقورلاش
çulla,xu3wlle,چوللا
çullan,xu3wllebo1,چوللان
çök,xu3wk,چوک
çökdür,xu3wkdwr,چوکدور
çökert,xu3wkrbo2,چوکرت
çömel,xu3wml,چومل
çömelt,xu3wmlbo2,چوملت
çöplen,xu3wbu3lh||bo1,چوپله‌ن
çöreklen,xu3wrh||klh||bo1,چوره‌کله‌ن
çözdür,xu3wro1dwr,چوزدور
çözül,xu3wro1wl,چوزول
çürü,xu3wrw,چورو
çürüt,xu3wrwbo2,چوروت
çürütül,xu3wrwbo2wl,چوروتول
çık,xu3yfo2,چیق
çıkart,xu3yfo2erbo2,چیقارت
çıkarıl,xu3yfo2eryl,چیقاریل
çıkınla,xu3yfo2ybo1le,چیقینلا
çıkışdır,xu3yfo2yso3dyr,چیقیشدیر
çınla,xu3ybo1le,چینلا
çırala,xu3yrele,چیرالا
çırp,xu3yrbu3,چیرپ
çırpdır,xu3yrbu3dyr,چیرپدیر
çırpın,xu3yrbu3ybo1,چیرپین
çırpış,xu3yrbu3yso3,چیرپیش
çırpışdır,xu3yrbu3yso3dyr,چیرپیشدیر
