
öde,ewdh||,اوده‌
öden,ewdh||bo1,اوده‌ن
ödeş,ewdh||so3,اوده‌ش
öfkelen,ewfo1kh||lbo1,اوفکه‌لن
öksü,ewksw,اوکسو
öksür,ewkswr,اوکسور
ölç,ewlxu1,اولج
önle,ewlo5o3lh||,اوكله‌
öp,ewbu3,اوپ
öptür,ewbu3bo2wr,اوپتور
örsele,ewrsh||l,اورسه‌ل
örselen,ewrsh||lbo1,اورسه‌لن
ört,ewrbo2,اورت
örtün,ewrbo2wbo1k,اورتونک
örül,ewrwl,اورول
öt,ewbo2,اوت
öv,ewk,اوک
övüt,ewkwbo2,اوکوت
özle,ewro1lh||,اوزله‌
özlen,ewro1lbo1,اوزلن
özleş,ewro1lso3,اوزلش
öğ,ewk,اوک
öğren,ewko7rbo1,اوگرن
öğren,ewko7rh||bo1,اوگره‌ن
öğret,ewko7rh||bo2,اوگره‌ت
öğür,ewko7wr,اوگور
öğütle,ewko7wbo2lh||,اوگوتله‌
