
şahlan,so3exo1lebo1,شاخلان
şakalaş,so3efo2eleso3,شاقالاش
şakla,so3efo2le,شاقلا
şaklat,so3efo2lebo2,شاقلات
şakulla,so3efo2wlle,شاقوللا
şakı,so3efo2y,شاقی
şakırda,so3efo2yrde,شاقیردا
şakırdat,so3efo2yrdebo2,شاقیردات
şapla,so3ebu3le,شاپلا
şaplat,so3ebu3lebo2,شاپلات
şapırda,so3ebu3yrde,شاپیردا
şapırdat,so3ebu3yrdebo2,شاپیردات
şartet,so3rt eybo2,شرط ایت
şartla,so3rtle,شرطلا
şartlaş,so3rtleso3,شرطلاش
şarılda,so3erylde,شاریلدا
şaş,so3eso3,شاش
şaşır,so3eso3yr,شاشیر
şa’şaalandır,so3aso3ah||lebo1dyr,شعشعه‌لاندیر
şa’şalandır,so3aso3ah||lebo1dyr,شعشعه‌لاندیر
şekerle,so3krl,شکرل
şekerlen,so3krlbo1,شکرلن
şenlen,so3bo1lbo1,شنلن
şenlendir,so3bo1lbo1dyr,شنلندیر
şereflen,so3rfo1lbo1,شرفلن
şereflendir,so3rfo1lbo1dyr,شرفلندیر
şerhet,so3rx eybo2,شرح ایت
şetaretlendir,so3terbo2lbo1dyr,شطارتلندیر
şetmet,so3bo2m eybo2,شتم ایت
şiddetlendir,so3dbo2lbo1dyr,شدتلندیر
şişir,so3yso3yr,شیشیر
şişiril,so3yso3yryl,شیشیریل
şişirt,so3yso3yrbo2,شیشیرت
şişle,so3yso3lh||,شیشله‌
şişlen,so3yso3lh||bo1,شیشله‌ن
şulelen,so3alh||lbo1,شعله‌لن
şulelendir,so3alh||lbo1dyr,شعله‌لندیر
şübhelen,so3bu1hh||lbo1,شبهه‌لن
şübhelendir,so3bu1hh||lbo1dyr,شبهه‌لندیر
şümullendir,so3mwllbo1dyr,شموللندیر
şımar,so3ymer,شیمار
şımart,so3ymerbo2,شیمارت
şımartıl,so3ymerbo2yl,شیمارتیل
şırla,so3yrle,شیرلا
şırılda,so3yrylde,شیریلدا
