Daçe,dexu3h
Dadak,dedefo2
Dadaş,dedeso3
Daday,dedey
Daday,tetey
Dağa,deao1h
Dağaşan,deao1eso3ebo1
Dağaşan,teao1eso3ebo1
Dağcı,deao1xu1y
Dağcıoğlu,deao1xu1y ewao1ly
Dağcıoğlu,teao1xu1y ewao1ly
Dağcı,teao1xu1y
Dağdaş,deao1deso3
Dağ,deao1
Dağdelen,deao1dlbo1
Dağdelen,teao1dlbo1
Dağdemir,deao1dmyr
Dağdemir,teao1dmyr
Dağhan,deao1xo1ebo1
Dağhan,teao1xo1ebo1
Dağı,deao1y
Dağıstan,deao1sbo2ebo1
Dağıstanlı,deao1sbo2ebo1ly
Dağıstanlı,teao1sbo2ebo1ly
Dağlarca,teao1lrxu1h
Dağlı,deao1ly
Dağlıoğlu,teao1ly ewao1ly
Dağoğlu,deao1 ewao1ly
Dağ,teao1
Dağtekin,deao1bo2kybo1
Dağtekin,teao1bo2kybo1
Dağyar,deao1yer
Dâhi,dehy
Dai,deay
Daim,debo5m
Daime,debo5mh
Dalaman,delemebo1
Dalan,delebo1
Dalan,dlebo1
Dalar,deler
Dalay,deley
Dalayer,deleyr
Dalbaş,delbu1eso3
Dalboğa,delbu1wao1h
Dalbudak,delbu1wdefo2
Dalda,deldh
Daldal,deldel
dal,del
Dal,del
Daldiken,deldykbo1
Dalgıç,delao1yxu3
Dalım,delym
Dalkılıç,delfo2ylyxu3
Dalkıran,delfo2yrebo1
Dalkoç,delfo2wxu3
Dallı,delly
Dalman,delmebo1
Dalokay,delwfo2ey
Daltekin,delbo2kybo1
Dalyan,delyebo1
Damalı,demely
Damar,demer
Damar,temer
Damla,demlh
Damla,tmlh
Dânâ,debo1e
Dânâ,tebo1e
Danimarka,debo1ymerfo2h
Danimarkalı,debo1ymerfo2h||ly
Daniş,debo1so3
Danış,debo1so3
Danışman,debo1so3mebo1
Danişment,debo1so3mbo1d
Danyal,debo1yel
Dara,dere
Dârâ,dere
Darcan,derxu1ebo1
Dârende,derbo1dh
Darendelioğlu,derbo1dh ly ewao1ly
Darga,derao1h
Darman,dermebo1
Daşöz,deso3wro1
Davas,tewes
Daver,dewr
Davran,dewrebo1
davud,dewd
Davut,dewd
Davutoğlu,dewd ewao1ly
Daya,deyh
Dayahatun,deyh xo1ebo2wbo1
Dayanç,deyebo1xu3
Dayanıklı,teyebo1fo2ly
Dayar,deyer
Day,dey
Daye,deyh
Dayıbaş,deyybu1eso3
Dayı,deyy
Dayıoğlu,deyy ewao1ly
Daylak,deylefo2
Deccal,dxu1el
deccal,dxu1o8el
Dede,ddh
Dedegil,ddh ko7yl
Dedekargınoğlu,ddh fo2erao1ybo1 ewao1ly
Dedelek,ddh lk
Dedeoğlu,ddh ewao1ly
Define,dfo1ybo1h
Defne,dfo1bo1h
Değer,dko7r
Değerli,dko7rly
Değirmendereli,dko7yrmbo1 drh ly
Değmeer,dko7mh er
Deha,dhe
Dehan,dhebo1
Dehri,dhry
Delâl,dlel
Delice,dlyxu1h
Deliceoğlu,dlyxu1h ewao1ly
Delikan,dlyfo2ebo1
Delikanlı,dlyfo2ebo1ly
Delikaya,dlyfo2eye
Deliktaş,dlykteso3
Delilbaşı,dlylbu1eso3y
Dellaloğlu,dlel ewao1ly
Demet,dmbo2
Demhoş,dmxo1wso3
Demirağ,dmyreao1
Demirağ,dmyreo6ao1
Demiralay,dmyreo6ley
Demiralp,dmyreo6lbu3
Demiray,dmyreo6y
Demirbağ,dmyrbu1eao1
Demirbaş,dmyrbu1eso3
Demirbilek,dmyrbu1ylk
Demirboğa,dmyrbu1wao1h
Demirbüken,dmyrbu1wkbo1
Demirçalı,dmyrxu3ely
Demircan,dmyrxu1ebo1
Demirçay,dmyrxu3ebo1
Demirci,dmyrxu1y
Demirdelen,dmyrdlbo1
Demir,dmyr
Demirdöven,dmyrdwwbo1
Demirel,dmyreo5l
Demirelli,dmyrelly
Demirer,dmyreo5r
Demirezen,dmyreo5ro1bo1
Demirezen,dmyr ero1bo1
Demirgüç,dmyrko7wxu3
Demirgülle,dmyrko7wlh
Demirhan,dmyrxo1ebo1
Demiriz,dmyreyro1
Demirkan,dmyrfo2ebo1
Demirkaya,dmyrfo2eyh
Demirkıran,dmyrfo2yrebo1
Demirkoç,dmyrfo2wxu3
Demirkök,dmyrkwk
Demirkol,dmyrfo2wl
Demirköy,dmyrkwy
Demirkurt,dmyrfo2wrbo2
Demirkut,dmyrfo2wbo2
Demirman,dmyrmebo1
Demirok,dmyrewfo2
Demirol,dmyrewl
Demirören,dmyr ewrbo1
Demiröz,dmyrewro1
Demiröz,dmyr ewro1
Demirpençe,dmyrbu3bo1xu3h
Demirşah,dmyrso3eh
Demirsoy,dmyrzwy
Demirtaş,dmyrteso3
Demirtav,dmyrbo2ew
Demirtay,dmyrbo2ey
Demirtekin,dmyrbo2kybo1
Demirtuğ,dmyrtwao1
Demirtürk,dmyrbo2wrk
Demiryürek,dmyrywrk
Demokan,dmwfo2ebo1
Demren,dmrbo1
Denek,dbo1k
Denemeç,dbo1mh xu3
Dengin,dbo1ko7ybo1
Dengiz,dbo1ko3ro1
Dengiz,dbo1ko7yro1
Dengizer,dbo1ko7yro1eo5r
Denizalp,dko3ro1eo6lbu3
Denizcan,dko3ro1xu1ebo1
Deniz,dko3ro1
Deniz,dko3yro1
Denizel,dko3ro1eo5l
Denizer,dko3ro1eo5r
Denizhan,bo1ko3yro1xo1ebo1
Denizkurdu,dko3ro1fo2wrdy
Denizli,dko3ro1ly
Denizman,dko3ro1mebo1
Denizmen,dko3ro1mbo1
Denizolgun,dko3ro1ewlao1wbo1
Deniztekin,dko3ro1bo2kybo1
Denk,dbo1k
Denkel,dbo1kl
Denker,dbo1kr
Denktaş,dbo1kteso3
Denktaş,dbo1ktso3
Denli,dbo1ly
Denli,dko3ly
Denlisoy,dbo1lyzwy
Denlisoy,dko3lyzwy
Derbil,drbu1yl
Dere,drh
Dereli,drh ly
Deren,drbo1
Derenel,drbo1 eo5l
Derik,dcryk
Derinçay,drybo1xu3ey
Derin,drybo1
Derinkök,drybo1 kwk
Derinöz,drybo1 ewro1
Derlen,drlbo1
Dermancı,drmebo1xu1y
Derman,drmebo1
Dervişani,drwso3ebo1y
Derviş,drwso3
Derviş,drwyso3
Dervişhan,drwso3xo1ebo1
Deryadil,dryedl
Derya,drye
Deryanur,dryebo1wr
Destecioğlu,dsbo2h xu1y ewao1ly
Deste,dsbo2h
Destegül,dsbo2h ko7l
Devecioğlu,dwh xu1y ewao1ly
Develi,dwh||ly
Develi,dwh ly
Develioğlu,dwh ly ewao1ly
Devin,dwybo1
Deviner,dwybo1 eo5r
Devlet,dwlbo2
Devlettin,dwl eldybo1
Devran,dwrebo1
Devrek,dwrk
Devrim,dwrym
Devrimer,dwrym eo5r
Devrin,dwrybo1
Diba,dybu1e
Dibek,dybu1k
Dıblan,dybu1lebo1
Dicle,dxu1lh
Diclehan,dxu1lh xo1ebo1
Dicleli,dxu1lh ly
Didar,dyder
Didem,dydm
Didim,dydym
Dikalp,dyk eo6lbu3
Dikay,dykey
Dikbaş,dykbu1eso3
Dikbay,dykbu1ey
Dikboğa,dykbu1wao1h
Dikçam,dykxu3em
Dikdal,dykdel
Dik,dyk
Dikeç,dykxu3
Dikel,dykl
Diken,dykbo1
Diker,dykr
Dikey,dyky
Dikici,dykyxu1y
Dikili,dykyly
Dikmen,dykmbo1
Dikmenli,dykmbo1ly
Diksoy,dykzwy
Diktaş,dyktso3
Dila,dyle
Dilâ,dyle
Dilân,dylebo1
Dilara,dleo6re
Dilara,dl eo6re
Dilâra,dleo6re
Dilâra,dl eo6re
Dilâşup,dl eo6so3wbu1
Dilaver,dlewr
Dilâver,dlewr
Dilaveroğlu,dlewr ewao1ly
Dilay,dley
Dilbaz,dlbu1ero1
Dilbent,dlbu1bo1d
Dilber,dlbu1r
Dilbeste,dlbu1sbo2h
Dilbu,dlbu1w
Dildade,dldedh
Dildar,dlder
Dilderen,dldrbo1
Dil,dl
Dilefruz,dl efo1rwro1
Dilege,dl eko7h
Dilekcan,dylkxu1ebo1
Dilekci,dylkxu1y
Dilek,dylk
Dilem,dylm
Dilemre,dlemrh
Dilemre,dl eo5mrh
Dilercan,dylrxu1ebo1
Diler,dylr
Dilferah,dlfo1rex
Dilfeza,dlfo1zo1e
Dilfigâr,dlfo1ko7er
Dilfiruz,dlfo1yrwro1
Dilge,dylko7h
Dilhan,dlxo1ebo1
Dilhayat,dlxyebo2
Dilhun,dlxo1wbo1
Dilhuş,dlxo1wso3
Dilligil,dyllyko7yl
Dilmaç,dlmexu3
Dilman,dylmebo1
Dilmen,dylmbo1
Dilnişin,dlbo1yso3ybo1
Dilnur,dlbo1wr
Dilrüba,dlrwbu1e
Dilsafa,dlzfo1e
Dilşah,dylso3eh
Dilşat,dlso3ed
Dilsaz,dlsero1
Dilşen,dlso3bo1
Dilşikâr,dlso3yker
Dilsitan,dlsbo2ebo1
Dilsuz,dlswro1
Dilyâr,dlyer
Dimeroğlu,dymrewao1ly
Dımışk,dmso3fo2
