Maarif,maerfo1
Macaristan,mxu1ersbo2ebo1
Macar,mxu1er
Macide,mexu1dh
Macit,mexu1d
Macit,mexu1ybo2
Maçka,mexu3fo2h
Maçun,mexu3wbo1
Madelet,madlbo2
Maden,madbo1
Mağara,mao1erh
Mağden,meao1dbo1
Mağfiret,mao1fo1rbo2
Mağribi,mao1rbu1y
Mağrip,mao1rbu1
Mağrur,mao1rwr
Mahbube,mxbu1wbu1h
Mahbup,mxbu1wbu1
Mahçiçek,meh xu3yxu3k
Mahfer,mxfo1r
Mahfi,mxo1fo1y
mahfuz,mxfo1wto1
Mahfuz,mxfo1wto1
Mahi,mehy
Mahi,mexy
Mahınev,meh bo1w
Mahinur,meh bo1wr
Mahire,mehrh
Mahir,mehr
Mahizar,meh do1er
Mahizar,meh ro1er
Mahizer,meh ro1r
Mahkemesince,mxkmh sbo1xu1h
Mahmude,mxmwdh
Mahmûdiye,mxmwdbu2h
Mahmud,mxmwd
Mahmure,mxmwrh
Mahmur,mxo1mwr
Mahmut,mxmwd
Mahmutoğlu,mxmwd ewao1ly
Mahnur,meh bo1wr
Mahpare,meh bu3erh
Mahperi,meh bu3ry
Mahpeyker,meh bu3ykr
Mahramlı,mxremly
Mahra,mxry
Mahru,meh rw
Mahrur,mxrwr
Mahser,mxsr
Mahsun,mxswbo1
Mahsure,mxswrh
Mahsut,mxzwd
Mahten,mexo1dbo1
Mahter,mexo1bo2r
Mahya,mexo1yh
Maide,mebo5dh
Mail,mebo5l
Makal,mfo2el
Makbule,mfo2bu1wlh
Makbul,mfo2bu1wl
Maklûbe,mfo2lwbu1h
Maksude,mfo2zwdh
Maksudoğlu,mfo2zwdewao1ly
Maksume,mfo2zwmh
Maksum,mfo2swm
Maksure,mfo2zwrh
Maksur,mfo2zwr
Maksut,mfo2zwd
Makul,mafo2wl
Malatya,mletbu2h
Malazgirt,mlero1krd
Malike,melkh
Malik,melk
Malkara,maefo2rh
Malkoç,melfo2wxu3
Malkoçoğlu,melfo2wxu3 ewao1ly
Malta,melth
Mamduh,memdwxo1
mamhuran,memxo1wrebo1
Manavgat,mbo1ewao1ebo2
Mançer,mebo1xu3r
Manço,mebo1xu3w
Mançuhan,mebo1xu3wxo1ebo1
Mançu,mebo1xu3w
Mandalinci,mebo1delbo1xu1y
Mangalay,mebo1ao1eley
Manga,mebo1ao1h
Manisa,mabo1bu2se
Mankut,mebo1fo2wbo2
Manolya,mebo1wlyh
Mansure,mbo1zwrh
Mansur,mebo1zwr
Mantı,mebo1bo2y
Mantı,mebo1ty
Manyas,mebo1yes
Manzur,mebo1to1wr
Maral,mrel
maraş,mraso3
Maraş,mraso3
Mardin,merdbu2bo1
Mardin,mrdybo1
Marifet,marfo1bo2
Marks,merfo2s
Marlalı,merlely
Marmaralı,mrmrh ly
Marmara,mrmrh
Marmaris,mrmrbu2s
Marşan,merso3ebo1
Martı,merbo2y
mart,merbo2
Mart,merbo2
Marufe,marwfo1h
Maruflu,marwfo1ly
Maruf,marwfo1
Marwan,merwebo1
Marziye,merro1yh
Maşallah,meso3ec ellh
Maşuka,maso3wfo2h
Maşuk,maso3wfo2
Masume,mazwmh
Masum,mazwm
Matkap,mebo2fo2ebu1
Matlı,mtly
Matlup,mtlwbu1
Mat,mebo2
Matuk,mabo2wfo2
Mavi,mewy
Mavioğlu,mewy ewao1ly
Mavisel,mewysl
Maviş,mewyso3
Mavitan,mewybo2ebo1
Maya,meye
Mayokan,meywfo2ebo1
Mazhar,mto1hr
Mazıcıoğlu,mero1yxu1y ewao1ly
Mazlume,mto1lwmh
Mazlum,mto1lwm
Mebruke,mbu1rwkh
Mebruk,mbu1rwk
Mebrure,mbu1rwrh
Mebrur,mbu1rwr
Mebuse,mbu1abo3h
Mebus,mbu1awbo3
Mecdi,mxu1dy
Mecdut,mxu1dwd
Mecide,mxu1ydh
Mecidiye,mxu1bu2dbu2h
Mecidözü,mxu1bu2dewro1y
Mecit,mxu1yd
Mecittin,mxu1yd eldybo1
Mecnun,mxu1bo1wbo1
Me’cuc,meo5xu1wxu1
Medar,mder
Medayin,mdeybo1
Medeni,mdbo1y
Medet,mdd
Medide,mdydh
Mediha,mdyxh
Medih,mdx
Medine,mdybo1h
Medit,mdyd
Mefharet,mfo1xo1rbo2
Mefhar,mfo1xo1r
Mefkûre,mfo1kwrh
Meftune,mfo1bo2wbo1h
Meftun,mfo1bo2wbo1
Mehabet,mhebu1bo2
Mehcure,mhxu1wrh
Mehcur,mhxu1wr
Mehdi,mhdy
Mehdiye,mhdyh
Mehip,mhybu1
Mehir,mhyr
Mehlika,mhlfo2e
Mehmed,mxmd
Mehmetali,mxmd aly
Mehmetçik,mxmdxu3yk
Mehmet,mxmd
Mehpare,mhbu3erh
Mehru,mhrw
Mehtap,mhbo2ebu1
Mehti,mhdy
Mehtiye,mhbo2yh
Mehveş,mhwso3
Mekin,mkybo1
Mekke,mkh
Mekki,mky
mektubat,mkbo2wbu1ebo2
mektublar,mkbo2wbu1lr
Melâhat,mlexbo2
Melda,mlde
Melek,mlk
Meleknaz,mlkbo1ero1
Meleknur,mlkbo1wr
Melekper,mlkbu3r
Melekru,mlkrw
Melekşah,mlkso3eh
Melen,mlbo1
Meliha,mlyxh
Melih,mlyx
Melike,mlykh
Melikhan,mlkxo1ebo1
Melik,mlk
Melik,mlyk
Melikşah,mlkso3eh
Melisa,mlyse
Melis,mlys
Melissa,mlyse
Meliz,mlyro1
Melodi,mlwdy
Meltem,mlbo2m
Melûl,mlwl
Memduha,mmdwxh
Memduh,mmdwx
Memecan,mmh xu1ebo1
Memik,mmyk
Memiş,mmyso3
Memişoğlu,myso3 ewao1ly
Memnune,mmbo1wbo1h
Memnun,mmbo1wbo1
Memo,mmw
