Rabbani,rebu1ebo1y
rabb,rbu1o8
Rabia,rebu1ah
Rabih,rebu1x
Rabi,rebu1a
Rab,rbu1
Racih,rexu1x
Raci,rexu1y
Raciye,rexu1yh
Radife,redfo1h
Radi,redy
Radiye,rezo1yh
Rafet,refo1bo2
Rafettin,refo1a eldybo1
Rafia,refo1ah
Rafih,refo1h
Rafi,refo1y
Rağbet,rao1bu1bo2
Ragibe,reao1bu1h
Ragip,reao1bu1
Ragıp,reao1bu1
Rahile,rexlh
Rahime,rxymh
Rahim,rexm
Rahîm,rxbu2m
Rahim,rxym
Rahi,rexy
Rahiye,rehyh
Rahmani,rexmebo1y
Rahmân,rxmbo1
Rahman,rxmebo1
rahmân,rxmebo1
Rahmân,rxmebo1
Rahmeti,rxmbo2y
Rahmet,rxmbo2
Rahmetullah,rxmbo2 ellh
Rahmi,rxmy
Rahmiye,rxmyh
Rahşan,rxo1so3ebo1
Rahşende,rxo1so3bo1dh
Raife,rebo5fo1h
Raif,rebo5fo1
Raika,rebo5fo2h
Raik,rebo5fo2
Rakibe,rekbu1h
Rakide,rekdh
Rakime,rfo2ymh
Rakıme,rfo2ymh
Rakım,rfo2ym
Rakip,rekbu1
Ramazanoğlu,rmzo1ebo1 ewao1ly
ramazan,rmzo1ebo1
Ramazan,rmzo1ebo1
Rami,remy
Ramis,rems
Ramiye,remyh
Ramiz,remro1
Ramoğlu,rem ewao1ly
Rana,rabo1e
Raşide,reso3dh
Rasiha,resxo1h
Rasih,resxo1
Rasime,resmh
Rasim,resm
Rasin,rzybo1
Raşit,reso3d
Rasiye,resyh
Ratibe,rebo2bu1h
Ratip,retbu1
Raufe,rwfo1h
Rauf,rwfo1
Ravza,rwzo1h
Rayet,reybo2
Rayıhan,reyxo1ebo1
Rayiha,reyxh
Ray,rey
Razi,rero1y
Razı,rezo1y
Raziye,rezo1yh
Razzâk,rro1efo2
Rebia,rbu1yah
Rebii,rbu1yay
Rebi,rbu1y
Rebiyye,rbu1yh
Recai,rxu1ebo5
Reca,rxu1e
Recep,rxu1bu1
Refahet,rfo1ehbo2
Refâhiye,rfo1ehbu2h
Refah,rfo1eh
Refet,rbo5fo1bo2
Refettin,rfo1c eldybo1
