aba,eo6bu1e
abandır,eo6bu1ebo1dyr
abanla,eo6bu1ebo1le
aç,eo6xu3
açıkla,eo6xu1yfo2le
acıklan,eo6xu1yfo2lebo1
acıktır,eo6xu1yfo2dyr
açıl,eo6xu3l
acındır,eo6xu1ybo1dyr
acın,eo6xu1ybo1
acıt,eo6xu1ybo2
açtır,eo6xu3dyr
adat,eo6debo2
addet,adeybo2
adımla,eo6dymle
adla,eo6dle
adlan,eo6dlebo1
afalla,eo6fo1elle
afallaş,eo6fo1ellso3
afallat,eo6fo1ellebo2
aforozla,eo6fo1wrwro1le
ağalan,eo6ao1elebo1
ağar,eo6ao1er
ağart,eo6ao1erbo2
ağdalan,eo6ao1delebo1
ağdalaş,eo6ao1deleso3
ağdır,eo6ao1dyr
ağıllan,eo6ao1yllebo1
ağırla,eo6ao1rle
ağırlan,eo6ao1rlebo1
ağırlaş,eo6ao1rleso3
ağırlaştır,eo6ao1rleso3dyr
ağırlat,eo6ao1rlebo2
ağırşaklan,eo6ao1rso3efo2lebo1
ağla,eo6ao1le
ağlaş,eo6ao1leso3
ağlat,eo6ao1lebo2
ağrıt,eo6ao1rybo2
ahdet,ahdebo2
ahidleş,ahdlso3
ahırla,eo6xo1wrle
akdet,afo2deybo2
akıt,eo6fo2ybo2
akşamla,eo6fo2so3emle
akşamlat,eo6fo2so3emlebo2
aksat,eo6fo2sebo2
aksır,eo6fo2syr
aksırt,eo6fo2syrbo2
aktar,eo6fo2bo2er
alçal,eo6lxu3el
alçıla,eo6lxu3yle
aldan,eo6ldebo1
aldat,eo6ldebo2
aldır,eo6ldyr
alevlen,alw||lbo1
alevlendir,alwlbo1dyr
alevlendir,eo6lwlbo1dyr
alevlen,eo6lw||lbo1
alıko,eo6lyfo2w
alışıl,eo6lyso3l
alıştır,eo6lyso3bo2r
alıver,eo6lywyr
alkışla,eo6lfo2yso3le
alkışlan,eo6lfo2yso3lebo1
altınla,eo6lbo2wbo1le
altmışla,eo6lbo2mso3le
anaçla,eo6bo1exu1le
andır,eo6bo1dyr
andlaş,eo6bo1dleso3
an,eo6lo5o3
anıl,eo6lo5o3l
anır,eo6lo5o3yr
anırt,eo6lo5o3yrbo2
anla,eo6lo5o3le
anlan,eo6lo5o3lebo1
anlaş,eo6lo5o3leso3
anlaşıl,eo6lo5o3leso3l
anlatdır,eo6lo5o3lebo2dyr
anlat,eo6lo5o3lebo2
anlatıl,eo6lo5o3ledyl
apar,eo6bu3er
arala,eo6rele
aralan,eo6relebo1
aralaş,eo6releso3
aralat,eo6relebo2
aran,eo6rebo1
aranıl,eo6rebo1yl
araştır,eo6reso3dyr
arat,eo6rebo2
arattır,eo6rebo2dyr
arıkla,eo6ryfo2le
arıklan,eo6ryfo2lebo1
arıklat,eo6ryfo2lebo2
arıl,eo6ryl
arın,eo6rybo1
arıt,eo6rybo2
arlan,aerlebo1
arpala,eo6rbu3ele
arşınla,eo6rso3ybo1le
arsızlan,aersro1lebo1
artdır,eo6rbo2dyr
artdırıl,eo6rbo2dyryl
artır,eo6rbo2yr
arttır,eo6rbo2dyr
arttırıl,eo6rbo2dyryl
arzet,arzo1 eybo2
arzula,eo6rro1wle
aşağıla,eo6so3eao1yle
asdır,eo6zdyr
as,eo6z
aşıla,eo6so3yle
aşılan,eo6so3ylebo1
aşılat,eo6so3ylebo2
asıl,eo6zyl
aşındır,eo6so3ybo1dyr
aşın,eo6so3ybo1
aşır,eo6so3yr
aşırıl,eo6so3yrl
aşırt,eo6so3yrbo2
aşla,eo6so3le
aşlat,eo6so3lebo2
astarla,eo6sbo2erle
ateşle,eo6bo2so3l
ateşlendir,eo6bo2so3lbo1dyr
ateşlen,eo6bo2so3lbo1
atfet,atfo1 eybo2
atıl,eo6bo2yl
atıştır,eo6bo2yso3dyr
atkıla,eo6bo2fo2yle
atla,eo6bo2le
atlandır,eo6bo2le||bo1dyr
attır,eo6bo2dyr
avla,eo6wle
avlan,eo6wlebo1
avuçla,eo6wwxu1le
avun,eo6wwbo1
avutdur,eo6wwbo2dr
avut,eo6wwbo1
avutul,eo6wwbo2l
ayakla,eo6ye||fo2le
ayaklandır,eo6ye||fo2lebo1dyr
ayaklan,eo6yefo2lebo1
ayar,eo6yer
ayart,eo6yerbo2
ayartıl,eo6yerbo2l
ayazla,eo6yero1le
ayazlan,eo6yero1lebo1
ayazlat,eo6yero1lebo2
aydınla,eo6ydybo1le
aydınlan,eo6ydybo1lebo1
aydınlaşdır,eo6ydybo1leso3dyr
aydınlaş,eo6ydybo1leso3
aydınlat,eo6ydybo1lebo2
ayıkla,eo6yfo2le
ayıl,eo6yyl
ayılt,eo6yylbo2
ayıpla,aybu1le
ayıplan,aybu1lebo1
ayır,eo6yyr
ayrılan,eo6yrylebo1
ayrılaş,eo6yryleso3
ayrıl,eo6yryl
azadla,eo6ro1edle
azal,eo6ro1el
azalt,eo6ro1elbo2
azarla,eo6ro1erle
azarlan,eo6ro1erlebo1
azarlat,eo6ro1erlebo2
azdır,eo6ro1dyr
azdırıl,eo6ro1dyl
azımsa,eo6ro1mse
azırgan,eo6ro1yrao1ebo1
azıt,eo6ro1ybo2
azlet,aro1l eybo2
