badanala,bu1edebo1ele
bağışla,bu1eao1yso3le
bakıl,bu1efo2yl
baktır,bu1efo2dyr
balıkla,bu1elyfo2le
baltala,bu1eltele
ban,bu1ebo1
barın,bu1erybo1
barındır,bu1erybo1dyr
barıştır,bu1eryso3dyr
başaklan,bu1eso3efo2lebo1
başar,bu1eso3er
başarıl,bu1eso3eryl
basıl,bu1ezyl
başkalaş,bu1eso3fo2h||leso3
başla,bu1eso3le
başlan,bu1eso3lebo1
başlanıl,bu1eso3lebo1yl
başlat,bu1eso3lebo2
bastır,bu1ezdyr
bastırıl,bu1ezdyryl
bat,bu1ebo2
batır,bu1ebo2yr
batırıl,bu1ebo2yryl
bayatla,bu1eyebo2le
bayatlaş,bu1eyebo2leso3
bayatlat,bu1eyebo2lebo2
bayıl,bu1eyyl
bayılt,bu1eyylbo2
bayramlaş,bu1eyremleso3
becer,bu1xu1r
becert,bu1xu1rbo2
beğen,bu1ko7bo1
beğendir,bu1ko7bo1dyr
beğenil,bu1ko7bo1yl
bekle,bu1klh||
beklen,bu1klh||bo1
bekleş,bu1klh||so3
beklet,bu1klh||bo2
belir,bu1lyr
belle,bu1lh||
bellen,bu1lh||bo1
bellet,bu1lh||bo2
benimse,bu1bo1msh||
benze,bu1lo5o3ro1h||
benzet,bu1lo5o3ro1h||bo2
besle,bu1slh||
beslen,bu1slh||bo1
beslet,bu1slh||bo2
bestele,bu1sbo2h||lh||
beyazlan,bu1yezo1lebo1
beyazlaş,bu1yezo1leso3
beyazlat,bu1yezo1lebo2
beze,bu1ro1h||
bıçakla,bu1yxu3efo2le
biç,bu1yxu3
biçdir,bu1yxu3dyr
biçil,bu1yxu3yl
bık,bu1yfo2
bıkdır,bu1yfo2dyr
bıkıl,bu1yfo2yl
bildir,bu1yldyr
bildiril,bu1yldyryl
bile,bu1ylh||
bilen,bu1ylh||bo1
bilet,bu1ylh||bo2
bilin,bu1ylybo1
bin,bu1ybo1
bindir,bu1ybo1dyr
binil,bu1ybo1yl
bırak,bu1refo2
bırakdır,bu1refo2dyr
bırakıl,bu1refo2yl
birik,bu1ryk
birikdir,bu1rykdyr
birleş,bu1rlso3
birleştir,bu1rlso3dyr
bitir,bu1ybo2yr||
bitiş,bu1ybo2yso3
bitişdir,bu1ybo2yso3dyr
bitlen,bu1ybo2lh||bo1
bıyıklan,bu1yyfo2ylebo1
bocala,bu1wxu1ele
böceklen,bu1wxu1klh||bo1
boğazla,bu1wao1ero1le
boğ,bu1wao1
boğul,bu1wao1wl
böğürt,bu1wko7wrbo2
boğuş,bu1wao1wso3
boğuşdur,bu1wao1wso3dwr
bohçala,bu1wao1xu3h||le
bolal,bu1wlel
böl,bu1wl
bollan,bu1wllebo1
bollaş,bu1wlleso3
bollat,bu1wllebo2
bölün,bu1wlwbo1
bölüştür,bu1wlwso3dwr
borçlan,bu1wrxu1lebo1
boşa,bu1wso3e
boşal,bu1wso3el
boşalt,bu1wso3elbo2
boşan,bu1wso3ebo1
boşat,bu1wso3ebo2
boşatıl,bu1wso3ebo2yl
boşla,bu1wso3le
boyala,bu1wyele
boyalan,bu1wylebo1
boyalat,bu1wyelebo2
boyat,bu1wyebo2
boyla,bu1wyle
boylan,bu1wylebo1
bozar,bu1wro1er
bozdur,bu1wro1dwr
bozul,bu1wro1wl
bozuş,bu1wro1wso3
budaklan,bu1wdefo2lebo1
budan,bu1wdebo1
budat,bu1wdebo2
buğula,bu1wao1wle
buğulan,bu1wao1wlebo1
buhurla,bu1xo1wrle
bük,bu1wk
bükül,bu1wkwl
bula,bu1wle
bulan,bu1wlebo1
bulandır,bu1wlebo1dyr
bulaş,bu1wleso3
bulaştır,bu1wleso3dyr
bul,bu1wl
buldur,bu1wlwr
bulun,bu1wlwbo1
bulundur,bu1wlwbo1dwr
bulunul,bu1wlwbo1wl
buluşdur,bu1wlwso3dwr
bulutlan,bu1wlwbo2lebo1
buna,bu1wbo1e
bunal,bu1wbo1el
bunalt,bu1wbo1elbo2
burgula,bu1wrao1wle
burkul,bu1wrfo2wl
bürü,bu1wrw
bürün,bu1wrwbo1
buruş,bu1wrwso3
buruşdur,bu1wrwso3dwr
bütünle,bu1wbo2wbo1lh||
büyüklen,bu1wywklh||bo1
büyüle,bu1wywlh||
büyülen,bu1wywlh||bo1
büyüt,bu1wywbo2
büz,bu1wro1
buzlan,bu1wro1lebo1
büzül,bu1wro1wl
