faidelen,fo1ebo5dh||lbo1
fehmet,fo1hm eybo2
fenalaşdır,fo1bo1eleso3dyr
fenalaş,fo1bo1eleso3
ferahlandır,fo1rexo1lebo1dyr
ferahlandır,fo1rxlebo1dyr
ferahlan,fo1rexlebo1
ferahlan,fo1rexo1lebo1
feshet,fo1sxo1 eybo2
fevtet,fo1wbo2 eybo2
fidele,fo1ydh||l
fıkırda,fo1yfo2yrde
filizle,fo1ylyro1lh||
filizlen,fo1ylyro1lbo1
fırçala,fo1yrxu3h||le
fırçalan,fo1yrxu3h||lebo1
fırçalat,fo1yrxu3h||lebo2
fırıldat,fo1yryldebo2
fırla,fo1rle
fırla,fo1yrle
fırlat,fo1yrlebo1
fısılda,fo1yzylde
fısıldaş,fo1yzyldeso3
fışırda,fo1yso3yrde
fışırdat,fo1yso3yrdebo2
fiskele,fo1yskh||l
fışkır,fo1yso3fo2yr
fışkırt,fo1yso3fo2yrbo2
fısla,fo1yzle
fitille,fo1bo2yllh||
fitle,fo1ybo2llh||
fokurda,fo1wfo2wrde
fokurdat,fo1wfo2wrdebo2
fosurdat,fo1wzwrdebo2
