haberleş,xo1bu1rlh||so3
habset,xbu1s eybo2
habtet,xbu1t eybo2
haccet,xxu1 eybo2
hainleş,xo1ebo5so3lh||so3
haket,xk eybo2
hakket,xfo2 eybo2
haklaş,xfo2leso3
hakla,xfo2le
halet,xo1la eybo2
hallet,xl eybo2
haltet,xo1lt eybo2
hamdet,xmdeybo2
hamlaş,xo1emleso3
hamla,xo1emle
hamlet,xml eybo2
hamurla,xo1mwrle
hantallaş,xebo1telleso3
hararetlen,xrerbo2lh||bo1
harbet,xrbu1 eybo2
harcan,xo1rxu1ebo1
harca,xo1rxu1e
harekelendir,xrkh||lbo1dyr
harekelen,xrkh||lbo1
harekele,xrkh||lh||
harelen,xo1erh||lbo1
harla,xo1erle
harmanla,xo1rmebo1le
hasırla,xzyrle
haşlan,xo1eso3lebo1
haşlat,xo1eso3lebo2
haşla,xo1eso3le
hasret,xzreybo2
hastalan,xo1sbo2h||lebo1
hatırlat,xo1etrlebo1
hatırla,xo1etrle
hatmet,xo1bo2m eybo2
havalandır,hwelebo1dyr
havalan,hwelebo1
havla,hewle
havuzlan,xwzo1lebo1
havuzla,xwzo1le
haydala,heydele
hayıflan,xyfo1lebo1
hayırlaş,xo1yrleso3
haykır,heyfo2yr
haykırt,heyfo2yrbo1
hazfet,xdo1fo1 eybo2
hazırlan,xezo1rlebo1
hazırlat,xezo1rlebo2
hazırla,xezo1rle
hazmet,hzo1m eybo2
hazzet,xto1 eybo2
hecele,hxu1el
hedmet,hdm eybo2
helallaş,xlelleso3
hesabla,xsebu1le
hesaplaş,xsebu1leso3
hıçkır,hyxu3fo2yr
hıfzet,xfo1to1 eybo2
hımhımla,xo1ymxo1yle
hırıldaş,xo1yryldeso3
hırılda,xo1yrylde
hırla,xo1yrle
hırslandır,xrzlebo1dyr
hırslan,xrzlebo1
hışılda,xo1yso3ylde
hışırdat,xo1so3yrdebo2
hışırda,xo1yso3yrde
hızlan,xo1yro1lebo1
horla,xo1wrle
horozlan,xo1wrwro1lebo1
hortla,xo1wrbo2le
horulda,xo1wrlde
hoşlandır,xo1wso3lebo1dyr
hoşlan,xo1wso3lebo1
hoşlaş,xo1wso3leso3
huylan,xo1wylebo1
hüzünlen,xro1bo1lh||bo1
