içerile,eyxu3h||rylh||
iğ,eko7
iğil,eko7yl
iğnele,eyko7bo1h||lh||
iğrendir,eyko7rh||bo1dyr
iğren,eyko7rh||bo1
iğril,eko7rl
ihtiyarla,exo1bo2yerle
ihtiyarlat,exo1bo2yerlebo2
ikile,eykylh||
ilerle,eylrylh||
ilerlet,eylrylh||bo2
ilet,eylbo2
ilikle,eylyklh||
ilişdir,eylyso3dyr
iliş,eylyso3
ilmekle,eylmklh||
imrendir,eymrh||bo1dyr
imren,eymrh||bo1
imrenil,eymrh||bo1l
imzala,emzo1ele
imzalan,emzo1elebo1
imzalat,emzo1elebo2
inandır,eybo1ebo1dyr
inanıl,eybo1ebo1l
incelt,ebo1yxu1lbo2
incelt,eybo1xu1l
incin,ebo1xu1ybo1
incit,ebo1xu1ybo2
indir,eybo1dyr
indiril,eybo1dyryl
indirt,eybo1dyrbo2
inilde,eylo5o3yldh||
inil,eybo1l
inle,ebo1lo5o3lh||
inlet,ebo1lo5o3h||bo2
iple,eybu3lh||
irileş,eyrylso3
irk,eyrk
irkil,eyrkyl
işe,eyso3h||
işen,eyso3h||bo1
işet,eyso3h||bo2
işitdir,eso3ybo2dyr
işit,eyso3ybo2
işitil,eyso3ydyl
işkillen,eyso3kybo1lh||bo1
isle,eyslh||
işle,eyso3lh||
islen,eyslh||bo1
işlen,eyso3lh||bo1
işlet,eyso3lh||bo2
iste,eysbo2h||
istifle,esbo2yfo1lh||
itiş,eybo2yso3
iyilen,eyylh||bo1
iyileş,eyylso3
izle,eyro1l
