kabalaşdır,fo2ebu1eleso3dyr
kabalaş,fo2ebu1eleso3
kabar,fo2bu1er
kabar,fo2ebu1er
kabart,fo2ebu1erbo2
kabuklan,fo2ebu1wfo2lebo1
kabullen,fo2bu1wllh||bo1
kaçır,fo2exu3yr
kaçırıl,fo2exu3ryl
kaçırt,fo2exu3yrbo2
kağşa,fo2eao1so3e
kahırlan,fo2hrlebo1
kahret,fo2hreybo2
kak,fo2efo2
kakıl,fo2efo2yl
kalayla,fo2eleyle
kalaylan,fo2eleylebo1
kalaylat,fo2eleylebo2
kalbet,fo2lbu1 eybo2
kalburlan,fo2elbu1wrlebo1
kalburlat,fo2elbu1wrlebo2
kaldır,fo2eldyr
kaldırt,fo2eldyrbo2
kalınlaşdır,fo2elybo1leso3dyr
kalınlaş,fo2elybo1leso3
kalınlat,fo2elybo1lebo2
kalıpla,fo2elbu1le
kalıplan,fo2elbu1lebo1
kalıplat,fo2elbu1lebo2
kalk,fo2elfo2
kalkı,fo2elfo2y
kalkın,fo2elfo2ybo1
kalkış,fo2elfo2yso3
kamaşdır,fo2emeso3dyr
kamaş,fo2emeso3
kamburlaşdır,fo2embu1wrleso3dyr
kamburlaş,fo2embu1wrleso3
kamçıla,fo2emxu3yle
kamşdır,fo2emeso3dyr
kana,fo2ebo1e
kanatlan,fo2ebo1ebo2lebo1
kancala,fo2ebo1xu1h||le
kandilleş,fo2bo1dyllso3
kandır,fo2ebo1dyr
kandırıl,fo2ebo1dyryl
kanıksa,fo2ebo1yfo2se
kanır,fo2elo5o3yr
kanlan,fo2ebo1lebo1
kapa,fo2bu3e
kapa,fo2ebu3e
kapat,fo2ebu3ebo2
kapılandır,fo2ebu3ylebo1dyr
kapılan,fo2ebu3ylebo1
kapışdır,fo2ebu3yso3dyr
kapla,fo2ebu3le
kaplat,fo2ebu3lebo2
kaptır,fo2ebu3dyr
karala,fo2erele
karar,fo2erer
kararla,fo2rerle
kararlaşdır,fo2rerleso3dyr
kararlaş,fo2rerleso3
kararlaştırıl,fo2rerleso3dyryl
karart,fo2ererbo2
karıncalan,fo2erybo1xu1elebo1
karışdırıl,fo2eryso3dyryl
karşıla,fo2erso3yle
karşılan,fo2erso3ylebo1
karşılaşdır,fo2erso3yleso3dyr
karşılaşdırıl,fo2erso3yleso3dyryl
karşılaş,fo2erso3yleso3
kartlan,fo2erbo2lebo1
kartlaş,fo2erbo2leso3
kaşağıla,fo2eso3eao1yle
kasavetlen,fo2sewbo2lbo1
kasdet,fo2zdeybo2
kas,fo2ez
kasıl,fo2ezyl
kat’et,fo2ta eybo2
katılaşdır,fo2ebo2yleso3dyr
katılaş,fo2ebo2yleso3
katıl,fo2ebo2yl
katışdır,fo2ebo2yso3dyr
katla,fo2ebo2le
katlan,fo2ebo2lebo1
katlat,fo2ebo2lebo2
katmerleş,fo2ebo2mrlso3
katranla,fo2trebo1le
katranlat,fo2trebo1lebo2
kavla,fo2ewle
kavra,fo2ewre
kavrul,fo2ewrwl
kavur,fo2ewr
kavur,fo2ewwr
kavurt,fo2ewwrbo2
kavuş,fo2ewwso3
kavuştur,fo2ewwso3dyr
kaybol,fo2ebo5bu1 ewl
kaydet,fo2yd eybo2
kaydır,fo2eydyr
kaydırıl,fo2eydyryl
kay,fo2ey
kaymaklan,fo2eymefo2lebo1
kayna,fo2eybo1e
kaynaş,fo2eybo1eso3
kaynaştır,fo2eybo1eso3dyr
kaynatdır,fo2eybo1ebo2dyr
kaynat,fo2eybo1ebo2
kayrıl,fo2eyryl
kazandır,fo2erebo1dyr
kazanıl,fo2ero1ebo1yl
kazdır,fo2ero1dyr
