mağrurlan,mao1rwrlebo1
mahmuzla,mehmwro1le
mahvedil,mxw eydl
mahvol,mxwewl
malala,melele
mandalla,mebo1delle
markala,merfo2ele
matet,mebo2 eybo2
mayalandır,meyh||lebo1dyr
mayalan,meyh||lebo1
mayalat,meyh||lebo2
medhet,mdx eybo2
mektuplaş,mkbo2wbu1leso3
mele,mlh||
menet,mbo1a eybo2
meraklan,mrefo2lebo1
merhabalaş,mrxbu1eleso3
mes’et,ms eybo2
messet,ms eybo2
mezcet,mro1xu1 eybo2
mıhla,myxo1le
mıhlan,myxo1lebo1
mimle,mymlh||
mimlen,mymlh||bo1
minele,mybo1h||l
mırılda,myrylde
mırıldan,myryldebo1
morar,mwrer
morart,mwrerbo2
mühürle,mhrl
mühürlen,mhrlbo1
mühürlet,mhrlbo2
