tab’et,tbu1a eybo2
takdır,tefo2dyr
takıl,tefo2yl
takın,tefo2ybo1
takırda,tefo2yrde
takırdat,tefo2yrdebo2
takışdır,tefo2yso3dyr
takuşdur,dwfo2wso3dyr
tallen,bo2llh||bo1
ta’net,tabo1 eybo2
tanın,tebo1ybo1
tanış,tebo1yso3
tanı,tebo1y
tapdır,teydyr
tapın,tebu3ybo1
tapışdır,tebu3yso3dyr
tap,tebu3
taraklan,terefo2lebo1
tarakla,terefo2le
taraklat,terefo2lebo2
taran,terebo1
tara,tere
tardet,trdeybo2
tarhet,trx eybo2
tartakla,terbo2efo2le
tartdır,terbo2dyr
tartıl,terbo2yl
tartış,terbo2yso3
tart,terbo2
tasarla,bo2eserle
tasarlan,bo2eserlebo1
taşın,teso3ybo1
taşır,teso3yr
taşı,teso3y
taşıt,teso3ybo2
tasla,tesle
taşla,teso3le
taşlat,teso3lebo2
tatdır,tebo2dyr
tatlan,tebo2lebo1
tatla,tebo2le
tatlılaşdır,tebo2lyleso3dyr
tatlılaş,tebo2lyleso3
tatsızlan,tebo2sro1lebo1
tatsızlat,tebo2sro1lebo2
tavla,bo2ewle
tavlan,bo2ewlebo1
tavsa,bo2ewse
tavsat,bo2ewsebo2
tayyet,ty eybo2
tazele,bo2ero1h||lh||
tazelen,bo2ero1h||lh||bo1
tazeleş,bo2ero1h||lh||so3
tekerle,bo2krlh||
tekerlen,bo2krlh||bo1
tekmele,bo2kmh||lh||
tekmille,bo2kmyllh||
tekrarla,bo2krerle
telgrafla,bo2lao1refo1le
telle,bo2llh||
telle,bo2llh||bo1
tellendir,bo2llh||bo1dyr
temamlan,bo2memlebo1
temamlat,bo2memlebo2
tembelleş,bo2bo1bu1llh||so3
temellen,bo2mllh||bo1
temelleş,bo2mllh||so3
temelleşdir,bo2mllh||so3dyr
temizle,bo2myro1lh||
temizlen,bo2myro1lh||bo1
temizlet,bo2myro1lh||bo2
tenhalaş,bo2bo1heleso3
tep,bo2bu3
tepele,bo2bu3h||lh||
tepin,bo2bu3ybo1
tepindir,bo2ybu3bo1dyr
tepiş,bo2bu3yso3
terle,bo2rlh||
terlet,bo2rlh||bo2
tersle,bo2rslh||
terslen,bo2rslh||bo1
teyelle,bo2ko7llh||
tiftiklen,bo2yfo1bo2yklh||bo1
tığla,bo2yao1le
tıkan,tyfo2ebo1
tıka,tyfo2e
tıkırdat,tyfo2yrdebo2
tıkırda,tyfo2yrde
tiksin,bo2yksybo1
tiksin,dyksybo1
tıksır,tyfo2yr
tık,tyfo2
tilkileş,bo2ylkylh||so3
tıngırdat,tybo1ao1yrdebo2
tıngırda,tybo1ao1yrde
tınla,tybo1le
tın,tybo1
tipile,bo2ybu3ylh||
tıpırda,tybu3yrde
tiridleş,bo2yrydlh||so3
tirilde,bo2yryldh||
tırmala,trmele
tırmala,tyrmele
tırman,tyrmebo1
tırmıkla,tyrmyfo2le
tısla,tysle
titizlen,bo2ybo2yro1lh||bo1
titre,bo2ybo2rh||
titret,bo2ybo2rh||bo2
tokatla,twfo2ebo2le
tokuşdur,dwfo2wso3dyr
tokuşdur,twfo2wso3dwr
tomruklan,twmrwfo2lebo1
tomurcuklan,twmrwxu1efo2lebo1
topallan,twbu3ellebo1
topalla,twbu3elle
toparla,twbu3erle
toplanıl,twbu3lebo1yl
toplan,twbu3lebo1
toplaş,twbu3leso3
toplat,twbu3lebo2
toprakla,twbu3refo2le
torbalan,twrbu1elebo1
torpille,twrbu3yllh||
törpüle,bo2wrbu3wlh||
tozlan,bo2wro1lebo1
tüken,bo2wkh||bo1
tüket,bo2wkh||bo2
tükür,bo2wkwr
tümsel,bo2wmsh||l
tüne,bo2wbo1h||
tünekle,bo2wbo1klh||
türe,bo2wrh||
türkleş,bo2wrklso3
tüt,bo2wbo2
tütdür,bo2wbo2dwr
tutdur,twbo1dyr
tutkalla,twbo2fo2elle
tütsüle,bo2wbo2swlh||
tütsülen,bo2wbo2swlh||bo1
tut,twbo2
tutun,twbo2wbo1
tutuşdur,twbo2wso3dr
tutuş,twbo2wso3
tüylen,bo2wylh||bo1
