yabala,yebu1h||le
yadet,yedeybo2
yadırga,yedyrao1e
yağdır,yeao1dyr
yağlan,yeao1lebo1
yağlat,yeao1lebo2
yağla,yeao1le
yağmurla,yeao1mwrle
yakalan,yefo2h||lebo1
yakala,yefo2h||le
yakar,yefo2er
yakdır,yefo2dyr
yakıl,yefo2l
yakıl,yefo2yl
yakınlaşdır,yefo2ybo1leso3dyr
yakınlaş,yefo2ybo1leso3
yakışdır,yefo2yso3dyr
yakış,yefo2yso3
yaklaş,bo2efo2leso3
yaklaşdır,yefo2leso3dyr
yak,yefo2
yalat,yelebo2
yala,yele
yaldızlat,yeldyro1lebo2
yaldızla,yeldyro1le
yaltaklan,yelbo2efo2lebo1
yalvar,yelwer
yamalan,yemh||lebo2
yamala,yemh||le
yamat,yemebo2
yama,yeme
yanaşdır,yebo1eso3dyr
yanaş,yebo1eso3
yanbak,yebo1 yefo2
yanılt,yelo5o3ylbo2
yanıl,yebo1yl
yanıl,yelo5o3yl
yankıla,yebo1fo2yle
yapdır,yebu3dyr
yapıl,yebu3yl
yapışdırıl,yebu3yso3dyryl
yapışdır,yebu3yso3dyr
yapraklan,yebu3refo2lebo1
yap,yebu3
yaralan,yerh||lebo1
yarala,yerh||le
yaratıl,yerebo2yl
yarat,yerebo2
yardır,yerdyr
yargıla,yerao1yle
yarıla,yeryle
yarımla,yerymle
yarış,yeryso3
yaşar,yeso3er
yaşat,yeso3ebo2
yaşız,yero1yso3
yaşmaklan,yeso3mefo2lebo1
yaşmakla,yeso3mefo2le
yassılan,yezo8ylebo1
yassılt,yezo8ylbo2
yatır,yebo2yr
yatıştır,yebo2yso3dyr
yatış,yebo2yso3
yavrulat,yewrwlebo2
yavrula,yewrwle
yaydır,yeydyr
yayıl,yeyyl
yazdır,yero1dyr
yazıl,yero1yl
yazlat,yero1lebo2
yazla,yero1le
yedir,ydyr
yelekle,ylke
yelkenlen,ylkbo1lbo1
yellen,yllbo1
yelle,yllh||
yelpazelen,ylbu3ero1h||lbo1
yelpazele,ylbu3ero1h||l
yelten,ylbo2bo1
yenilen,ylo5o3ylh||bo1
yenilet,ylo5o3ylbo2
yenile,ylo5o3ylh||
yenil,ybo1yl
yenil,ylo5o3l
yenil,ylo5o3yl
yerin,yrybo1
yerleşdiril,yrlso3dyrl
yerleşdir,yrlso3dyr
yerleş,yrlso3
yeşer,yso3yr
yeşillendir,yso3yllbo1dyr
yeşillen,yso3yllbo1
yetdir,ybo2dyr
yetişdir,ybo2yso3dr
yetiş,ybo2yso3
yet,ybo2
ye,y
yığdır,yyao1dyr
yığıl,yyao1l
yığ,yyao1
yıkan,yyfo2ebo1
yıka,yyfo2e
yıkdırıl,yyfo2dyrl
yıkdır,yyfo2dyr
yıkıl,yyfo2l
yık,yyfo2
yıldır,yyldyr
yılış,yylyso3
yılla,yylle
yırtıl,yyrbo2l
yırtın,yyrbo2bo1
yırt,yyrbo2
yitdir,yybo2dyr
yit,yybo2
yoğrul,ywao1rwl
yoğurt,ywao1wr
yoket,ywfo2 eybo2
yoklan,ywfo2lebo1
yoklaşdır,ywfo2leso3dyr
yoklat,ywfo2lebo2
yokla,ywfo2le
yoldur,ywldyr
yolla,ywlle
yolun,ywlwbo1
yonul,ywbo1l
yon,ywbo1
yorganla,ywrao1ebo1le
yorul,ywrwl
yor,ywr
yosunlan,ywzwbo1lebo2
yücelen,ywxu1h||lbo1
yücelt,ywxu1h||lbo1
yücelt,ywxu1lbo2
yücel,ywxu1l
yüklen,ywklbo1
yüklet,ywklbo2
yükle,ywkl
yükselt,ywkslbo2
yüksel,ywksl
yüksü,ywksy
yumaklan,ywmefo2lebo1
yumakla,ywmefo2le
yumrukla,ywmrwfo2le
yumşat,ywmso3ebo2
yumşa,ywmso3e
yumul,ywml
yumurtlat,ywmwrtlebo2
yumurtla,ywmwrtle
yum,ywm
yünle,ywlo5o3l
yun,ywbo1
yüreklendir,ywklbo1dyr
yüreklen,ywrklbo1
yurtlandır,ywrbo2lebo1dyr
yurtlan,ywrbo2lebo1
yürün,ywrwbo1
yürütül,ywrwdl
yürüt,ywrwbo2
yürü,ywrw
yutdur,ywbo2dyr
yutkun,ywbo2fo2wbo1
yutul,ywbo2l
yut,ywbo2
yuvala,ywwele
yuvarlan,ywwerlebo1
yuvarlat,ywwerlebo2
yuvarla,ywwerle
yu,yw
yüzdür,ywro1dyr
yüzleşdir,ywro1lso3dyr
yüzleş,ywro1lso3
yüzle,ywro1l
yüzül,ywro1wl
yüzver,ywro1wyr
