çabala,xu3ebu1ele
çağılda,xu3eao1lde
çağırt,xu3eao1rbo2
çağır,xu3eao1r
çağrıl,xu3eao1ryl
çağrış,xu3eao1ryso3
çakdır,xu3efo2dyr
çakışdır,xu3efo2so3dyr
çaldır,xu3eldyr
çalın,xu3elybo1
çalışıl,xu3elyso3yl
çalıştır,xu3elyso3dyr
çalış,xu3elyso3
çalkan,xu3elfo2ebo1
çalkat,xu3elfo2ebo2
çalka,xu3elfo2e
çamurlan,xu3emwrlebo1
çamurlat,xu3emwrlebo2
çamurla,xu3emwrle
çangırda,xu3ebo1ao1yrde
çapaklan,xu3ebu3efo2lebo1
çapalan,xu3ebu3elebo1
çapala,xu3ebu3ele
çarpdır,xu3erbu3dyr
çarpıl,xu3erbu3yl
çarpıştır,xu3erbu3yso3dyr
çarpış,xu3erbu3yso3
çarp,xu3erbu3
çatdır,xu3ebo2dyr
çatıştır,xu3ebo2yso3dyr
çatış,xu3ebo2yso3
çatlat,xu3ebo2lebo2
çatla,xu3ebo2le
çayırlat,xu3eyyrlebo2
çayırla,xu3eyyr||le
çekdir,xu3kdyr
çekeme,xu3kh||mh||
çekil,xu3kyl
çekirdeklen,xu3kyrd||klh||bo1
çekişdir,xu3kyso3dyr
çekiş,xu3kyso3
çektil,xu3bo1bo2yl
çel,xu3l
çemberle,xu3bo1bu1r||lh||
çengelle,xu3bo1ko7llh||
çentikle,xu3bo1bo2yklh||
çent,xu3bo1bo2
çerçevelet,xu3rxu3ywh||lh||bo2
çerçevele,xu3rxu3ywh||lh||
çerezlen,xu3rro1lh||bo1
çeşitle,xu3so3ybo2lh||
çeşnilen,xu3so3bo1ylh||bo1
çetinleş,xu3bo2ybo1lh||so3
çevirt,xu3wyrbo2
çevir,xu3wyr
çevril,xu3wyryl
çeyrekle,xu3yrh||klh||
çiftele,xu3yfo1bo2h||lh||
çiftleştir,xu3yfo1bo2lso3dyr
çiftleş,xu3yfo1bo2lh||so3
çiğnen,xu3yko7bo1h||bo1
çiğne,xu3yko7bo1h||
çıkarıl,xu3yfo2eryl
çıkart,xu3yfo2erbo2
çıkınla,xu3yfo2ybo1le
çıkışdır,xu3yfo2yso3dyr
çık,xu3yfo2
çillen,xu3yllh||bo1
çimdikle,xu3ymdyklh||
çimenlendir,xu3ymbo1lbo1dyr
çimlen,xu3ymlh||bo1
çingeneleş,xu3bo1ko7ebo1h||lso3
çınla,xu3ybo1le
çintil,xu3bo1bo2yl
çırala,xu3yrele
çirişlen,xu3yryso3lh||bo1
çirişle,xu3yryso3lh||
çirkinlen,xu3yrkybo1lbo1
çirkinleşdir,xu3yrkybo1lso3dyr
çirkinleş,xu3yrkybo1lso3
çirkinlet,xu3yrkybo1lbo2
çirkinle,xu3yrkybo1lh||
çirkinse,xu3yrkybo1sh||
çırpdır,xu3yrbu3dyr
çırpın,xu3yrbu3ybo1
çırpışdır,xu3yrbu3yso3dyr
çırpış,xu3yrbu3yso3
çırp,xu3yrbu3
çisele,xu3ysh||lh||
çivilen,xu3ywylh||bo1
çivile,xu3ywylh||
çivitle,xu3ywybo2lh||
çizdir,xu3yro1dyr
çizil,xu3yro1yl
çocuklaş,xu3wxu1wfo2leso3
çoğalt,xu3wao1elbo2
çoğal,xu3wao1el
çoğumsa,xu3wao1mse
çökdür,xu3wkdwr
çökert,xu3wkrbo2
çök,xu3wk
çomakla,xu3wmefo2le
çömelt,xu3wmlbo2
çömel,xu3wml
çöplen,xu3wbu3lh||bo1
çöreklen,xu3wrh||klh||bo1
çözdür,xu3wro1dwr
çözül,xu3wro1wl
çubukla,xu3wbu1wfo2le
çukurlan,xu3wfo2wrlebo1
çukurlaş,xu3wfo2wrleso3
çullan,xu3wllebo1
çulla,xu3wlle
çürütül,xu3wrwbo2wl
çürüt,xu3wrwbo2
çürü,xu3wrw
