şahlan,so3exo1lebo1
şakalaş,so3efo2eleso3
şakırda,so3efo2yrde
şakırdat,so3efo2yrdebo2
şakı,so3efo2y
şakla,so3efo2le
şaklat,so3efo2lebo2
şakulla,so3efo2wlle
şapırda,so3ebu3yrde
şapırdat,so3ebu3yrdebo2
şapla,so3ebu3le
şaplat,so3ebu3lebo2
şarılda,so3erylde
şartet,so3rt eybo2
şartla,so3rtle
şartlaş,so3rtleso3
şa’şaalandır,so3aso3ah||lebo1dyr
şa’şalandır,so3aso3ah||lebo1dyr
şaşır,so3eso3yr
şaş,so3eso3
şekerlen,so3krlbo1
şekerle,so3krl
şenlendir,so3bo1lbo1dyr
şenlen,so3bo1lbo1
şereflendir,so3rfo1lbo1dyr
şereflen,so3rfo1lbo1
şerhet,so3rx eybo2
şetaretlendir,so3terbo2lbo1dyr
şetmet,so3bo2m eybo2
şiddetlendir,so3dbo2lbo1dyr
şımar,so3ymer
şımartıl,so3ymerbo2yl
şımart,so3ymerbo2
şırılda,so3yrylde
şırla,so3yrle
şişiril,so3yso3yryl
şişir,so3yso3yr
şişirt,so3yso3yrbo2
şişlen,so3yso3lh||bo1
şişle,so3yso3lh||
şübhelendir,so3bu1hh||lbo1dyr
şübhelen,so3bu1hh||lbo1
şulelendir,so3alh||lbo1dyr
şulelen,so3alh||lbo1
şümullendir,so3mwllbo1dyr
